交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1310,52750,52840,51800,52310,-680,10580,-20744,52440,66904,1748488.27
cu1311,52800,52800,51400,51980,-920,37118,-29154,52030,362638,9450188.1
cu1312,52560,52740,51240,51950,-850,80998,-76850,51960,807858,21012556.08
cu1401,52500,52660,51060,51810,-940,282308,158190,51830,4714884,122244018.8
cu1402,52380,52580,51010,51730,-980,87868,60006,51780,603032,15594240.82
cu1403,52390,52570,51040,51750,-960,29598,15842,51830,89770,2325659.8
cu1404,52460,52590,51080,51750,-1020,15582,9016,51870,27154,702729.1
cu1405,52510,52630,51150,51880,-980,7884,3632,51930,10890,282169.64
cu1406,52540,52620,51160,51800,-880,2808,96,51970,5294,137111.54
cu1407,52460,52650,51200,51870,-1130,1000,340,52030,2038,52956.31
cu1408,52460,52630,51290,51980,-960,1280,116,52000,3286,85356.13
cu1409,52500,52700,51330,51970,-1010,720,246,52020,1620,42131.73
cu1410,52380,52700,51290,52010,52010,566,566,52060,1494,38903
cu小计, ,52840,51010, , ,558310,121302, ,6696862,173716509.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1310,14485,14650,14400,14415,-35,9830,-7698,14450,18818,136961.13
al1311,14390,14540,14130,14455,150,18182,-16110,14435,54092,391070.59
al1312,14370,14510,14295,14430,115,41570,-32272,14430,96278,693637.39
al1401,14295,14490,14260,14400,115,54642,3160,14410,130048,934570.06
al1402,14285,14460,14230,14400,115,33104,13704,14400,50692,364110.39
al1403,14330,14450,14245,14395,125,18002,7016,14395,22436,161164.08
al1404,14300,14450,14240,14395,110,7162,3816,14410,7850,56447.04
al1405,14310,14455,14260,14395,110,3520,2500,14405,5516,39569.04
al1406,14380,14490,14275,14445,185,178,150,14445,202,1454.19
al1407,14350,14470,14290,14440,160,42,20,14440,334,2406.59
al1408,14440,14485,14415,14480,125,60,30,14480,72,520.55
al1409,14375,14440,14375,14440,75,26,24,14440,26,187.56
al小计, ,14650,14130, , ,186318,-25660, ,386364,2782098.56
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1310,14725,15050,14720,14990,200,2620,-692,15020,4632,34514.44
zn1311,14685,15180,14685,14970,125,5530,-18400,14970,44292,331210.74
zn1312,14700,15200,14570,14980,130,32504,-80702,14915,238774,1784601.19
zn1401,14735,15225,14560,14990,120,115394,15454,14965,970884,7278537.61
zn1402,14755,15220,14575,15000,115,49030,38688,14975,211904,1591868.42
zn1403,14770,15230,14685,15020,140,7652,6984,14950,18108,136192.4
zn1404,14825,15250,14825,15035,100,374,172,15070,474,3571.68
zn1405,14860,15250,14765,15060,85,356,146,14940,562,4215.31
zn1406,15050,15155,14780,15045,150,38,0,14955,46,345.59
zn1407,15005,15235,14885,15055,75,12,8,15060,42,316.94
zn1408,14905,15200,14885,15120,115,14,10,15045,80,604.45
zn1409,15125,15210,15070,15155,165,0,0,15180,8,60.56
zn1410,15400,15400,14835,15015,15015,22,22,15090,324,2471.93
zn小计, ,15400,14560, , ,213546,-38310, ,1490130,11168511.23
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
auefp, ,265.55,265.55,265.55, ,0,0, ,6,159.33
au1310,256.7,258.5,256.7,258.5,-4.55,0,-6,258.5,12,309.12
au1311,264.3,268.65,253,262.8,-3.9,204,-254,264.95,784,20502.99
au1312,266.4,267.75,252.25,263.25,-4.15,80314,-16320,265.4,3856214,100721528.8
