交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1106,69340,69580,68050,69200,10,4130,-19520,69370,41240,1415891.55
cu1107,68950,70260,67260,70150,1310,20400,-65740,69770,172054,5887751.09
cu1108,68600,70080,66700,70040,1470,75222,-91340,69590,2236492,75913091.75
cu1109,68420,69890,66420,69860,1530,163096,130290,69380,1287632,43642579.64
cu1110,68170,69790,66270,69750,1450,24044,14792,69250,57506,1946881.09
cu1111,68100,69800,66280,69750,1820,9854,5824,69010,19342,653862.62
cu1112,67910,69640,66100,69610,1670,5190,2172,68910,9282,313562.23
cu1201,68030,69500,66270,69450,1470,2214,978,68870,3176,107151.05
cu1202,67920,69390,66400,69350,1300,1252,324,68680,1106,37212.58
cu1203,68150,69400,66340,69400,1050,552,150,68850,486,16361.85
cu1204,68450,69400,66250,69400,1410,548,252,68780,678,22811.76
cu1205,67960,69630,66340,69570,1470,258,180,69170,426,14310.85
cu1206,67600,69250,66350,69250, ,116,116,68820,214,7201
cu小计, ,70260,66100, , ,306876,-21522, ,3829634,129978669.1
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1106,16790,17190,16740,17125,320,34540,-15410,17135,29240,249227.55
al1107,16795,17305,16740,17285,490,49772,-7036,17220,103782,884360.27
al1108,16835,17275,16785,17200,355,64542,13538,17165,518370,4430568.84
al1109,16900,17300,16805,17180,300,67164,29538,17140,229412,1956656.06
al1110,16900,17310,16840,17145,265,35574,14646,17110,53562,457274.61
al1111,16900,17335,16850,17130,255,23308,7602,17095,25832,220356.56
al1112,16935,17325,16840,17120,200,14234,4988,17090,17084,145834.95
al1201,16980,17430,16815,17105,85,1650,842,17100,3236,27542.09
al1202,16970,17350,16730,17100,120,854,270,17085,960,8205.37
al1203,17035,17365,16840,17100,40,466,186,17100,504,4326.03
al1204,17095,17380,16960,17110,35,192,70,17110,156,1338.65
al1205,17095,17345,16955,17170,75,148,136,17170,424,3625.56
al1206,17080,17390,16655,17205, ,10,10,17205,22,188.18
al小计, ,17430,16655, , ,292454,49380, ,982584,8389504.68
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1106,17100,17400,16900,17320,210,14540,-9060,17325,25660,220861.83
zn1107,17235,17690,16500,17690,450,14962,-68700,17450,207364,1789503.43
zn1108,17340,17700,16920,17675,335,71584,-147698,17575,4446498,38519523.59
zn1109,17425,17800,17005,17760,325,210082,155122,17680,2413440,20974532.99
zn1110,17460,17895,17090,17865,310,55094,45920,17745,166958,1459269.7
zn1111,17630,18450,17130,17920,320,9594,5602,17780,16992,149127.77
zn1112,17650,18175,17210,17950,290,4510,3630,17845,8112,71078.03
zn1201,17865,18650,17230,18020,-480,1806,1220,17935,4894,43082.45
zn1202,17910,18490,17410,18490,-210,556,172,18235,814,7238.02
zn1203,18000,18225,17525,18100,120,216,32,18025,594,5295.93
zn1204,18020,18360,17495,18130,15,160,58,18025,422,3784.12
zn1205,18210,18420,17545,17840,-370,58,42,17840,226,2020.52
zn1206,18010,18085,17710,18085, ,2,2,18000,28,251.71
zn小计, ,18650,16500, , ,383164,-13658, ,7292002,63245570.06
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1106,323,326,315.1,318.02,-5.98,1176,-142,318.02,304,9700.31
au1107,316.8,324.98,312,319,1.38,6,-68,321.99,128,4036.24
au1108,315.35,320.99,312.5,315,-1.05,28,22,315,316,10030.05
au1109,318.4,320.88,312.5,313.05,-6.7,20,-18,313.64,138,4378.94
au1110,321.46,321.46,314.77,315.15,-4.91,32,-6,314.96,86,2741.08
au1111,318,320.46,311.4,313.35,-6.31,58,12,313.35,230,7279.51
au1112,319.7,337.27,311.52,314.18,-5.83,45620,-3550,314.37,278816,8869985.8
au1201,318.07,321.88,310.76,314.17,-5.67,84,26,314.71,1088,34591.52
au1202,319.15,321.66,308.9,314.21,-5.92,84,14,314.21,104,3308.74
au1203,319.18,322.1,312.99,314.02,-5.85,74,12,314.02,124,3944.14
au1204,320.59,321.87,312.3,314.64,-5.73,14,0,314.55,32,1015.68
