交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1212,57170,57600,55750,57560,560,9130,-11340,57350,61560,1763038.15
cu1301,57390,57930,56200,57200,-40,25750,-27818,57200,219166,6274757.8
cu1302,57420,58120,56350,57690,420,54830,-54120,57520,367896,10564125.74
cu1303,57490,58260,56320,57770,470,101326,-88030,57690,3142570,90435733.19
cu1304,57560,58320,56320,57860,530,140638,105142,57810,1951778,56044493.55
cu1305,57500,58380,56370,57930,550,40552,29962,57880,202530,5823516.3
cu1306,57500,58440,56480,58040,610,9660,5100,57970,18800,540577.87
cu1307,57590,58470,56570,58140,780,2120,724,58100,3178,91683.34
cu1308,57590,58480,56860,58250,840,1206,240,58160,1524,44027.77
cu1309,57660,58480,56840,58350,900,918,16,58330,1510,43595.22
cu1310,57660,58480,56930,58430,1010,1282,108,58380,1304,37633.67
cu1311,57560,58580,56980,58500,1060,562,356,58440,1406,40760.06
cu1312,57410,58570,57020,58540,58540,214,214,58470,372,10737.26
cu小计, ,58580,55750, , ,388188,-39446, ,5973594,171714679.9
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1212,15260,15260,15005,15060,-260,18720,-10980,15065,40640,306977.53
al1301,15395,15410,15050,15130,-280,37040,-12132,15120,95166,723549.12
al1302,15480,15500,15140,15255,-240,37720,-3270,15240,108694,832377.14
al1303,15540,15580,15175,15365,-205,65124,24540,15335,202800,1559350.94
al1304,15625,15630,15235,15465,-165,20016,13244,15435,42800,330219.89
al1305,15635,15695,15320,15565,-130,6258,5416,15530,10636,82463.92
al1306,15600,15715,15420,15625,-145,504,140,15640,600,4678.44
al1307,15770,15775,15520,15710,-120,400,16,15710,538,4217.87
al1308,15750,15835,15600,15730,-70,214,-6,15730,260,2048.88
al1309,15870,15910,15690,15850,90,132,8,15850,28,221.47
al1310,15865,15980,15745,15880,-70,68,8,15880,56,444.51
al1311,16050,16145,15810,16045,85,16,8,16045,154,1232.1
al1312,15800,16000,15300,16015,16015,6,6,16015,28,221.7
al小计, ,16145,15005, , ,186218,16998, ,502400,3848003.49
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1212,15200,15975,15025,15260,30,13300,-350,15250,14650,111604.15
zn1301,15290,15430,15090,15300,-50,12960,-28396,15265,74920,572719.57
zn1302,15410,15575,15200,15410,-45,37618,-71002,15395,429846,3306587.47
zn1303,15500,15685,15285,15520,-15,91694,17518,15510,1952502,15124211.37
zn1304,15700,15755,15300,15630,5,70258,59760,15625,274754,2142560.47
zn1305,15795,15890,15395,15735,25,8358,4184,15735,30410,238153.91
zn1306,15795,15910,15550,15835,60,1952,1042,15835,3646,28709.69
zn1307,15880,15960,15625,15950,90,780,188,15910,634,5007.39
zn1308,15950,16090,15665,16050,170,172,-18,16030,186,1476.56
zn1309,16020,16115,15775,16095,135,834,38,16065,508,4060.94
zn1310,16070,16180,15850,16135,60,78,-18,16135,178,1426.61
zn1311,16035,16340,15745,16320,175,180,92,16320,1204,9658.37
zn1312,16350,16350,16350,16350,16350,2,2,16350,4,32.7
zn小计, ,16350,15025, , ,238186,-16960, ,2783442,21546209.16
