交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1111,58720,59800,55300,57970,-1330,4340,-12388,58280,39548,1147000.65
cu1112,58330,59690,53810,55600,-2990,23092,-33938,55760,333596,9565085.45
cu1201,58000,59500,53180,55100,-3130,68320,-178454,55400,12192828,350437397.4
cu1202,58070,59350,52510,54560,-3560,277172,214206,54890,9882640,273648076.8
cu1203,58120,59330,52380,54320,-3820,76134,61630,54740,721040,19840994.4
cu1204,58060,59390,52430,54320,-4030,18336,10230,54760,62542,1736190.98
cu1205,58090,59440,52480,54360,-3930,9794,5446,54720,55630,1551176.47
cu1206,58100,59510,52500,54440,-3900,6764,3654,55000,15084,419473.36
cu1207,58400,59440,52890,54500,-3850,2010,468,55030,3100,87277.36
cu1208,57960,59500,52810,54600,-3500,1614,414,54820,3956,109955.91
cu1209,57910,59430,53000,54590,-3920,1092,292,55090,2836,79457.57
cu1210,57990,59790,53100,54900,-3660,674,194,54920,1874,52647.72
cu1211,57000,57000,53110,54600,54600,252,252,55010,726,19915.22
cu小计, ,59800,52380, , ,489594,72006, ,23315400,658694649.2
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1111,16330,16385,15985,16160,-200,11320,-17840,16115,30380,245730.5
al1112,16360,16425,15720,15875,-495,20170,-33216,15885,97290,782848.6
al1201,16380,16425,15725,15905,-475,53820,-13184,15890,489100,3944415.82
al1202,16420,16460,15500,15835,-590,93552,58872,15815,342884,2743436.37
al1203,16425,16485,15725,15835,-605,63444,52026,15800,115442,923624.81
al1204,16430,16545,15770,15835,-670,24682,21894,15810,34836,278271.26
al1205,16585,16610,15785,15850,-680,4882,2048,15830,9162,73872.39
al1206,16550,16745,15810,15850,-770,2420,772,15855,2500,20280.08
al1207,16600,16710,15855,15865,-830,2154,474,15895,2038,16566.2
al1208,16735,16815,15945,15945,-805,1230,138,15970,946,7687.87
al1209,16760,16900,15950,15950,-850,480,136,15990,1396,11458.98
al1210,16655,17030,15950,15980,-865,1160,304,16050,1420,11669.1
al1211,16455,16810,16015,16015,16015,58,58,16045,342,2775.17
al小计, ,17030,15500, , ,279372,72482, ,1127736,9062637.14
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1111,15345,15550,14600,15290,40,8620,-4496,15285,12786,97216.75
zn1112,15425,15565,14550,15130,-215,9110,-49162,15180,180490,1373626.76
zn1201,15435,15590,14510,15140,-195,55936,-176122,15175,4458982,33821935.09
zn1202,15400,15585,14530,15115,-195,185342,97518,15170,3423186,25842818.96
zn1203,15415,15590,14565,15125,-240,80424,60392,15170,348860,2634078.21
zn1204,15400,15630,14600,15155,-225,10868,6148,15180,24438,184758.11
zn1205,15390,15675,14660,15160,-190,5548,1940,15205,25306,191930.88
zn1206,15400,15670,14620,15220,-160,2198,362,15210,3276,24928.12
zn1207,15410,15700,14720,15215,-215,344,6,15350,1232,9390.96
zn1208,15420,15735,14705,15340,-85,336,40,15300,740,5676.39
zn1209,15660,15780,14735,15370,-175,208,90,15360,1062,8160.94
zn1210,15900,15900,14785,15345,-275,122,48,15395,1336,10321.97
zn1211,15090,15615,15000,15370,15370,8,8,15540,64,492.59
zn小计, ,15900,14510, , ,359064,-63228, ,8481758,64205335.71
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1111,354.5,354.5,354.35,354.35,1.35,0,-12,354.42,12,425.31
au1112,353.99,368.78,345.79,357.99,5.67,972,-8032,355.58,56186,2015193.12
au1201,353,370,343.07,354.78,1.99,420,-274,355.86,12232,440151.15
au1202,353.95,370.61,347.3,355.59,3.46,244,20,357.01,516,18478.95
au1203,354.51,370.35,347.85,356.35,3.49,170,-14,356.97,374,13430.22
au1204,353.77,369.7,346.61,356.31,4.49,146,-4,356.6,172,6157.94
au1205,352.69,369.72,346.88,354.27,1.88,208,2,355.64,1964,70160.42
au1206,353.5,369.28,345.04,353.2,0.58,80144,26586,354.49,1361240,48714862.93
au1207,354.29,368.7,346.11,347.98,-5.09,52,44,347.98,234,8208.23
au1208,359.04,369.09,347.92,354.84,1.34,22,16,355.43,226,8096.58
au1209,355.31,369.89,348.65,354.41,0.06,6,-4,353.57,34,1220.41
au1210,355.88,369.89,349.59,352.81,-5.24,8,8,352.81,110,3986.89
au1211,344,354.9,344,354.9,354.9,10,10,354.9,12,420.87
au小计, ,370.61,343.07, , ,82402,18346, ,1433312,51300793.01
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1112,4213,4560,4125,4360,144,60,-210,4416,1196,5138.41
rb1201,4130,4340,3965,4301,178,72652,-491564,4317,4810240,19834621.78
rb1202,4152,4300,4000,4247,108,734,-544,4275,4080,17116.15
rb1203,4133,4300,3995,4197,72,288,34,4209,662,2755.37
rb1204,4187,4278,3977,4180,63,502,212,4188,1698,7027.48
rb1205,4143,4219,3955,4075,-58,727588,332002,4104,22402154,91845104.11
rb1206,4162,4249,4007,4091,-78,540,346,4110,2526,10444.89
rb1207,4060,4278,4045,4098,-50,120,76,4137,300,1244.51
rb1208,4122,4220,4031,4094,-46,100,6,4108,352,1453.09
rb1209,4180,4228,4021,4099,-51,226,60,4118,1006,4156.49
rb1210,4180,4200,4002,4055,-115,21448,21116,4086,61354,250516.23
rb1211,4138,4138,3982,4070,4070,10,10,4070,32,130.62
rb小计, ,4560,3955, , ,824268,-138456, ,27285600,111979709.1
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1201,4029,4216,3900,4107,90,0,-20,4107,144,582.05
wr1202,4087,4153,3753,4056,104,0,0,3987,36,144.81
wr1203, , , ,4090,25,2,0,4090,0,0
wr1204,3987,4067,3987,4067,8,4,4,4013,6,24.08
wr1205,4125,4235,4000,4123,39,4,2,4099,376,1540.98
wr1206,4030,4120,3796,4099,-85,22,20,4099,56,221.15
wr1207,4065,4099,3872,3999,-222,0,0,3999,90,360.22
wr1208,3899,4178,3806,4049,-172,0,0,4049,64,252.94
wr1209,4132,4188,3925,4068,-55,0,0,4068,10,40.59
wr1210,3889,4080,3889,3984,-353,0,0,3984,4,15.94
wr小计, ,4235,3753, , ,32,6, ,786,3182.75
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
