交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1210,59210,59560,55880,59270,-610,11370,-19260,58390,45260,1336325.65
cu1211,59370,59530,56350,56830,-2970,26210,-16214,56720,203910,5925883.36
cu1212,59420,59510,56300,56860,-2910,58302,-39180,56750,293360,8536621.07
cu1301,59400,59520,56260,56820,-2950,119570,-36070,56740,3179554,92824078.38
cu1302,59330,59490,56170,56860,-2900,176094,140468,56740,2006914,57588419.19
cu1303,59310,59550,56190,56880,-2880,39552,28728,56770,146848,4217656.4
cu1304,59410,59490,56250,56890,-2980,8064,5190,56770,20394,586431.88
cu1305,59350,59530,56320,57010,-2750,4054,2434,56850,10200,294536.37
cu1306,59480,59560,56400,57100,-2780,1388,186,57030,2516,73278.16
cu1307,59330,59650,56490,57130,-2680,730,188,57080,1416,41398.42
cu1308,59430,59700,56590,57180,-2690,376,104,57100,642,18567.08
cu1309,59440,59770,56650,57150,-2690,524,390,57070,922,26943.37
cu1310,59100,59600,56650,57130,57130,708,708,57020,1472,42588.47
cu小计, ,59770,55880, , ,446942,67672, ,5913408,171512727.8
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1210,15550,15550,15225,15280,-315,15760,-10640,15280,19460,149483.3
al1211,15660,15660,15180,15240,-460,29970,-21880,15220,59662,459291.28
al1212,15715,15740,15240,15320,-440,52000,-16440,15290,97750,755807.93
al1301,15750,15755,15260,15340,-465,51856,7700,15315,180276,1395964.32
al1302,15720,15740,15270,15345,-475,29566,22732,15325,56970,440314.25
al1303,15830,15830,15270,15375,-445,22832,11414,15340,22018,170432.73
al1304,15720,15750,15325,15390,-430,2636,2402,15390,4012,31101.57
al1305,15720,15785,15355,15415,-435,534,392,15425,916,7107.4
al1306,15740,15740,15400,15400,-480,298,240,15400,330,2566.71
al1307,15770,15860,15445,15520,-370,354,240,15520,492,3841.41
al1308,15950,15950,15550,15580,-320,216,176,15580,232,1820.99
al1309,15600,16000,15510,15515,-405,122,70,15515,92,724.39
al1310,15865,15865,15680,15600,15600,22,22,15600,26,204.14
al小计, ,16000,15180, , ,206166,-3572, ,442236,3418660.39
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1210,15075,15360,14950,14990,-490,4090,-2000,15000,7270,55013.13
zn1211,15450,15475,14500,14655,-950,11010,-10082,14640,37964,284256.53
zn1212,15475,15560,14565,14755,-925,30114,-33918,14730,162298,1227381.72
zn1301,15580,15645,14600,14815,-965,129370,28230,14790,1505872,11375045.55
zn1302,15625,15680,14635,14855,-965,111802,87422,14825,466548,3483888.33
zn1303,15680,15740,14680,14900,-1000,14192,9686,14855,22072,164875.24
zn1304,15650,15755,14745,14945,-885,2706,1406,14895,2922,22161.98
zn1305,15740,15790,14795,15010,-920,3644,2222,14960,5444,41054
zn1306,15680,15850,14845,15040,-940,996,56,15025,380,2893.4
zn1307,15780,15905,14900,15080,-965,566,44,15020,188,1434.72
zn1308,15790,15790,14955,15060,-980,138,58,15075,294,2237.59
zn1309,15930,15945,15010,15150,-1000,774,38,15150,420,3213.19
zn1310,15550,15660,15060,15070,15070,54,54,15070,484,3718.83
zn小计, ,15945,14500, , ,309456,83216, ,2212156,16667174.17
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1210,355,356.08,355,355.69,2.69,36,-6,355.69,18,640.25
au1211,360,363.27,339,344.9,-12.37,60,-8,344.9,350,12284.12
au1212,364.22,364.25,344.23,347.27,-18.21,54224,-40496,347.35,543870,19202135.63
au1301,364.71,364.71,345.61,348.45,-17.81,622,224,348.53,4946,176010.48
au1302,363.62,363.62,345.17,349.93,-14.98,24,6,349.93,72,2561.68
au1303,354.53,358.86,347.79,350.24,-14.87,48,30,350.24,106,3755.84
au1304,358,358,348.38,350.02,-16.51,48,34,350.02,94,3297.37
au1305,365.42,365.42,348.05,349.97,-16.73,80,54,349.96,196,6909.98
au1306,366.12,366.13,348.45,349.89,-17.84,63176,38026,349.82,172564,6110148.28
au1307,361.71,361.71,349.25,350.43,-16.42,18,2,350.43,30,1063.92
au1308,361.71,361.71,349.7,351.19,-10.84,108,98,351.19,176,6191.38
au1309,361.77,363,350.4,351.07,-15.76,120,116,351.07,158,5574.18
au1310,359.19,359.19,349.52,349.73,349.73,2,2,349.73,10,355.68
au小计, ,366.13,339, , ,118566,-1918, ,722590,25530928.79
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1210,3660,3900,3660,3720,70,20340,-126,3748,1146,4300.14
rb1211,3536,3876,3536,3700,168,1140,92,3733,3428,12678.09
rb1212,3599,3748,3552,3734,189,1318,398,3714,3236,11832.15
rb1301,3625,3699,3563,3626,29,471498,-403934,3611,19672436,71636006.12
rb1302,3564,3680,3553,3603,53,3484,906,3596,13348,48257.18
rb1303,3607,3703,3558,3622,50,362,66,3592,1000,3612.95
rb1304,3654,3846,3560,3623,27,396,202,3611,1116,4074.3
rb1305,3657,3746,3531,3634,0,977100,763424,3611,27559066,100807348.8
rb1306,3691,3745,3566,3632,-14,236,94,3616,2442,8923.01
rb1307,3725,3773,3587,3658,-13,90,28,3658,1568,5833.01
rb1308,3766,3793,3602,3659,-50,174,-38,3651,512,1882.32
rb1309,3760,3825,3601,3680,-27,846,776,3669,2724,10042.99
rb1310,3645,3790,3601,3683,3683,1774,1774,3670,4334,16029.53
rb小计, ,3900,3531, , ,1478758,363662, ,47266356,172570820.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1211,3687,3687,3687,3687,126,0,-2,3687,2,7.37
wr1301,3835,3873,3700,3755,-10,20,0,3755,116,440.68
wr1302, , , ,3710,18,2,0,3710,0,0
wr1303, , , ,3680,-3,2,0,3680,0,0
wr1305,3563,3711,3563,3668,139,0,0,3668,128,466.59
wr1306,3510,3650,3473,3590,61,2,2,3590,8,28.37
wr1307,3520,3650,3520,3471,-47,0,0,3471,4,14.34
wr1308,3764,3764,3600,3680,92,4,2,3680,46,168.69
wr1309,3945,3945,3672,3763,175,0,0,3763,6,22.58
wr小计, ,3945,3473, , ,30,2, ,310,1148.63
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1301,4885,4997,4870,4914,-27,196,-2,4906,358,8812.23
fu1303,5056,5149,4842,4996,45,4,4,4996,12,300.37
