交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1101,71110,71410,69000,70600,-300,4650,-9950,70460,25520,896887.65
cu1102,70800,72580,69080,72480,1020,13096,-15644,72230,75238,2663291.21
cu1103,71980,73230,69160,72970,1120,46634,-82068,72710,235742,8381823.03
cu1104,72400,73610,69420,73420,1040,127694,-50132,72950,3098572,110640430.36
cu1105,72660,74100,69500,73850,1190,112410,95038,73550,485856,17494916.22
cu1106,73550,74180,69730,74010,1490,11896,9566,73620,21958,791134.30
cu1107,72580,74180,69810,74180,1530,1736,734,73850,2708,97499.55
cu1108,73790,74300,70000,74140,1530,1532,248,73760,1840,66241.06
cu1109,72500,74320,69900,74300,1480,806,230,73790,2086,75133.67
cu1110,73480,74280,70000,74280,1720,298,40,73970,438,15847.00
cu1111,72770,74890,70000,74290,1630,382,134,73880,670,24124.65
cu1112,72460,74350,70180,74100,1460,470,284,74040,998,36197.24
cu1201,72400,75770,70880,74100, ,406,406,74040,562,20457.95
cu小计, ,75770,69000, , ,322010,-51114, ,3952188,141203983.89
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1101,16550,16800,16395,16545,105,11970,-11140,16555,28400,235859.85
al1102,16655,16955,16430,16620,-30,21020,-20208,16625,73396,611459.28
al1103,16835,17140,16545,16795,-45,41456,-50444,16760,156180,1313538.41
al1104,17050,17320,16505,16925,-85,76534,26982,16895,564600,4800778.31
al1105,17150,17400,16750,17065,-65,40368,23894,17045,89400,761537.48
al1106,17215,17435,16860,17205,-5,17038,8668,17165,38198,327407.06
al1107,17315,17480,16905,17175,-125,13602,9948,17205,24560,210769.79
al1108,17540,17635,16910,17200,-235,5478,4112,17275,9294,79777.64
al1109,17620,17780,16910,17370,-160,1498,572,17425,2024,17494.91
al1110,17735,17735,17065,17460,-190,256,-4,17495,606,5258.35
al1111,17760,17760,17260,17485,-125,428,68,17475,194,1690.05
al1112,17855,17875,17305,17410,-455,94,4,17410,60,528.51
al1201,17400,17975,17400,17505, ,10,10,17695,30,263.42
al小计, ,17975,16395, , ,229752,-7538, ,986942,8366363.03
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1101,19180,19340,18450,18720,-385,13180,380,18870,13210,125146.40
zn1102,19370,19570,17600,18450,-805,11650,-13026,18350,36420,342817.00
zn1103,19645,19780,17720,18510,-965,26172,-97804,18495,452732,4361684.49
zn1104,19895,20000,17885,18700,-995,215226,6900,18670,8274028,79211546.18
zn1105,20000,20140,17945,18895,-915,84426,63350,18850,514824,4861303.34
zn1106,20100,20270,18110,19040,-890,7608,5170,18995,18600,177149.09
zn1107,20115,20340,18400,19180,-860,2910,142,19180,3698,35898.85
zn1108,20305,20420,18680,19375,-800,2992,126,19300,1754,17234.19
zn1109,20220,20515,18700,19425,-770,1966,216,19385,1900,18629.22
zn1110,20435,20595,18860,19570,-730,1762,126,19550,1080,10707.20
