交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1305,49710,54850,49710,52800,650,8880,-22606,53230,97776,2581599.38
cu1306,49480,54220,49480,53430,1430,26572,-31822,53360,396976,10509429.86
cu1307,49510,54050,49500,53110,1170,53820,-38690,53130,361988,9484553.99
cu1308,49300,53900,49240,52890,1120,99146,-182290,52940,2111408,54632862.17
cu1309,49190,53810,49190,52720,1090,241966,-12002,52760,14566164,382446539.1
cu1310,49190,53720,49190,52590,970,183060,133218,52630,2933084,76928474.37
cu1311,49190,53670,49190,52500,920,38306,26792,52570,280698,7358635.63
cu1312,49230,53670,49230,52500,900,17008,10682,52560,73154,1924346.76
cu1401,49290,53700,49290,52530,910,6056,2810,52580,14900,389915.2
cu1402,49210,54220,49210,52510,780,1750,372,52640,3920,102583.51
cu1403,49300,53670,49290,52450,560,1304,28,52600,1936,50719.59
cu1404,49420,53710,49420,52560,760,1018,310,52590,2600,68290.15
cu1405,52650,53700,51800,52680,52680,348,348,52610,654,17164.12
cu小计, ,54850,49190, , ,679234,-112850, ,20845258,546495113.8
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1305,14375,14570,14375,14535,-45,19560,-8992,14525,26592,192807.1
al1306,14405,14840,14330,14840,210,19002,-37356,14780,90066,657049.3
al1307,14400,14815,14310,14805,135,38266,-17018,14755,90812,662337.82
al1308,14300,14830,14285,14830,160,51592,4280,14770,173248,1264250.97
al1309,14500,14845,14335,14840,180,47146,26826,14780,127716,933899.82
al1310,14510,14870,14400,14860,180,21876,16070,14795,48650,356607.93
al1311,14520,14865,14350,14865,190,8432,3308,14815,7698,56338.25
al1312,14495,14880,14495,14860,90,1540,1118,14825,2362,17321.42
al1401,14515,14840,14510,14840,90,224,88,14825,262,1921.16
al1402,14550,14835,14550,14795,-60,98,12,14795,152,1111.16
al1403,14580,14895,14580,14895,80,48,26,14860,68,501.41
al1404,14785,14800,14640,14860,25,30,24,14860,32,235.85
al1405,14875,14930,14635,14930,14930,46,46,14930,60,443.83
al小计, ,14930,14285, , ,207860,-11568, ,567718,4144825.98
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1305,14160,14600,14160,14350,-280,9860,-3530,14400,20150,145763.23
zn1306,14305,14760,14000,14715,25,16420,-24476,14715,86048,622877.65
zn1307,14200,14770,14150,14710,-35,40442,-66230,14710,227282,1644908
zn1308,14155,14800,14150,14720,-60,101994,-2460,14730,1095520,7954402.9
zn1309,14140,14845,14140,14760,-85,170328,139504,14775,1221708,8889126.22
zn1310,14430,14985,14360,14800,-120,49320,44974,14820,150260,1098447.21
zn1311,14420,14955,14100,14830,-170,8188,5800,14835,13446,98465.21
zn1312,14520,14935,14405,14890,-180,2042,1728,14880,4620,33841.59
zn1401,14600,14995,14505,14905,-215,338,120,14925,474,3493.32
zn1402,14655,15025,14600,14940,-250,144,-6,14940,128,948.35
zn1403,14810,15080,14605,15020,-210,138,68,14990,218,1621.61
zn1404,14860,15125,14695,15000,-125,18,10,15000,60,447.43
zn小计, ,15125,14000, , ,399232,95502, ,2819914,20494342.7
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1305,301.6,301.6,284,284.88,-7.96,0,-18,284.88,48,1402.61
au1306,290.99,295.9,271.27,283.77,-10.91,2882,-26230,283.91,185746,5331901.84
au1307,289.91,295.23,268.7,283.96,-11.3,52,-38,284.2,346,9886.4
au1308,290.13,295.13,270.85,283.67,-11.35,148,-56,284.43,818,23361.49
au1309,291.38,295.01,269.75,283.16,-13.05,358,-122,283.55,4990,140998.42
au1310,290.16,294.35,267.11,283.9,-14.1,116,66,284.26,2058,58286.61
au1311,290.38,294.02,270,284.5,-10.5,90,32,284.36,208,5968.14
