交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cuefp, ,56160,54930,56160, ,0,0, ,400,11091
cu1208,55060,55600,54340,55310,-170,11960,-12620,55260,64840,1786301.4
cu1209,54960,56650,54120,56050,850,40540,-20292,55960,243128,6717393.88
cu1210,54920,56530,53990,55710,530,54354,-23782,55730,248296,6835036.56
cu1211,54810,56430,53750,55590,540,79466,-178718,55630,3334726,91138892.85
cu1212,54650,56350,53410,55420,470,212936,128976,55500,5514074,151491871.8
cu1301,54730,56250,53390,55280,300,67190,54322,55390,427270,11756196.4
cu1302,54750,56200,53430,55290,320,12480,5718,55370,34402,944997.92
cu1303,54770,56140,53480,55300,550,6610,3202,55450,8368,229315.65
cu1304,54740,56180,53530,55290,270,2818,556,55400,3148,86061.9
cu1305,54640,56250,53500,55320,450,2594,1250,55400,5536,150925.34
cu1306,54650,56100,53480,55480,710,1094,246,55420,1804,49366.11
cu1307,54690,55980,53590,55550,760,590,330,55470,1330,36429.54
cu1308,54420,56200,54200,55550,55550,234,234,55710,604,16751.08
cu小计, ,56650,53390, , ,492866,-40578, ,9887526,271239540.4
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1208,15475,15490,15320,15435,-105,8960,-8146,15435,19386,149596.54
al1209,15470,15510,15250,15400,-125,18830,-22464,15395,62614,482022.53
al1210,15440,15500,15215,15390,-95,52392,-36118,15360,102252,785833.03
al1211,15385,15500,15185,15365,-85,90718,-4074,15350,229458,1758887.46
al1212,15400,15470,15150,15330,-120,87006,24630,15330,205204,1570550.14
al1301,15430,15495,15100,15310,-165,37306,26324,15330,62906,482245.72
al1302,15410,15440,15200,15330,-125,3434,2656,15330,4776,36597.66
al1303,15445,15470,15205,15350,-160,778,486,15350,1428,10923.7
al1304,15365,15450,15200,15400,-155,316,248,15370,622,4781.02
al1305,15450,15630,15215,15295,-230,114,-70,15295,288,2209.88
al1306,15490,15545,15210,15440,-130,76,-68,15440,242,1855.01
al1307,15530,15600,15220,15475,-125,150,-4,15475,174,1342.54
al1308,15330,15330,15305,15330,15330,0,0,15330,8,61.27
