交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1303,56910,57690,56070,56910,-490,14590,-22900,56780,71020,2008539.9
cu1304,57150,57150,54670,55000,-2550,29290,-43968,55170,266792,7485315.8
cu1305,57180,57230,54620,54910,-2720,82868,-66272,55120,479612,13483566.36
cu1306,57200,57280,54610,54880,-2800,135052,-68990,55050,2305160,65069962.61
cu1307,57300,57320,54450,54830,-2930,250682,221524,55030,4234762,118240702.6
cu1308,57440,57440,54500,54820,-2980,144852,139868,55040,845332,23522458.82
cu1309,57400,57440,54500,54850,-3040,26638,24378,55050,99586,2772141.49
cu1310,57400,57400,54590,54900,-3020,5262,3086,55080,14338,399728.85
cu1311,57580,57580,54750,54980,-3020,2182,1400,55160,4844,135514.73
cu1312,57520,57610,54750,55010,-2990,1624,786,55210,5010,140758.2
cu1401,57590,57590,54810,55070,-3080,566,212,55260,1242,34854.39
cu1402,57600,57620,55000,55130,-3080,530,290,55340,988,27767.86
cu1403,55570,56450,55150,55240,55240,200,200,55400,306,8539.03
cu小计, ,57690,54450, , ,694336,189614, ,8328992,233329850.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1303,14590,14730,14355,14600,-20,30810,-220,14595,46730,340414.58
al1304,14705,14820,14435,14530,-175,27900,-15414,14520,92854,679030.14
al1305,14775,14950,14520,14570,-225,58608,-31250,14560,172996,1272896.01
al1306,14850,15030,14550,14610,-290,93398,24202,14600,402194,2978974.07
al1307,14930,15095,14605,14645,-345,45264,31422,14645,130086,963092.64
al1308,15025,15125,14645,14715,-340,14606,13770,14690,32476,241624.22
al1309,15110,15305,14700,14730,-425,6946,6362,14745,14470,107808.19
al1310,15200,15245,14800,14800,-445,898,442,14805,1118,8419.27
al1311,15200,15300,14825,14860,-400,140,108,14840,244,1841.9
al1312,15235,15360,14960,14910,-475,194,40,14910,182,1382.45
al1401,15300,15460,15040,14950,-480,40,32,14950,56,427.09
al1402,15355,15515,15000,15000,-570,46,-20,15000,84,641.2
al1403,15090,15260,14960,14960,14960,12,12,14960,14,105.15
al小计, ,15515,14355, , ,278862,29486, ,893504,6596656.87
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1303,15320,15330,14900,15040,-380,10850,-2690,15030,18970,142621.43
zn1304,15450,15450,14535,14740,-780,12560,-16816,14690,62534,470680.43
zn1305,15560,15560,14520,14700,-955,44304,-67072,14725,341362,2592516.13
zn1306,15650,15650,14570,14755,-1000,118794,42792,14770,1522850,11551016.02
zn1307,15715,15735,14685,14800,-1075,96986,93398,14815,391426,2945270.72
zn1308,15850,15850,14750,14850,-1100,12264,11514,14880,29404,222286.71
zn1309,15940,15940,14870,14915,-1105,4850,3410,14945,8372,64159.3
zn1310,15995,15995,14995,14995,-1135,498,360,15020,822,6291.37
zn1311,16080,16080,15085,15120,-1030,200,36,15125,350,2708.28
zn1312,16100,16100,15135,15170,-1050,164,16,15205,332,2578.27
zn1401,16160,16160,15195,15195,-1105,110,50,15225,296,2325.35
zn1402,16135,16135,15105,15270,-1130,100,92,15175,176,1378.12
zn1403,15815,15815,15390,15390,15390,24,24,15390,54,421.07
zn小计, ,16160,14520, , ,301704,65114, ,2376948,18004253.16
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1303,316.89,323.99,316.89,318,-2.5,234,-36,318,150,4775.78
au1304,321.89,324.06,318.5,318.5,-3.29,36,-156,318.61,274,8827.37
au1305,321.8,325.47,320.6,320.72,-4.66,270,-26,320.61,148,4764.62
au1306,323.63,327.15,321.02,323.45,-2.95,97060,-16360,322.86,651286,21087943.25
au1307,323.94,327.37,322.4,323.85,-5.15,104,-12,323.85,346,11252.76
au1308,324.93,328.31,322.15,324.78,-5.23,386,18,324.78,148,4807.38
au1309,326.32,335.92,322.09,324.14,-3.98,286,26,323.45,498,16169.85
au1310,328.11,328.11,324.39,324.39,-2.39,12,0,324.65,8,260.78
au1311,323.44,326.81,323.44,324,-3.91,22,0,324,18,586.02
au1312,324.64,328.23,321.81,324.66,-2.45,26294,16378,324.02,40374,1313348.67
au1401,324.52,328.5,323.83,325.2,-2.74,30,0,325.2,96,3121.57
au1402,325.64,330.41,325.64,326.61,-1.33,4,4,326.61,16,525.74
