date,1_year
2010-12-29,3.3573
2010-12-30,3.3275
2010-12-31,3.3
2011-01-04,3.2281
2011-01-05,3.0283
2011-01-06,2.994
2011-01-07,2.9524
2011-01-10,2.9294
2011-01-11,2.9201
2011-01-12,2.8527
2011-01-13,2.8506
2011-01-14,2.85
2011-01-17,2.8857
2011-01-18,2.9357
2011-01-19,3.0017
2011-01-20,3.0457
2011-01-21,3.0866
2011-01-24,3.1336
2011-01-25,3.2104
2011-01-26,3.2154
2011-01-27,3.1854
2011-01-28,3.1657
2011-01-30,3.1727
2011-01-31,3.1527
2011-02-01,3.1427
2011-02-09,3.1995
2011-02-10,3.2
2011-02-11,3.2
2011-02-12,3.2
2011-02-14,3.1664
2011-02-15,3.0664
2011-02-16,3.065
2011-02-17,3.065
2011-02-18,3.0587
2011-02-21,3.1532
2011-02-22,3.12
2011-02-23,3.1007
2011-02-24,3.0177
2011-02-25,3.0257
2011-02-28,3
2011-03-01,2.9727
2011-03-02,2.9697
2011-03-03,2.9496
2011-03-04,2.9508
2011-03-07,2.9352
2011-03-08,2.9394
2011-03-09,2.8898
2011-03-10,2.9105
2011-03-11,2.8904
2011-03-14,2.8977
2011-03-15,2.9007
2011-03-16,2.8986
2011-03-17,2.89
2011-03-18,2.8965
2011-03-21,2.9365
2011-03-22,2.915
2011-03-23,2.85
2011-03-24,2.8519
2011-03-25,2.851
2011-03-28,2.88
2011-03-29,2.8883
2011-03-30,2.8733
2011-03-31,2.8734
2011-04-01,2.8259
2011-04-02,2.8346
2011-04-06,2.859
2011-04-07,2.8709
2011-04-08,2.8589
2011-04-11,2.8625
2011-04-12,2.8482
2011-04-13,2.8144
2011-04-14,2.8105
2011-04-15,2.8133
2011-04-18,2.8297
2011-04-19,2.8186
2011-04-20,2.8211
2011-04-21,2.8283
2011-04-22,2.8389
2011-04-25,2.84
2011-04-26,2.8486
2011-04-27,2.8078
2011-04-28,2.8066
2011-04-29,2.8094
2011-05-03,2.8335
2011-05-04,2.82
2011-05-05,2.8528
2011-05-06,2.8661
2011-05-09,2.8614
2011-05-10,2.8567
2011-05-11,2.8758
2011-05-12,2.9065
2011-05-13,2.9747
2011-05-16,2.9799
2011-05-17,2.9596
2011-05-18,2.9585
2011-05-19,2.9788
2011-05-20,3.037
2011-05-23,3.0466
2011-05-24,3.055
2011-05-25,3.0577
2011-05-26,3.0589
2011-05-27,3.0053
2011-05-30,3.0317
2011-05-31,3.0348
2011-06-01,3.0402
2011-06-02,3.0597
2011-06-03,3.0419
2011-06-07,3.0558
2011-06-08,3.0925
2011-06-09,3.0833
2011-06-10,3.0901
2011-06-13,3.1185
2011-06-14,3.1552
2011-06-15,3.3465
2011-06-16,3.5
2011-06-17,3.6113
2011-06-20,3.5808
2011-06-21,3.5805
2011-06-22,3.5929
2011-06-23,3.6168
2011-06-24,3.5903
2011-06-27,3.4957
2011-06-28,3.5007
2011-06-29,3.4915
2011-06-30,3.4742
2011-07-01,3.432
2011-07-04,3.4018
2011-07-05,3.404
2011-07-06,3.4151
2011-07-07,3.4
2011-07-08,3.41
2011-07-11,3.3821
2011-07-12,3.4123
2011-07-13,3.5323
2011-07-14,3.5779
2011-07-15,3.5674
2011-07-18,3.5868
2011-07-19,3.665
2011-07-20,3.75
2011-07-21,3.8242
2011-07-22,3.8275
2011-07-25,3.7943
2011-07-26,3.7842
2011-07-27,3.7793
2011-07-28,3.7393
2011-07-29,3.7339
2011-08-01,3.7102
2011-08-02,3.7194
2011-08-03,3.7045
2011-08-04,3.7059
2011-08-05,3.6707
2011-08-08,3.6233
2011-08-09,3.599
2011-08-10,3.5821
2011-08-11,3.5481
2011-08-12,3.5782
2011-08-15,3.5832
2011-08-16,3.6218
2011-08-17,3.6257
2011-08-18,3.656
2011-08-19,3.6475
2011-08-22,3.6391
2011-08-23,3.6476
2011-08-24,3.66
2011-08-25,3.6607
2011-08-26,3.6692
2011-08-29,3.8092
2011-08-30,3.9379
2011-08-31,3.9174
2011-09-01,3.9
2011-09-02,3.897
2011-09-05,3.8923
2011-09-06,3.8675
2011-09-07,3.8727
2011-09-08,3.8716
2011-09-09,3.8642
2011-09-13,3.8642
2011-09-14,3.9342
2011-09-15,3.9214
2011-09-16,3.9401
2011-09-19,3.9219
2011-09-20,3.9116
2011-09-21,3.8729
2011-09-22,3.8529
2011-09-23,3.7032
2011-09-26,3.5519
2011-09-27,3.5766
2011-09-28,3.6164
2011-09-29,3.5829
2011-09-30,3.6069
2011-10-08,3.5999
2011-10-09,3.5531
2011-10-10,3.4522
2011-10-11,3.3824
2011-10-12,3.2323
2011-10-13,3.1501
2011-10-14,3.1466
2011-10-17,3.141
2011-10-18,3.1412
2011-10-19,3.1411
2011-10-20,3.1412
2011-10-21,3.14
2011-10-24,3.1347
2011-10-25,3.1669
2011-10-26,3.1691
2011-10-27,3.1898
2011-10-28,3.1898
2011-10-31,3.1398
2011-11-01,3.0899
2011-11-02,3.0681
2011-11-03,3.0252
2011-11-04,2.9969
2011-11-07,2.9901
2011-11-08,2.8563
2011-11-09,2.6438
2011-11-10,2.5705
2011-11-11,2.5683
2011-11-14,2.5562
2011-11-15,2.5459
2011-11-16,2.5692
2011-11-17,2.598
2011-11-18,2.6013
2011-11-21,2.611
2011-11-22,2.6397
2011-11-23,2.6717
2011-11-24,2.6754
2011-11-25,2.6932
2011-11-28,2.7215
2011-11-29,2.724
2011-11-30,2.7366
2011-12-01,2.5866
2011-12-02,2.6334
2011-12-05,2.6213
2011-12-06,2.6293
2011-12-07,2.63
2011-12-08,2.63
2011-12-09,2.6324
2011-12-12,2.6595
2011-12-13,2.6926
2011-12-14,2.7183
2011-12-15,2.7198
2011-12-16,2.7202
2011-12-19,2.7127
2011-12-20,2.7127
2011-12-21,2.7316
2011-12-22,2.7241
2011-12-23,2.7341
2011-12-26,2.7315
2011-12-27,2.7316
2011-12-28,2.7342
2011-12-29,2.7369
2011-12-30,2.7201
2011-12-31,2.7167
2012-01-04,2.7278
2012-01-05,2.7404
2012-01-06,2.7391
2012-01-09,2.7308
2012-01-10,2.7283
2012-01-11,2.7884
2012-01-12,2.7841
2012-01-13,2.7938
2012-01-16,2.8251
2012-01-17,2.8208
2012-01-18,2.8614
2012-01-19,2.8439
2012-01-20,2.8155
2012-01-21,2.8169
2012-01-29,2.7757
2012-01-30,2.7757
2012-01-31,2.7658
2012-02-01,2.7829
2012-02-02,2.7733
2012-02-03,2.7803
2012-02-06,2.8131
2012-02-07,2.8176
2012-02-08,2.9275
2012-02-09,2.9589
2012-02-10,2.9547
2012-02-13,2.9037
2012-02-14,2.9325
2012-02-15,2.9437
2012-02-16,2.9696
2012-02-17,2.9856
2012-02-20,2.9219
2012-02-21,2.936
2012-02-22,2.9395
2012-02-23,2.9412
2012-02-24,2.9269
2012-02-27,2.9371
2012-02-28,2.9468
2012-02-29,2.9475
2012-03-01,2.9305
2012-03-02,2.9256
2012-03-05,2.9307
2012-03-06,2.9322
2012-03-07,2.9013
2012-03-08,2.8958
2012-03-09,2.8922
2012-03-12,2.8595
2012-03-13,2.8654
2012-03-14,2.8785
2012-03-15,2.8872
2012-03-16,2.869
2012-03-19,2.8452
