交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1102,73300,75400,73300,74700,2220,9190,-3906,74830,20116,747115.41
cu1103,73760,75950,70600,73300,330,22828,-23806,72820,104822,3868167.96
cu1104,74100,76290,70750,73800,380,40680,-87014,73260,248392,9246823.05
cu1105,74550,76950,71020,74320,470,177528,65118,73650,2322956,86371583.37
cu1106,74770,77250,71350,74580,570,52572,40676,73970,178838,6630254.17
cu1107,75000,77280,71700,74710,530,4418,2682,74190,9018,336779.05
cu1108,75000,77400,71950,74800,660,2570,1038,74230,3198,119466.73
cu1109,75180,77450,71980,74730,430,1308,502,74370,2602,97494.02
cu1110,74280,77310,72010,74690,410,402,104,74500,346,13002.65
cu1111,75200,77440,72320,74720,430,472,90,74430,404,15196.63
cu1112,74700,77470,71620,74950,850,626,156,74340,498,18776.91
cu1201,74040,77340,72030,74710,610,712,306,74380,672,25314.50
cu1202,76200,76200,71800,74780, ,722,722,74440,1020,38350.11
cu小计, ,77470,70600, , ,314028,-3332, ,2892882,107528324.56
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1102,16750,16875,16625,16765,145,11620,-9400,16795,18160,152361.20
al1103,16890,17070,16710,16860,65,26970,-14486,16815,60278,509288.45
al1104,17005,17250,16785,16945,20,51448,-25086,16950,139114,1185318.62
al1105,17165,17440,16920,17115,50,107654,67286,17110,520378,4476199.96
al1106,17235,17515,17010,17240,35,43892,26854,17235,83704,723088.72
al1107,17300,17560,17095,17325,150,30174,16572,17310,51848,448733.59
al1108,17335,17570,16580,17380,180,20224,14746,17355,32816,284569.30
al1109,17385,17700,17100,17430,60,7108,5610,17415,14242,124119.33
al1110,17485,17680,17270,17500,40,5578,5322,17470,9528,83354.49
al1111,17485,17890,17290,17500,15,1548,1120,17495,2836,24864.84
al1112,17490,18065,17365,17555,145,214,120,17580,328,2877.63
al1201,18150,18150,16955,17770,265,78,68,17685,190,1680.39
al1202,17600,17700,17505,17620, ,38,38,17620,48,423.02
al小计, ,18150,16580, , ,306546,88764, ,933470,8016879.52
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1102,18730,19200,18725,19080,630,10720,-930,19150,12880,122421.03
zn1103,18885,20115,18560,18920,410,11590,-14582,18945,56370,545191.11
zn1104,19120,20345,18775,19245,545,30190,-185036,19130,891876,8656104.02
zn1105,19280,20560,18945,19450,555,282458,198032,19335,8556000,84411076.03
zn1106,19600,20715,19140,19640,600,53570,45962,19535,283412,2807329.13
zn1107,19580,20815,19325,19800,620,3864,954,19715,7534,75239.00
zn1108,19760,20890,19500,20000,625,3702,710,19840,2888,28851.66
zn1109,19700,21230,19600,20045,620,2298,332,19980,3830,38750.47
zn1110,19570,21290,19570,20245,675,1864,102,20105,1224,12437.04
zn1111,20250,21200,20005,20380,735,214,94,20220,284,2878.30
zn1112,20000,21600,19905,20380,610,52,6,20380,220,2287.93
zn1201,20400,21280,20020,20255,155,230,22,20440,484,4944.64
zn1202,20900,21555,20350,20950, ,108,108,20910,130,1357.94
zn小计, ,21600,18560, , ,400860,45774, ,9817132,96708868.26
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1102,289.10,294.50,289.10,294.00,9.00,156,0,294.00,24,703.14
au1103,290.30,301.00,272.55,279.00,-4.98,24,-24,280.61,82,2368.04
au1104,286.50,301.50,286.50,296.06,8.26,36,-50,297.64,102,2982.84
au1105,288.80,305.49,279.59,300.00,12.90,110,22,300.56,506,14906.49
au1106,288.91,303.00,284.30,301.28,12.93,52200,-2148,301.15,175006,5193698.64
au1107,294.00,301.70,293.40,300.25,11.36,50,-6,300.25,94,2800.08
au1108,289.20,302.20,289.20,300.28,16.18,4,-4,300.28,8,236.61
au1109,289.90,305.00,289.90,303.00,13.00,104,66,302.45,286,8495.92
au1110,291.31,304.05,291.00,303.79,11.69,88,40,302.83,112,3318.88
au1111,296.80,303.99,292.99,303.51,13.91,12,2,302.04,22,654.40
au1112,291.17,304.86,288.11,302.81,12.70,1568,1300,302.70,3448,103248.57
au1201,302.20,305.30,292.12,300.02,4.32,14,14,300.02,58,1739.54
au小计, ,305.49,272.55, , ,54366,-788, ,179748,5335153.15
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1102,5090,5090,5090,5090,-17,300,-120,5090,120,610.80
rb1103,5134,5170,4813,5040,-40,300,-1352,4950,2382,12038.68
rb1104,5050,5108,4922,4978,-52,680,-1788,4968,2404,12138.70
rb1105,5001,5110,4858,4899,-97,137712,-220164,4891,724590,3619145.90
rb1106,4990,5099,4800,4875,-125,1016,-172,4861,736,3666.13
rb1107,5010,5132,4855,4874,-136,4484,-220,4877,866,4331.36
rb1108,5010,5188,4829,4876,-150,440,100,4873,556,2737.03
rb1109,5058,5157,4853,4882,-156,1684,-746,4889,6612,33167.35
rb1110,5115,5230,4861,4899,-201,651826,296996,4897,6879248,34621899.04
rb1111,5130,5259,4889,4925,-205,1364,906,4914,1998,10038.31
rb1112,5200,5268,4904,4940,-158,494,458,4940,676,3432.53
rb1201,5145,5283,4910,4959,-201,968,740,4950,1850,9396.65
rb1202,5188,5188,4907,4925, ,2,2,4925,14,69.98
