交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1004,60990,63130,60990,61300,600,9240,-6270,61490,24370,750986.70
cu1005,61120,62930,57360,58600,-2450,20970,-18096,58400,88240,2685514.55
cu1006,61590,63360,57430,58580,-2740,33696,-55520,58590,238728,7348511.16
cu1007,61810,63790,57800,58650,-2980,104178,-101208,58650,5075090,157031864.23
cu1008,61990,63980,57960,58740,-2910,158026,139670,58710,1943736,58438770.60
cu1009,61860,64070,58200,58770,-2930,12738,6046,58800,69770,2125656.51
cu1010,62060,64170,58230,58900,-3000,5836,2176,58780,11784,359486.05
cu1011,62270,64270,58480,59020,-3010,3228,696,58960,4712,145148.77
cu1012,62140,64300,58520,59060,-2940,6016,612,59050,9704,300964.18
cu1101,62490,64150,58520,59200,-2850,774,6,59420,2032,62909.43
cu1102,62450,64160,58320,59320,-2730,690,72,59170,1612,49995.30
cu1103,62550,64200,58780,59330,-2670,818,270,59260,1788,55431.28
cu1104,63300,63330,58680,59380, ,256,256,59570,666,20285.03
cu小计, ,64300,57360, , ,356466,-31290, ,7472232,229375523.79
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1004,16210,16510,15800,16455,255,25980,-5436,16385,40176,329194.51
al1005,16445,16800,15350,15915,-490,30420,-23772,15880,92392,757108.06
al1006,16645,16990,15550,16085,-490,56496,-57470,16015,306930,2552299.43
al1007,16770,17210,15660,16210,-490,118176,50718,16170,1910816,16052783.59
al1008,16850,17380,15875,16360,-490,54056,40846,16310,242298,2017186.99
al1009,17070,17465,16000,16440,-505,17978,11700,16420,49806,421694.83
al1010,17110,17580,16125,16560,-490,6936,3976,16520,13774,117096.50
al1011,17180,17630,16110,16630,-470,2950,1032,16630,4724,40071.98
al1012,17345,17790,16360,16755,-410,1750,266,16740,2050,17485.48
al1101,17355,17790,16660,16850,-415,308,94,16790,1354,11567.19
al1102,17470,17835,16650,16970,-430,218,30,16890,588,5021.46
al1103,17575,17900,16600,17120,-425,230,156,17080,692,5960.77
al1104,17480,17600,16660,17120, ,110,110,17155,164,1410.71
al小计, ,17900,15350, , ,315608,22250, ,2665764,22328881.47
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
