交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1011,62750,68970,62750,64450,1850,7700,-7936,64920,30006,981061.96
cu1012,62800,69480,61000,62380,-80,18240,-30172,62060,122554,3961006.05
cu1101,62840,69690,61000,62500,100,31296,-58710,62260,238008,7724475.60
cu1102,62970,70150,60900,62530,70,55690,-84246,62270,4600992,150897737.00
cu1103,62900,70200,60920,62660,160,161214,150018,62290,3612748,114086370.71
cu1104,63110,70200,61080,62720,70,12074,10378,62300,54132,1727872.23
cu1105,63000,70190,61070,62880,220,6546,4240,62510,31750,1020329.85
cu1106,63020,70110,61300,62850,190,1454,534,62500,4666,149391.45
cu1107,64330,70000,61300,62900,80,862,380,62460,2022,64568.01
cu1108,63450,70180,60840,62530,-610,1122,800,62410,3028,98697.94
cu1109,63850,70010,61240,62900,-250,428,110,62500,2506,80809.39
cu1110,63160,70270,61060,62900,-260,238,174,62570,1184,38390.84
cu1111,64500,64770,61270,62980, ,158,158,62890,684,21419.50
cu小计, ,70270,60840, , ,297022,-14272, ,8704280,280852130.53
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1011,16270,16795,15985,16300,140,25410,-4630,16255,27700,226888.38
al1012,16350,16925,15300,15880,-360,26130,-35022,15860,163574,1333541.96
al1101,16505,17150,15335,16030,-390,43246,-76130,16010,415906,3443623.40
al1102,16680,17400,15940,16205,-360,77608,-8220,16165,3178516,26663768.81
al1103,16860,17725,16100,16375,-355,64868,46134,16335,619056,5176840.23
al1104,17000,17615,16230,16545,-255,14082,8878,16510,49012,412711.61
al1105,17050,17880,16305,16675,-205,11818,3256,16650,39636,340423.68
al1106,17255,17800,16430,16840,-320,3034,2034,16830,10330,88935.02
al1107,17285,17945,16605,17030,-145,1118,768,17020,1812,15582.21
al1108,17435,18050,16685,17200,-50,868,738,17180,1206,10396.58
al1109,17645,18295,16710,17380,-20,446,164,17320,2214,19398.94
al1110,17595,18065,16850,17340,-130,74,12,17340,166,1459.84
al1111,17585,17720,16745,17410, ,126,126,17410,320,2765.61
al小计, ,18295,15300, , ,268828,-61892, ,4509448,37736336.24
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1011,19000,20500,17995,18090,-880,15310,-170,18355,10560,103202.08
zn1012,19255,21270,16005,16595,-2585,15290,-8658,16885,83972,801979.03
