交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu0903,28540,31220,27400,30810,2150,2730,-16774,30770,37524,562491.82
cu0904,28010,35810,27650,34680,6470,16460,-27876,34140,138694,2172651.96
cu0905,27740,34880,27210,34000,6150,51356,-94362,33570,2008030,29305702.12
cu0906,27430,34580,27020,33520,5840,144466,68594,33060,8864516,138308823.50
cu0907,27380,34500,26990,33300,5700,182322,159362,32860,2465324,40350138.60
cu0908,27390,34300,26980,33170,5590,21708,15374,32750,91894,1477282.69
cu0909,27380,34200,27070,33000,5400,5102,3346,32670,25406,401736.07
cu0910,27380,34100,27100,33020,5360,4028,1358,32400,11996,187782.75
cu0911,27250,33990,27100,32950,5350,2822,1172,32300,8214,128930.50
cu0912,27280,34110,27060,32940,5380,7200,4098,32350,21096,332338.95
cu1001,27320,33860,27050,32950,6160,1238,608,32390,3778,58575.33
cu1002,26660,33900,26660,32960,6300,592,590,32430,2406,38298.36
cu1003,31500,33980,30030,32820, ,1772,1772,32240,4914,79654.52
cu小计, ,35810,26660, , ,441796,117262, ,13683792,213404407.17
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al0903,12000,12800,11885,12705,675,5640,-10080,12620,21710,132083.00
al0904,11750,13720,11680,13550,1760,19268,-15842,13495,82244,515037.27
al0905,11630,13300,11520,13035,1385,48238,-41636,13020,452940,2727019.12
al0906,11540,13170,11405,12780,1170,113492,74768,12700,2420328,15020942.09
al0907,11575,13080,11410,12660,1070,85534,71536,12585,490622,3073373.85
al0908,11600,13110,11420,12590,980,27630,22296,12510,86914,541662.43
al0909,11550,13130,11450,12590,960,10592,8094,12505,24580,153310.48
al0910,11750,13195,11420,12575,955,3946,1536,12510,7676,47376.93
al0911,11610,13100,11460,12560,890,3072,1286,12505,6084,37181.66
al0912,11635,13060,11480,12580,945,2056,676,12525,3718,22781.14
al1001,11630,13100,11520,12695,935,372,358,12535,1106,6623.24
al1002,11700,13125,11500,12565,755,592,586,12520,1876,11385.17
al1003,11805,13060,11805,12600, ,662,662,12535,1286,8123.91
al小计, ,13720,11405, , ,321094,114240, ,3601084,22296900.27
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn0903,10425,10940,10410,10800,375,2510,-6660,10775,8310,44437.30
zn0904,10200,11940,10200,11680,1410,6122,-22174,11675,46502,252500.03
zn0905,10180,11930,10130,11695,1515,16144,-96012,11560,732106,3872721.52
zn0906,10240,11960,10095,11675,1525,79154,5792,11525,2745758,15113002.41
zn0907,10170,11980,10100,11700,1575,98906,87302,11550,705932,4017477.40
zn0908,10160,11955,10115,11700,1570,21058,19630,11575,63552,364043.69
zn0909,10150,12210,10100,11715,1585,6124,4590,11555,17606,99049.38
zn0910,10150,11950,10120,11740,1625,2002,1550,11470,3596,19949.04
zn0911,10150,12065,10120,11770,1630,2040,1258,11510,3460,19170.72
zn0912,10210,12305,10110,11780,1520,1606,900,11530,2786,15344.25
zn1001,10200,12100,9960,11800,1590,774,328,11710,1720,9656.11
zn1002,10290,12185,10220,11865,1605,444,376,11750,1046,5840.05
zn1003,10810,12300,10810,11900, ,200,200,11870,614,3610.07
zn小计, ,12305,9960, , ,237084,-2920, ,4332988,23836801.94
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au0903,226.00,237.30,226.00,226.00,16.00,6,-4,231.65,22,503.98
au0904,201.99,210.90,200.80,210.90,1.40,0,-8,210.90,16,325.66
au0905,209.38,212.00,194.74,204.98,-2.62,54,-44,204.22,916,18788.36
au0906,208.68,212.12,196.53,202.49,-3.99,31200,-9702,202.22,515464,10539505.47
au0907,208.55,212.29,197.22,202.48,-4.32,138,48,201.85,958,19671.98
au0908,209.52,210.30,197.96,202.44,-5.50,92,10,202.45,228,4684.09
au0909,209.74,218.97,196.50,202.60,-5.38,340,-36,202.32,850,17447.80
au0910,209.60,213.21,198.07,202.74,-3.62,78,58,202.70,212,4345.99
au0911,208.28,211.90,197.28,204.66,-1.05,84,-4,204.65,156,3197.51
au0912,208.52,212.73,196.88,202.50,-3.82,8656,7128,202.33,24846,508383.85
au1001,205.62,210.91,203.00,205.99,-1.56,4,2,205.99,60,1242.96
au1002,211.69,212.80,206.43,206.43,8.76,2,2,207.32,20,420.47
au1003,209.72,209.72,204.84,204.96, ,0,0,204.96,18,373.62
