交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1001,59400,63000,59300,60110,550,4010,-9120,60360,21890,664586.60
cu1002,60130,63250,55500,55510,-4390,8636,-15780,56240,65904,1985989.11
cu1003,59990,64180,55520,55580,-4320,22344,-40212,56200,177758,5380039.34
cu1004,60150,63450,55390,55430,-4590,60246,-84566,56060,3794292,115460232.53
cu1005,60480,63530,55390,55570,-4510,234376,197046,56170,4543898,135483627.94
cu1006,60300,63620,55380,55510,-4650,37394,28802,56190,153802,4538594.29
cu1007,60200,63630,55400,55520,-4780,7346,3044,56100,15972,478677.22
cu1008,60250,63750,55100,55640,-4660,3946,944,56300,7378,221067.86
cu1009,60250,63820,55400,55600,-4750,2120,476,56190,5194,155905.77
cu1010,60450,63870,55360,55410,-4890,2518,634,56120,5112,153275.19
cu1011,60570,64060,55010,55390,-4910,1316,602,55650,3518,105753.96
cu1012,60200,64230,55120,55200,-5190,5430,5062,55960,11736,349783.07
cu1101,60890,61800,55050,55150, ,598,598,55470,1004,28941.99
cu小计, ,64230,55010, , ,390280,87530, ,8807458,265006474.87
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1001,16620,18010,16510,17150,350,14680,-8820,17205,31650,271784.63
al1002,17020,18260,15705,15860,-1140,21810,-15608,15900,70152,600971.94
al1003,17165,18470,15850,15950,-1210,35468,-39480,15990,199572,1736620.09
al1004,17440,18685,15820,16040,-1350,83234,-43478,16070,3804162,33777759.76
al1005,17570,18790,16020,16140,-1350,108346,72190,16185,2585290,22512607.84
al1006,17505,18745,16090,16250,-1225,49034,19684,16240,273986,2409011.74
al1007,17490,18780,16145,16240,-1230,33168,14698,16280,96608,854863.83
al1008,17520,18695,16220,16320,-1230,9146,6070,16350,22094,197258.07
al1009,17515,18730,16235,16235,-1405,5040,3154,16390,14452,128802.86
al1010,17705,18820,16300,16375,-1325,2582,1442,16475,6228,55393.69
al1011,17665,18980,16300,16330,-1550,1428,868,16540,5302,47534.06
al1012,18045,18960,16350,16555,-1345,1078,1038,16555,4008,35768.08
al1101,18000,18270,16580,16685, ,50,50,16640,218,1901.36
al小计, ,18980,15705, , ,365064,11808, ,7113722,62630277.93
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1001,21095,21990,19900,19960,-845,7480,-360,20030,6600,68442.28
zn1002,21185,22200,17100,17100,-4245,6458,-7734,17610,26746,274658.33
zn1003,21210,22450,17170,17200,-3995,12366,-33002,17740,199448,2094122.22
zn1004,21405,22600,17325,17395,-3980,37702,-112854,17845,5402470,57061331.47
zn1005,21535,22780,17530,17590,-3950,188626,158040,17990,6601378,66071354.39
zn1006,21725,22850,17875,17875,-3875,44672,41736,18210,223080,2182892.95
zn1007,21995,22990,17830,17890,-4100,4560,3178,18270,12626,130882.08
zn1008,21845,23100,18060,18060,-4040,1968,774,18435,5116,53013.33
zn1009,22200,23190,18170,18170,-4030,1002,-40,18420,5536,58569.02
zn1010,22360,23150,18195,18210,-4150,1896,88,18430,4102,43784.82
zn1011,22105,23255,18260,18320,-3980,478,140,18465,1354,14638.23
zn1012,22520,23145,18365,18365,-4145,1030,686,18580,2514,27018.26
zn1101,21950,22690,18525,18525, ,112,112,18840,288,2956.75
zn小计, ,23255,17100, , ,308350,50764, ,12491258,128083664.11
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1001, , , ,241.00,0.00,12,0,241.36,0,0.00
au1002,244.22,256.00,240.00,240.00,-3.80,12,-68,240.00,442,11065.37
au1003,240.76,258.00,238.26,239.17,-9.83,80,-14,239.17,468,11680.23
au1004,245.92,258.60,240.20,240.50,-5.50,38,-16,240.50,282,7044.44
au1005,243.54,258.00,239.08,239.45,-7.80,144,8,239.86,2216,55202.92
au1006,245.38,258.44,239.30,239.36,-8.15,64946,-35418,239.99,854862,21348492.75
au1007,246.50,260.40,239.62,239.62,-9.18,68,-26,240.95,416,10438.45
au1008,247.94,256.26,240.11,240.11,-6.04,30,-42,240.60,152,3800.70
au1009,254.24,258.37,240.01,240.01,-8.98,78,0,241.32,464,11638.21
au1010,247.30,258.63,240.36,240.60,-7.59,182,-16,240.92,328,8286.45
au1011,248.10,259.53,240.50,241.00,-7.20,50,-10,241.57,110,2763.16
au1012,246.82,259.95,241.01,241.02,-6.48,348,262,241.62,992,24770.34
au1101,248.94,250.60,247.52,244.84, ,2,2,244.84,20,497.58
au小计, ,260.40,238.26, , ,65990,-35338, ,860752,21495680.60
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1001,3899,4055,3775,3975,74,8400,-13862,3969,20702,82475.48
rb1002,4028,4148,3854,3884,-130,21378,-76802,3884,147226,592051.77
rb1003,4163,4285,3999,4025,-125,61922,-74804,4021,279846,1161655.14
rb1004,4317,4489,4101,4149,-168,40802,-11462,4146,134622,574223.02
rb1005,4523,4650,4255,4300,-211,870164,-41682,4298,26415816,116899110.88
rb1006,4582,4696,4320,4359,-219,36662,7972,4360,96376,435264.05
rb1007,4648,4724,4303,4403,-207,7570,500,4408,15064,68827.55
rb1008,4658,4739,4412,4456,-180,3764,640,4462,7394,34083.04
rb1009,4697,4790,4480,4521,-144,10704,-1692,4521,25000,116041.57
rb1010,4710,4882,4546,4607,-95,154466,67684,4601,2206838,10354786.77
rb1011,4718,4882,4576,4645,-73,15734,-6482,4638,52478,248619.02
rb1012,4734,4888,4610,4663,-68,5628,1130,4672,24334,115845.16
rb1101,4750,4820,4646,4701, ,1920,1920,4695,5050,23939.91
rb小计, ,4888,3775, , ,1239114,-146940, ,29430746,130706923.34
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1001,3800,4120,3800,3910,158,660,-60,3910,1200,4700.82
wr1002,3915,4068,3630,3670,-202,660,-1880,3689,4074,15947.05
wr1003,4016,4118,3831,3840,-160,2040,-660,3846,3750,15063.27
wr1004,4124,4259,3890,3950,-169,2448,1872,3950,3646,14919.62
wr1005,4322,4402,4061,4095,-205,11624,5694,4097,32808,139386.21
wr1006,4460,4460,4135,4210,-149,902,102,4185,644,2791.99
wr1007,4420,4597,4230,4237,-143,904,-30,4249,618,2696.29
wr1008,4455,4513,4260,4277,-139,976,-12,4277,116,510.88
wr1009,4483,4569,4265,4301,-136,2806,-28,4300,632,2795.78
wr1010,4480,4615,4341,4394,-66,3346,-586,4393,3400,15232.26
wr1011,4519,4622,4375,4419,-62,968,16,4419,114,513.42
wr1012,4506,4650,4501,4518,18,46,36,4518,142,646.49
wr1101,4685,4685,4555,4500, ,4,4,4500,6,27.65
wr小计, ,4685,3630, , ,27384,4468, ,51150,215231.72
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1003,4351,4588,4265,4315,-24,22136,-17908,4409,178138,791594.13
fu1004,4455,4694,4424,4459,37,1172,-1860,4472,13248,60083.30
fu1005,4535,4768,4450,4496,-20,142798,31136,4520,5010392,23106828.97
fu1006,4591,4820,4507,4543,-14,2524,830,4571,16656,77442.87
fu1007,4726,4928,4553,4600,-25,482,286,4619,1768,8341.84
fu1008,4715,4999,4605,4623,-52,108,-144,4672,668,3182.42
fu1009,4784,5009,4586,4625,-105,1644,1368,4667,4988,23866.63
fu1010,4790,5018,4610,4700,-96,308,-14,4705,736,3558.10
fu1011,4824,5048,4728,4750,-80,568,52,4756,1118,5440.95
fu1012,4835,5085,4780,4803,-82,182,76,4797,814,3997.94
fu1101,5099,5099,4731,4854, ,24,24,4782,44,215.94
fu小计, ,5099,4265, , ,171946,13846, ,5228570,24084553.10
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1001,23850,25230,23425,24200,620,15272,-338,24420,4900,59486.22
ru1003,23910,25550,22280,22475,-1325,16076,-52036,22670,320248,3896660.34
ru1004,24355,25900,22555,22665,-1480,328,-318,22985,9506,117722.95
ru1005,24595,26170,22760,22985,-1475,172460,43596,23195,19622220,243393450.11
ru1006,24500,26025,22825,23085,-1215,394,76,23210,4664,57973.06
ru1007,24950,26190,22840,23060,-1490,4712,-336,23275,24130,301026.71
ru1008,24680,26230,23050,23400,-1280,100,-10,23460,508,6347.06
ru1009,24710,26205,23160,23425,-1225,38594,28416,23575,1044670,12918320.11
ru1010,24430,25900,23125,23350,-1080,72,12,23585,542,6748.73
ru1011,25160,26330,22975,23200,-915,2458,348,23235,6758,83380.90
ru1101,24950,26480,23715,23900, ,196,196,23990,1030,12913.85
ru小计, ,26480,22280, , ,250662,19606, ,21039176,260854030.01
总计, , , , , ,2818790,5744, ,85022832,893076835.66
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数
