交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1104,70600,75110,70430,71150,640,5260,-11690,71220,26770,961734.65
cu1105,70790,73770,69500,70200,-460,18744,-41372,70060,118204,4215390.09
cu1106,70850,73940,69400,69750,-950,72826,-80574,69660,1600284,57174962.3
cu1107,70980,73980,68880,69200,-1580,185822,157470,69210,1530600,53944109.8
cu1108,70900,73980,68620,69200,-1550,29084,23324,69120,62008,2177411.03
cu1109,71100,74050,68810,69160,-1740,9052,6990,69090,22322,787311.3
cu1110,71100,74050,68810,69250,-1650,2122,1408,69100,3224,113633.27
cu1111,71250,74030,68780,69200,-1850,1278,598,69050,1820,64035.07
cu1112,71250,74000,68740,69120,-1880,1428,598,69010,1490,52395.4
cu1201,71170,74000,68980,69250,-1540,728,2,69130,766,27057.4
cu1202,71190,73880,69220,69270,-1550,748,32,69330,390,13798.68
cu1203,71100,73880,69140,69140,-1740,200,128,69190,420,14917.46
cu1204,70000,71670,69160,69320, ,46,46,69260,144,5051.83
cu小计, ,75110,68620, , ,327338,56960, ,3368442,119551808.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1104,16580,16700,16510,16535,0,28310,-11282,16565,22652,187929.23
al1105,16675,16825,16510,16600,-70,47970,-12692,16615,84936,708054.49
al1106,16760,16945,16620,16735,-40,61084,-8956,16740,210416,1765204.25
al1107,16885,17050,16700,16850,-35,66776,24198,16845,186116,1567456.83
al1108,17000,17150,16700,16920,-50,35666,6366,16925,25852,218850.73
al1109,17085,17240,16820,17000,-85,25360,8256,16995,23536,200132.38
al1110,17150,17295,16695,17055,-90,13448,1686,17040,7246,61884.59
al1111,17235,17335,16950,17075,-145,11394,3180,17080,7344,62988.62
al1112,17260,17380,17000,17125,-125,5026,3778,17130,6686,57632.06
al1201,17320,17455,16930,17155,-170,588,50,17125,708,6111.11
al1202,17435,17440,17085,17195,-205,610,246,17245,536,4608.35
al1203,17125,17500,17125,17300,-130,200,80,17300,312,2706.07
al1204,17205,17485,16940,17300, ,12,12,17320,74,639.92
al小计, ,17500,16510, , ,296444,14922, ,576414,4844198.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1104,17970,18635,17840,17980,220,12930,-1436,18030,18956,173195.9
zn1105,18115,18835,16470,17010,-1065,20754,-54376,17025,143420,1286706.14
zn1106,18300,19035,16870,17160,-1080,109612,-99840,17195,3697304,33564443.18
zn1107,18480,19275,16980,17320,-1070,211096,180192,17330,2988590,26277836.08
zn1108,18545,19340,17120,17420,-1040,30202,25880,17445,84622,752683.62
zn1109,18680,19480,17285,17560,-1090,7568,4434,17585,33612,306296.47
zn1110,19115,19580,17425,17690,-1060,2636,716,17710,3640,33514.03
zn1111,19000,19690,17590,17880,-1020,376,92,17860,630,5841.19
zn1112,19125,19755,17695,18005,-1385,352,184,17980,696,6502.36
zn1201,19270,19915,17855,18215,-905,304,44,18145,536,5077.16
zn1202,19310,20070,18030,18300,-1400,276,74,18335,532,5029.02
zn1203,19565,20100,18280,18300,-1210,106,102,18300,350,3356.06
zn1204,19245,19245,18645,18645, ,2,2,18695,8,75.29
zn小计, ,20100,16470, , ,396214,56068, ,6972896,62420556.48
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1104,299.5,299.5,299.5,300,1,12,0,300,6,179.7
au1105,303.5,325,295.73,325,21.5,36,-42,324.05,110,3439.28
au1106,302.03,321,301.32,320,18.74,6162,-31282,319.91,124232,3836360.29
au1107,307.8,319.28,306.3,315.7,14.1,38,-2,316.9,72,2253.27
au1108,309.03,315.5,308.4,318.94,18.74,4,4,318.94,32,992.75
