交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1202,59500,61000,58670,59540,-460,14780,-20360,59550,54940,1640221.35
cu1203,59900,61490,58600,60350,20,36298,-50582,60320,301234,9027381.52
cu1204,60100,63880,58730,60840,220,74610,-130084,60670,2748464,82864883.79
cu1205,60200,62230,58780,61070,290,202302,122924,60890,7629200,230579993.9
cu1206,60290,62370,58850,61310,490,122346,103386,61060,1220712,36909573.55
cu1207,60730,62480,58900,61450,590,16878,13388,61180,58914,1780654.96
cu1208,60400,62520,58950,61420,490,4446,2526,61200,13594,411290.4
cu1209,60500,62500,58980,61430,540,4854,1272,61230,7504,227036.62
cu1210,60400,62400,59010,61360,360,1258,420,61230,3218,97291.58
cu1211,60400,62480,59140,61400,640,740,412,61280,2036,61477.8
cu1212,60330,62560,59000,61500,780,632,420,61310,1994,60186.49
cu1301,60300,62550,59000,61330,410,414,308,61150,1190,36112.79
cu1302,59810,61360,59390,61360,61360,60,60,61130,206,6213.67
cu小计, ,63880,58600, , ,479618,44090, ,12043206,363702318.5
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1202,16080,16080,15905,15935,-185,14040,-13650,15925,27860,222474.83
al1203,16160,16195,15910,16055,-160,39600,5226,16035,72144,579582.01
al1204,16245,16290,16040,16145,-160,42108,-17172,16135,144330,1167746.3
al1205,16320,16385,16105,16250,-140,54790,15630,16245,213914,1739151.62
al1206,16410,16465,16215,16340,-100,32002,12944,16325,69068,564115.04
al1207,16475,16550,16310,16440,-45,18714,13772,16425,24072,197462.91
al1208,16505,16615,16400,16515,-30,2730,128,16510,1092,8983.87
al1209,16600,16695,16440,16645,45,1506,52,16645,668,5547.88
al1210,16635,16775,16545,16725,-30,1806,-2,16725,696,5813.58
al1211,16675,16835,16630,16835,150,166,-34,16835,240,2007.56
al1212,16765,16935,16750,16860,75,114,56,16860,186,1565.34
al1301,16790,16990,16715,16910,90,234,230,16910,810,6857.97
al1302,16850,17000,16850,17000,17000,24,24,17000,34,287.7
al小计, ,17000,15905, , ,207834,17204, ,555114,4501596.57
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1202,15715,16500,15530,15615,-15,8150,-840,15700,13030,102893
zn1203,15905,16165,15340,15990,45,12148,-41352,15865,127570,1009706.5
zn1204,15985,16300,15440,16000,-65,46306,-110700,15985,1962188,15678561.2
zn1205,16040,16405,15525,16140,0,187688,137108,16110,3118068,24801842.55
zn1206,16160,16485,15610,16250,70,70566,54646,16215,354940,2838465.04
zn1207,16065,16560,15690,16350,140,5412,4180,16315,11980,96181.57
zn1208,16310,17275,15600,16430,120,1018,-88,16405,1600,13003.33
zn1209,16205,16840,15770,16500,140,736,214,16465,2250,18273.5
zn1210,16290,16790,15950,16545,215,306,96,16545,368,3006.5
zn1211,16440,16835,16010,16615,115,116,26,16600,200,1633.73
zn1212,16360,16810,16075,16660,245,88,18,16650,194,1594.33
zn1301,16520,16900,16185,16745,165,90,82,16715,294,2438.15
zn1302,16170,16760,16170,16755,16755,32,32,16755,56,462.96
zn小计, ,17275,15340, , ,332656,43422, ,5592738,44568062.35
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1202,351,351,351,353,1.48,72,-6,353,6,210.6
au1203,356.52,363.27,351.35,363.19,6.2,120,-56,363.19,122,4373
au1204,357,365.7,351.51,365.33,8.33,138,-14,365.17,248,8861.45
au1205,356.14,366.06,351.7,365.77,8.62,152,-50,365.58,1554,55530.69
au1206,354.88,364.9,349.9,364.75,9.73,82558,8124,364.32,1041984,37067418.6
au1207,358.95,364.6,350.38,364.6,8.62,26,-8,364.6,78,2772.43
au1208,357.82,363.41,351.92,363.06,5.15,14,-8,363.06,38,1362.14
au1209,355.07,364.65,341,364.65,9.86,52,-2,364.4,190,6796.88
au1210,354.83,363.1,351.6,364.92,10.42,14,4,364.92,24,853.44
au1211,355.4,358.76,353.03,363.05,7.06,8,-2,363.05,6,213.44
au1212,355.9,365.37,350.51,365,8.82,9808,4830,364.59,33100,1182255.84
au1301,361.47,363.45,361.47,364.93,8.27,4,4,364.93,12,435.06
au小计, ,366.06,341, , ,92966,12816, ,1077362,38331083.57
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
