交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1306,53700,54040,52200,52400,-1030,6490,-20082,52590,79812,2127537
cu1307,53360,53850,48320,49220,-3890,39670,-14150,49070,339644,8656308.11
cu1308,53160,53750,48020,49020,-3870,66312,-32834,48850,295832,7541844.38
cu1309,53000,53650,47860,48850,-3870,103906,-138060,48670,1933728,50244687.83
cu1310,52860,53550,47560,48580,-4010,351094,168034,48390,9766134,244603484.2
cu1311,52770,53500,47470,48410,-4090,144612,106306,48240,1329830,32745290.03
cu1312,52750,53490,47460,48350,-4150,54162,37154,48220,254792,6305137.55
cu1401,52910,53500,47510,48310,-4220,10936,4880,48200,41026,1015373.83
cu1402,53020,53500,47580,48430,-4080,4952,3202,48350,10216,251131.97
cu1403,52500,53500,47860,48600,-3850,3850,2546,48460,6278,154148.51
cu1404,53030,53630,47970,48800,-3760,3058,2040,48700,4912,121946.45
cu1405,53000,53640,48060,48920,-3760,1282,934,48820,2856,71056.42
cu1406,51170,51170,48090,49020,49020,822,822,49000,1908,46938.34
cu小计, ,54040,47460, , ,791146,120792, ,14066968,353884884.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1306,14810,14940,14225,14765,-75,12040,-6962,14780,33322,247319.36
al1307,14805,14950,14305,14360,-445,19100,-19166,14350,68450,502721.91
al1308,14840,14975,14205,14250,-580,33620,-17972,14265,95016,698582.35
al1309,14845,14980,14130,14230,-610,45006,-2140,14240,153992,1131709.75
al1310,14875,14990,14160,14215,-645,71750,49874,14230,188166,1370370.07
al1311,14905,15000,14195,14225,-640,33922,25490,14235,56822,410873.64
al1312,14910,15005,14210,14230,-630,10094,8554,14240,17212,124371.13
al1401,14900,15060,14250,14275,-565,2252,2028,14275,3122,22826.88
al1402,14830,15120,14275,14300,-495,498,400,14305,678,4913.49
al1403,14805,15195,14250,14300,-595,174,126,14300,230,1664.41
al1404,14995,15025,14255,14360,-500,28,-2,14360,26,188.73
al1405,15020,15155,14380,14405,-525,88,42,14405,172,1260.2
al小计, ,15195,14130, , ,228572,40272, ,617208,4516801.88
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1306,14805,14845,14470,14570,-145,8710,-7710,14560,20400,149459.93
zn1307,14805,14865,14260,14420,-290,11920,-28522,14410,67766,495190.28
zn1308,14830,14900,14225,14395,-325,37978,-64016,14390,165504,1213537.51
zn1309,14890,14940,14220,14410,-350,94650,-75678,14385,674770,4946669.18
zn1310,14950,14975,14225,14420,-380,160580,111260,14405,784036,5682720.17
zn1311,14960,14995,14245,14445,-385,38734,30546,14430,77068,557604.38
zn1312,14955,15025,14320,14460,-430,6096,4054,14450,8424,61286.49
zn1401,15195,15195,14360,14505,-400,1308,970,14495,2302,16845.12
zn1402,15025,15060,14415,14520,-420,242,98,14520,262,1921.15
zn1403,15050,15100,14440,14560,-460,194,56,14560,156,1143.67
zn1404,15090,15115,14550,14600,-400,70,52,14600,66,483.18
zn1405,15165,15200,14535,14750,-50,146,146,14860,420,3118.8
zn1406,15105,15105,14665,14725,14725,2,2,14725,8,59.36
zn小计, ,15200,14220, , ,360630,-28742, ,1801182,13130039.19
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1306,278.51,284.86,275.1,276.31,-7.46,1218,-1664,276.3,3644,101993.27
au1307,279.61,283.42,242.2,242.45,-41.51,12,-40,243.1,146,3805.05
au1308,279.65,284.86,242.2,244.2,-39.47,130,-18,244.9,264,7005.77
au1309,279.61,284.17,240,243,-40.16,490,132,242.5,3930,105150.55
au1310,279.85,283.33,239.25,244.7,-39.2,120,4,241.85,644,16425.42
au1311,283,283,241.3,244.6,-39.9,60,-30,242.85,162,4153.6
au1312,279.62,283.44,238.9,243.8,-39.77,121334,11892,242.6,1481192,38973841.27
au1401,281.23,284.63,238.9,245.35,-38.92,316,212,243.65,3172,82828.99
au1402,270.19,270.4,251.45,244.05,-39.39,10,4,244.05,28,724.37
au1403,275.17,275.2,243.2,245.85,-38.28,26,-4,244.75,58,1524.79
au1404,282.45,284.36,241.3,244.7,-40.84,36,-8,243.4,68,1841.28
au1405,279.67,283.63,251.5,243.55,-37.67,20,12,243.55,66,1796.48
au1406,277.16,277.97,238.9,245.15,245.15,302,302,243.65,812,20704.84
au小计, ,284.86,238.9, , ,124074,10794, ,1494186,39321795.68
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1306,3081,3250,3081,3210,14,300,-120,3210,600,1918.56
rb1307,3370,3374,3120,3162,-177,132,-116,3165,1196,3930.91
rb1308,3413,3464,3235,3361,-47,172,-238,3371,1838,6186.46
rb1309,3429,3499,3365,3449,27,3750,-1892,3447,100032,343498.12
rb1310,3430,3547,3382,3488,72,1115988,-1139908,3481,50676190,175458765.9
rb1311,3460,3565,3409,3511,56,750,46,3512,4240,14812.8
rb1312,3527,3584,3390,3520,51,726,140,3522,2330,8191.42
rb1401,3493,3616,3442,3535,59,890670,680152,3536,13762600,48556791.24
rb1402,3563,3628,3492,3558,34,344,-16,3562,1230,4382.99
rb1403,3581,3646,3511,3588,30,390,112,3581,742,2658.33
rb1404,3607,3685,3402,3599,35,226,-2,3601,1260,4525.43
rb1405,3568,3696,3538,3616,59,4092,2746,3613,25174,91052.42
rb1406,3650,3650,3599,3604,3604,4,4,3604,4,14.5
rb小计, ,3696,3081, , ,2017544,-459092, ,64577436,224496729
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1307,3451,3604,3451,3525,-128,0,0,3525,16,56.05
wr1308,3400,3668,3400,3592,115,2,0,3592,18,64.18
wr1309,3593,3593,3411,3498,0,0,0,3498,12,42.04
wr1310,3563,3628,3480,3579,15,16,-18,3579,340,1215.35
wr1311,3625,3625,3523,3550,120,6,2,3550,26,92.58
wr1312,3600,3600,3485,3524,32,10,4,3524,22,77.83
wr1401,3595,3616,3499,3567,9,6,-18,3572,138,490.37
wr1402,3686,3686,3520,3599,-21,8,-2,3602,24,86.29
wr1403,3616,3616,3533,3606,16,6,-4,3606,50,177.52
wr1405,3636,3695,3503,3599,4,2,0,3599,12,43.12
wr小计, ,3695,3400, , ,56,-36, ,658,2345.34
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1309,4706,5028,4560,4744,-210,4,-8,4744,68,1619.69
fu1310,5343,5343,4767,4712,-562,2,0,4712,8,198.23
fu1312,5000,5000,4753,4859,-124,2,0,4859,4,97.53
fu1402,4930,5407,4930,5225,93,2,0,5225,22,555.76
fu1404,4771,4771,4545,4545,-638,0,0,4545,4,93.16
fu1405,4769,5021,4769,4771,-279,2,0,4771,6,145.61
fu小计, ,5407,4545, , ,12,-8, ,112,2709.98
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1306,18565,18740,17235,17600,-720,1778,260,17620,1468,26644.77
ru1307,18595,18940,16600,16610,-1920,1776,1028,16695,5422,94411.61
ru1308,18515,19080,16700,16820,-1765,2474,1572,16900,7124,125184.04
ru1309,18865,19290,16825,17005,-1735,121160,-68632,17065,8409732,152258383.9
ru1310,19260,19330,16890,17150,-1620,364,20,17200,4466,80171.65
ru1311,19320,19380,16620,17150,-1700,2324,-850,17145,8628,154452.61
ru1401,19540,19920,17475,17735,-1710,143764,87480,17790,4253744,77645580.88
ru1403,19735,20000,17890,18030,-1640,90,-64,18065,582,10968.76
ru1404,19755,19990,17815,18200,-1370,90,-56,18195,272,5156.5
ru1405,19780,20210,17965,18270,-1435,1168,966,18295,6980,130652.57
ru1406,19380,19695,18485,18525,18525,8,8,18525,20,385.8
ru小计, ,20210,16600, , ,274996,21732, ,12698438,230531993.1
总计, , , , , ,4108024,-236310, ,102302298,909868837.2
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数,,,,,,,,,,
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数,,,,,
上期有色金属指数,2984.45,3029.35,2721.72,2773.13,-209.94,,,,,
注： 1、涨跌点数以上月收盘价为基准。 指数免责声明： 1、本文件涉及所有信息，包括但不限于所有的文字、数据、图表、表格、计算方式（以下统称为“信息”）属于上海期货交易所的财产，受中国知识产权法等相关法律保护。这些信息仅供参考之用。 2、本文件涉及任何信息被确认为来源可靠，但只供相关知晓所用，非为特定个人、公司或者其他组织提供。本文任何信息，或者包含上述信息的其他内容均不构成上海期货交易所对任何期货、其他金融产品或投资工具或任何交易策略的依据或建议，而且上海期货交易所及其关联方均未认可、同意或以其他方式表示关于任何期货公司、期货、其他金融产品或投资工具或交易策略的意见。投资者在作出一项投资决定时，应该充分考虑到投资的风险，并且了解投资相关的所有程序及所涉文件，而不是基于本文的陈述。 3、上海期货交易所不保证所有信息的精确性、完整性，并且对所有信息在编制、发布等过程涉及的计算错误、漏发或者发布中断不承担任何责任，不明示或者暗示使用本文中的信息，不保证使用本文信息的适用性。当信息被认为是可适用的，对任何因直接或间接使用本文中任何信息而造成的任何索赔或者损失，包括但不限于因有关内容不准确、不完整等而导致的利息损失、惩罚性或者间接性损失，上海期货交易所无须承担任何法律责任。 上海期货交易所 所有权保留,,,,,,,,,,
