交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1010,60000,63600,60000,63180,2880,6240,-6786,62970,18796,585927.75
cu1011,60230,67460,60050,62600,2030,15636,-23950,62750,92140,2899416.85
cu1012,60110,65140,59870,62460,1860,48412,-60352,62740,286432,8977577.05
cu1101,60000,65150,59920,62400,1810,90006,-27982,62810,2821118,88954476.13
cu1102,60000,65600,59950,62460,1870,139936,135202,62910,1423402,45495034.59
cu1103,60200,65570,59980,62500,1850,11196,9098,63010,39094,1244778.18
cu1104,60500,66190,59920,62650,2060,1696,604,62980,3436,108887.34
cu1105,59710,65500,59710,62660,1840,2306,1156,63070,6978,221121.06
cu1106,60200,65400,60200,62660,2390,920,228,62970,1476,46704.47
cu1107,62000,65240,62000,62820,2470,482,68,62980,670,21219.11
cu1108,60870,65790,60700,63140,2290,322,52,63180,710,22479.49
cu1109,60480,65490,60480,63150,2350,318,268,63140,1184,37543.11
cu1110,63990,65600,62350,63160, ,64,64,62980,302,9592.95
cu小计, ,67460,59710, , ,317534,27670, ,4695738,148624758.08
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1010,15600,16225,15600,16070,480,20270,-5280,16035,17590,140887.75
al1011,15710,16500,15710,16160,430,30040,-10626,16135,81638,661157.99
al1012,15865,16695,15840,16240,370,61152,-42080,16295,278690,2280096.99
al1101,15960,16900,15910,16420,415,119376,46368,16460,1754192,14508312.25
al1102,16105,17050,16105,16565,455,85828,77094,16650,487916,4080644.55
al1103,16205,17120,16205,16730,530,18734,12854,16785,61078,514115.56
al1104,16425,17185,16370,16800,485,5204,3410,16890,12314,104487.51
al1105,16400,17350,16400,16880,500,8562,1582,17005,12098,102765.15
al1106,16605,17310,16525,17160,590,1000,664,17065,2070,17737.98
al1107,17105,17435,16995,17175,455,350,52,17135,202,1734.06
al1108,16835,17455,16800,17250,550,130,86,17250,302,2610.61
al1109,17000,17735,16925,17400,125,282,226,17335,1214,10458.86
al1110,17470,17700,17345,17470, ,62,62,17435,166,1448.72
al小计, ,17735,15600, , ,350990,84412, ,2709470,22426457.95
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1010,17745,19080,17650,19080,1560,12680,3940,18885,11830,110512.40
zn1011,17455,21100,17405,18970,1180,15480,-1370,19255,63616,613817.72
zn1012,17785,21330,17565,19180,1305,23948,-28056,19435,321004,3098913.54
zn1101,17900,21565,17725,19385,1340,54416,-165714,19630,9494744,92126390.15
zn1102,18005,21785,17855,19560,1390,328274,314952,19815,12358724,126895067.36
zn1103,18175,21930,17975,19740,1460,28760,24646,19995,308326,3165760.03
zn1104,18100,22000,18100,19860,1505,3096,1834,20060,11532,117969.33
zn1105,17685,22130,17685,19940,1460,5240,2702,20165,42550,440527.36
zn1106,18450,22150,18445,20015,1560,2310,-138,20295,4832,48892.19
zn1107,18475,22520,18475,20200,1700,1628,1116,20470,4174,42442.45
zn1108,18505,22435,18505,20235,1485,2594,2378,20435,4700,47098.81
zn1109,18880,22300,18880,20165,1600,1234,1190,20425,2300,23651.28
zn1110,20250,22605,19500,20400, ,776,776,20510,1218,12784.58
zn小计, ,22605,17405, , ,480436,158256, ,22629550,226743827.17
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1010, , , ,288.00,-2.00,24,0,288.00,0,0.00
au1011,285.94,297.79,282.22,285.20,-0.74,0,-10,287.05,32,923.73
au1012,285.10,297.83,283.68,288.00,3.89,6086,-45474,287.80,269712,7835970.75
au1101,286.50,297.49,276.47,289.99,6.74,148,80,289.10,656,19050.13
au1102,287.00,296.97,282.87,289.95,5.60,386,262,289.79,994,28778.23
au1103,287.00,296.38,282.49,287.83,5.13,88,-4,287.41,196,5667.91
au1104,286.70,297.89,276.53,289.07,7.37,102,12,289.04,172,4986.26
au1105,286.90,298.39,272.32,289.31,9.76,90,50,289.68,352,10202.94
au1106,286.51,298.74,284.39,290.01,5.84,55772,51254,289.80,195700,5670369.67
au1107,285.50,298.40,285.50,286.05,4.66,40,32,286.05,254,7328.15
au1109,287.30,303.32,285.73,286.19,4.95,8,4,286.19,46,1349.03
au1110,290.70,290.70,284.97,290.00, ,0,0,290.35,14,404.55
au小计, ,303.32,272.32, , ,62744,6206, ,468128,13585031.35
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
