交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1205,58670,58720,55880,56300,-2000,9310,-13720,56060,48460,1400114.45
cu1206,58940,58950,55020,55250,-3250,23230,-38978,55180,234648,6649122
cu1207,58880,58940,52610,55100,-3380,47052,-117744,54970,580834,16581779.38
cu1208,58910,58950,54500,54850,-3610,95170,-90272,54710,5331114,151464642.3
cu1209,58900,58960,54280,54530,-3940,306950,269990,54450,6714016,186300680.7
cu1210,58800,58950,54140,54450,-4010,76622,68630,54320,501852,13888126.89
cu1211,58860,59010,54130,54410,-4090,14388,11222,54290,35742,988766.45
cu1212,59000,59020,54200,54360,-4170,5950,3484,54340,13416,375390.09
cu1301,58800,59060,53900,54420,-4170,2592,1586,54330,5030,141056.04
cu1302,59770,59770,54050,54380,-4250,1062,740,54260,2046,57622.56
cu1303,58920,59040,54000,54440,-4210,590,244,54300,1368,38735.97
cu1304,58960,59060,54000,54470,-4140,546,256,54310,1890,53215.14
cu1305,55840,56140,54110,54380,54380,440,440,54340,1006,27675.37
cu小计, ,59770,52610, , ,583902,95878, ,13471422,377966927.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1205,16100,16195,15900,15975,-85,15230,-6820,15955,24190,194387.33
al1206,16170,16275,15910,15940,-200,17430,-21330,15950,59960,481681.99
al1207,16200,16355,15915,15970,-205,39244,-24750,15960,95480,769154.09
al1208,16190,16425,15900,15955,-240,78980,17918,15950,275520,2224621.26
al1209,16255,16460,15890,15965,-255,97270,75452,15955,211744,1700706.83
al1210,16305,16485,15910,16000,-250,34628,31270,15985,56246,451394.81
al1211,16385,16580,15910,16010,-250,3884,3236,15995,5296,42512.44
al1212,16380,16595,15990,16015,-245,1406,1182,16010,1744,14022.39
al1301,16445,16620,16000,16045,-315,264,-42,16045,392,3184.56
al1302,16435,16630,16100,16060,-365,32,-8,16060,24,196.07
al1303,16685,16685,16145,16200,-185,42,-8,16200,16,131.49
al1304,16700,16700,16150,16260,-165,12,6,16260,42,344.74
al1305,16130,16440,16090,16170,16170,4,4,16295,74,601.68
al小计, ,16700,15890, , ,288426,76110, ,730728,5882939.65
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1205,15500,15530,14530,14900,-530,14280,-4600,14830,23510,178493.25
zn1206,15590,15640,14595,14740,-765,13742,-42172,14710,100348,754373.15
zn1207,15710,15730,14610,14750,-850,48250,-111890,14750,404440,3079269.77
zn1208,15800,15815,14620,14775,-920,115504,22428,14770,1687248,12801282.09
zn1209,15850,15875,14650,14795,-960,171130,153278,14785,1076272,8036036.23
zn1210,15925,15930,14690,14840,-970,31292,28036,14820,71976,539152.19
zn1211,15825,16020,14750,14860,-1030,4166,3526,14860,7096,53616.69
zn1212,16000,16070,14750,14940,-995,3206,2892,14930,4558,34283.22
zn1301,15430,16100,14820,14950,-1040,404,144,14955,642,4896
zn1302,16195,16195,14835,14990,-1030,226,56,14975,292,2253.2
zn1303,16195,16265,14610,15010,-1080,284,172,14995,668,5140.22
zn1304,16215,16335,15000,15050,-1080,112,106,15050,318,2468.2
zn1305,15300,15385,15050,15085,15085,30,30,15095,46,348.71
zn小计, ,16335,14530, , ,402626,52006, ,3377414,25491612.88
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1205,336.5,336.5,330,330,-8.35,102,-6,330,12,399.9
au1206,338.6,339.1,310,311,-26.46,648,-9902,320.77,27032,885062.55
au1207,337.73,339.09,314.23,324.35,-13.38,42,-2,324.35,390,12879.24
au1208,336.17,336.49,314.34,323.97,-13.53,36,20,323.97,478,15616.06
au1209,339.28,339.28,315.17,324.05,-14.87,128,68,324.02,1676,54639.51
au1210,339.16,339.65,315.1,324.17,-14.91,74,8,323.5,358,11554.9
au1211,338.56,338.56,315.59,323.31,-15.85,34,12,323.31,264,8552.57
au1212,340,340,313.72,323,-15.22,131874,35770,323.32,1240240,40237177.42
au1301,338.98,340.04,317.26,324,-13.18,54,40,323.67,282,9194.99
au1302,339.1,339.16,315.1,323.42,-15.28,34,8,322.47,166,5359.65
au1303,335.15,335.15,314.37,323.04,-14.68,18,6,323.04,50,1621.1
au1304,337.34,337.34,315.18,322.7,-16.47,10,6,322.7,34,1110.45
au1305,316,322.78,314.97,323.09,323.09,20,20,323.09,30,954.19
au小计, ,340.04,310, , ,133074,26048, ,1271012,41244122.52
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1205,4261,4283,4066,4066,-119,8220,-7508,4126,10688,45347.01
rb1206,4296,4297,4006,4098,-197,180,-796,4046,1298,5422.33
rb1207,4281,4281,4121,4150,-131,284,-6,4153,880,3705.36
rb1208,4274,4282,4099,4172,-115,482,126,4172,756,3183.36
rb1209,4272,4291,4048,4132,-152,1888,164,4125,9840,41136.73
rb1210,4276,4284,3996,4103,-166,807896,-15066,4097,14819184,60919332.16
rb1211,4252,4396,4008,4129,-142,814,114,4098,1082,4492.68
rb1212,4267,4267,4002,4102,-155,212,-38,4105,734,3016.78
rb1301,4262,4262,4000,4089,-160,99788,56270,4086,409722,1671620.54
rb1302,4233,4233,4014,4100,-161,54,-40,4106,132,540.65
rb1303,4260,4260,4052,4110,-161,34,-2,4110,56,231.61
rb1304,4266,4266,4055,4116,-203,18,14,4116,38,157.89
rb1305,4155,4155,4027,4127,4127,492,492,4115,1020,4177.19
rb小计, ,4396,3996, , ,920362,33724, ,15255430,62702364.29
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1206,3951,4180,3633,3850,-345,0,-22,3806,158,607.3
wr1207,4271,4271,4177,4053,-225,0,0,4053,4,16.9
wr1208,4044,4084,4044,4142,-164,0,0,4142,4,16.26
wr1209,4295,4338,4000,4134,-77,2,-2,4072,96,399.15
wr1210,4199,4359,4013,4135,-168,10,4,4135,58,240.4
wr1211, , , ,4086,-188,4,0,4086,0,0
wr1212,4223,4223,4223,4065,-158,2,2,4065,2,8.45
wr1301,4040,4040,4040,4040,-191,2,0,4040,2,8.08
wr1303,4382,4382,4110,4112,-110,4,2,4112,10,41.77
wr小计, ,4382,3633, , ,24,-16, ,334,1338.29
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1206,5096,5150,4906,4906,-516,16,14,4906,24,604.84
fu1207,5436,5436,4718,4727,-641,10,6,4727,22,562.18
fu1208,5462,5462,4933,4935,-505,6,4,4935,36,932.98
fu1209,5485,5485,4840,4860,-575,520,190,4859,1400,36220.54
fu1210,5262,5262,5173,5075,-250,2,-4,5075,10,260.13
fu1211,5450,5450,5082,5099,-399,10,-2,5099,30,786.91
fu1301, , , ,5016,-455,2,0,5016,0,0
fu1304,5244,5323,5112,4932,-578,2,2,4932,14,364.09
fu1305,5059,5121,5059,4912,4912,4,4,4912,4,101.8
fu小计, ,5485,4718, , ,572,214, ,1540,39833.47
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1205,28260,28415,25100,25750,-2505,1290,-2232,25475,4282,59453.38
ru1206,27755,27935,23635,24400,-3350,1092,550,24365,3562,45557.74
ru1207,27600,27775,24160,24265,-3385,570,326,24265,2168,27688.47
ru1208,27545,27630,24115,24275,-3030,196,118,24220,1892,48050.19
ru1209,27430,27490,23700,23975,-3240,125726,30794,24015,9013052,223892907.1
ru1210,27270,27335,23760,24100,-2940,118,48,24030,2224,55365.82
ru1211,27200,27320,23785,23990,-3095,370,134,24010,1562,38796.96
ru1301,27665,27740,23900,24200,-3320,3772,3006,24230,30544,757161.66
ru1303,27645,27685,24035,24170,-3250,176,50,24195,218,5417
ru1304,27600,27600,23960,24200,-3150,36,24,24085,126,3146.7
ru1305,24870,25480,24000,24210,24210,76,76,24260,352,8605.32
ru小计, ,28415,23635, , ,133422,32894, ,9059982,224942150.3
总计, , , , , ,2577024,428414, ,50326702,801602903
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数,,,,,,,,,,
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数,,,,,
注： 1、涨跌点数以上月收盘价为基准。 指数免责声明： 1、本文件涉及所有信息，包括但不限于所有的文字、数据、图表、表格、计算方式（以下统称为“信息”）属于上海期货交易所的财产，受中国知识产权法等相关法律保护。这些信息仅供参考之用。 2、本文件涉及任何信息被确认为来源可靠，但只供相关知晓所用，非为特定个人、公司或者其他组织提供。本文任何信息，或者包含上述信息的其他内容均不构成上海期货交易所对任何期货、其他金融产品或投资工具或任何交易策略的依据或建议，而且上海期货交易所及其关联方均未认可、同意或以其他方式表示关于任何期货公司、期货、其他金融产品或投资工具或交易策略的意见。投资者在作出一项投资决定时，应该充分考虑到投资的风险，并且了解投资相关的所有程序及所涉文件，而不是基于本文的陈述。 3、上海期货交易所不保证所有信息的精确性、完整性，并且对所有信息在编制、发布等过程涉及的计算错误、漏发或者发布中断不承担任何责任，不明示或者暗示使用本文中的信息，不保证使用本文信息的适用性。当信息被认为是可适用的，对任何因直接或间接使用本文中任何信息而造成的任何索赔或者损失，包括但不限于因有关内容不准确、不完整等而导致的利息损失、惩罚性或者间接性损失，上海期货交易所无须承担任何法律责任。 上海期货交易所 所有权保留,,,,,,,,,,
