交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1412,46650,48600,44800,47900,800,8920,-37068,47620,146238,3397588.05
cu1501,46270,47250,44310,46500,40,41124,-102014,46560,1079756,24842394.72
cu1502,45790,46850,43890,46250,260,117662,-269924,46090,6392924,145872230.3
cu1503,45450,46520,43560,45800,130,307628,168822,45620,5761552,130832570.9
cu1504,45350,46330,43340,45470,-30,116706,73972,45310,881700,19918189.53
cu1505,45200,46180,43220,45240,-80,46384,20066,45080,292354,6583442.57
cu1506,45000,46050,43140,45040,-220,24906,12230,44940,65664,1473655.22
cu1507,44820,45910,43000,45000,-200,8974,5686,44930,15022,336495.56
cu1508,44810,45840,42970,44870,-250,4286,1394,44760,6122,136574.6
cu1509,44480,45710,42910,44810,-300,3448,1060,44700,4082,91024.77
cu1510,44600,45680,42910,44750,-330,4088,378,44540,3912,86746.36
cu1511,44600,45600,42700,44640,-230,3060,1494,44480,5252,116540.95
cu1512,44600,45070,43630,44530,44530,1044,1044,44400,1764,39133.39
cu小计, ,48600,42700, , ,688230,-122860, ,14656342,333726587
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1412,13600,13600,13220,13350,-320,18840,-15662,13330,55822,373441.21
al1501,13690,13690,12835,12985,-735,32788,-60746,12945,304354,2026294.85
al1502,13715,13725,12895,12990,-775,78634,-32346,13005,1017706,6781776.46
al1503,13730,13755,12965,13060,-745,147368,73970,13080,616514,4083900.64
al1504,13785,14005,13050,13150,-675,57334,36448,13170,123534,823812.04
al1505,13830,13840,13130,13230,-660,21230,14278,13245,48584,325193.3
al1506,13890,13905,13200,13320,-620,3800,2594,13325,7254,48736.45
al1507,13800,13850,13370,13395,-585,534,210,13410,818,5530.1
al1508,13890,13925,13420,13475,-560,288,46,13475,272,1859.79
al1509,13995,14015,13410,13545,-480,298,124,13545,368,2528.11
al1510,13800,13970,13450,13600,-530,236,154,13560,418,2862.88
al1511,14025,14030,13540,13690,-525,152,144,13630,706,4892.12
al1512,13950,13950,13550,13755,13755,32,32,13685,104,713.72
al小计, ,14030,12835, , ,361534,19246, ,2176454,14481541.65
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
znefp, ,16630,16630,16630,-315,0,0, ,1000,8315
zn1412,16650,16780,16310,16580,-220,4020,-15160,16530,36560,303078.83
zn1501,16620,16880,16000,16500,-240,12702,-82170,16760,691784,5708548.89
zn1502,16610,16830,15900,16795,65,61962,-60056,16680,4374556,35982554.87
zn1503,16560,16800,15830,16780,50,150958,131204,16655,1669704,13691979.98
zn1504,16575,16770,15825,16765,35,21258,19598,16625,109080,893647.73
zn1505,16740,16880,15845,16755,15,8974,6414,16635,44622,365616.94
zn1506,16650,17170,15985,16750,-5,468,334,16660,1478,12114.75
zn1507,16620,16940,15925,16750,-20,108,28,16715,376,3090.25
zn1508,16660,16800,16020,16725,-60,288,170,16640,826,6790.68
zn1509,16580,16840,15985,16710,-130,118,38,16705,512,4214.07
zn1510,16595,16900,16020,16710,-90,112,32,16630,478,3949.54
zn1511,16710,16850,16130,16795,-15,382,6,16650,1108,9195.85
zn1512,16470,16920,16220,16865,16865,60,60,16800,126,1046
