交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1304,54560,55560,53570,53630,-1370,5290,-24000,54130,78340,2145083.75
cu1305,54710,55510,49370,52150,-2760,31486,-51382,52330,321944,8498955.69
cu1306,54580,55500,49070,52000,-2880,58394,-76658,52090,431276,11360270.85
cu1307,54480,55480,48790,51940,-2890,92510,-158172,52010,1957004,52234483.22
cu1308,54430,55460,48460,51770,-3050,281436,136584,51810,8796326,227372937.5
cu1309,54440,55440,48410,51630,-3220,253968,227330,51780,2863472,73135867.19
cu1310,54690,55430,48430,51620,-3280,49842,44580,51780,307886,7838537.13
cu1311,54570,55450,48450,51580,-3400,11514,9332,51780,42920,1097967.76
cu1312,54520,55500,48500,51600,-3410,6326,4702,51830,19672,504353.88
cu1401,54410,55500,48560,51620,-3450,3246,2680,51890,13156,334419.83
cu1402,54700,55550,48660,51730,-3400,1378,848,51800,4638,122629.44
cu1403,54350,55570,48680,51890,-3350,1276,1076,51890,4154,109601.89
cu1404,52500,53810,48900,51800,51800,708,708,52030,1580,40297.2
cu小计, ,55570,48410, , ,797374,117628, ,14842368,384795405.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1304,14450,14680,14430,14430,-100,26050,-1850,14505,22560,163973.68
al1305,14530,14750,14025,14580,10,28552,-30056,14590,92276,671301.49
al1306,14590,14790,14220,14630,20,56358,-37040,14650,122424,892693.06
al1307,14625,14825,14200,14670,25,55284,10020,14675,216030,1578666.19
al1308,14675,14860,14250,14670,-45,47312,32706,14685,178312,1302624.78
al1309,14685,14910,14290,14660,-70,20320,13374,14700,38548,282097.67
al1310,14740,14940,14120,14680,-120,5806,4908,14705,9830,72125.69
al1311,14840,14990,14360,14675,-185,5124,4984,14720,8150,59869.24
al1312,14835,15080,14500,14770,-140,422,228,14770,780,5765.39
al1401,14945,15005,14505,14750,-200,136,96,14770,266,1959.76
