交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1406,49780,51300,48130,50450,760,3310,-52716,49390,143496,3525524.77
cu1407,49120,50730,47610,50730,1670,67196,-93702,50530,705824,17258998.83
cu1408,48730,50050,47220,50050,1410,166112,-117806,49880,4914672,118638411.4
cu1409,48500,49720,47050,49580,1200,246932,92396,49530,3287236,79496759.2
cu1410,48280,49540,46930,49360,1180,87168,41914,49300,602526,14496574.21
cu1411,48250,49420,46860,49250,1170,32512,14676,49200,149280,3583643.75
cu1412,48170,49490,46820,49180,1100,19030,6128,49120,44168,1058264.11
cu1501,48160,49310,46670,49040,950,5922,2370,49140,17716,422486.74
cu1502,48190,49310,46780,49090,1070,3064,1262,49070,4042,97135.84
cu1503,48180,49240,46770,48990,1110,1320,438,49010,2010,47981.35
cu1504,47950,49180,46780,49010,1020,2020,72,49070,1368,32461.97
cu1505,48120,49180,46500,48950,1050,2324,646,48990,3082,73341.89
cu1506,47350,49150,47080,48900,48900,540,540,48910,786,19016.19
cu小计, ,51300,46500, , ,637450,-103782, ,9876206,238750600.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1406,13370,13655,13230,13300,40,33990,-7518,13310,60598,405226.86
al1407,13470,13745,13240,13360,-115,42210,-38356,13385,184092,1237434.95
al1408,13520,13845,13290,13425,-105,87676,-48006,13435,1946220,13185919.76
al1409,13565,13890,13335,13475,-90,148494,86958,13495,612572,4158765.69
al1410,13600,13930,13375,13500,-100,60370,43332,13525,114972,781932.35
al1411,13610,13970,13435,13540,-120,8810,5804,13565,17778,121279.8
al1412,13690,13995,13510,13590,-95,3996,3124,13610,10446,71540.22
al1501,13665,14040,13535,13630,-70,1290,800,13660,3386,23295.32
al1502,13705,14050,13560,13670,-5,200,56,13695,438,3025.5
al1503,13730,14120,13630,13720,-50,320,140,13720,806,5597.6
al1504,13815,14085,13600,13740,-60,26,-4,13760,314,2176.4
al1505,13860,14155,13745,13770,-45,114,96,13830,250,1743.37
al1506,14000,14115,13960,14025,14025,8,8,14025,14,98.13
al小计, ,14155,13230, , ,387504,46434, ,2951886,19998035.94
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1406,15170,15595,15110,15260,140,2070,-8800,15245,17280,132029.65
zn1407,15200,15850,15115,15810,690,10090,-38058,15685,104418,804737.63
zn1408,15200,15885,15130,15860,710,59816,-8894,15770,1531862,11892017.01
zn1409,15220,15950,15120,15945,775,174936,150382,15845,1080662,8460328.01
zn1410,15240,16000,15160,16000,820,52534,44656,15885,136310,1069254.43
zn1411,15260,16015,15175,16015,825,10744,10320,15910,20584,161674
zn1412,15230,16025,15225,16025,800,4200,3566,15975,6766,53277.33
zn1501,15210,16040,15210,16040,825,240,10,16005,404,3165.78
zn1502,15290,15925,15290,15905,660,58,6,15905,72,566.02
zn1503,15265,16105,15245,16105,880,90,16,16005,258,2031.41
zn1504,15325,16035,15255,16060,805,58,18,16060,92,726.09
zn1505,15330,16195,15245,16195,905,116,78,16110,298,2353.58
zn1506,15965,16195,15860,16195,16195,18,18,16120,24,192.32
zn小计, ,16195,15110, , ,314970,153318, ,2899030,22582353.24
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1406,251.5,255,250.95,255,1.35,3192,-7688,253.3,9854,248769.83
au1407,250.65,265.6,250.65,265,10.85,30,2,263.5,254,6468.76
au1408,251.2,265.3,251,262.95,8.8,220,-24,263.45,1430,36790.04
au1409,255.6,266.55,252.35,263.8,263.8,18,18,263.8,376,9874.83
au1410,251.55,265.65,251.3,264.5,11.55,48,-34,264.1,330,8507.28
au1412,250.85,267,249.4,263.9,10.6,199326,-23018,264.55,2975930,76901294.41
au1502,251.2,266.25,251.2,264.4,11.5,50,16,264.4,112,2871.63
au1504,250.55,265.8,250.5,264.6,9.3,96,62,264.6,240,6200.17
au小计, ,267,249.4, , ,202980,-30666, ,2988526,77220776.95
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1406,2910,2910,2780,2850,-60,480,-26,2850,146,415.74
rb1407,2955,2970,2757,2970,33,780,-110,2811,2394,6861.26
rb1408,2998,3059,2959,3015,-11,226,38,3015,582,1752.45
rb1409,3075,3130,2985,3072,4,2468,-358,3072,38154,116622.88
