交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1002,55100,55790,51610,53200,-2310,3510,-5126,52870,17676,471890.80
cu1003,55150,60000,51530,57800,2220,11820,-10524,57800,55140,1535350.71
cu1004,55020,60000,51420,58000,2570,35144,-25102,58080,126470,3472290.89
cu1005,55050,60000,51360,58020,2450,114098,-120278,58150,4510872,123234173.32
cu1006,54990,60080,51400,58190,2680,189812,152418,58240,1940936,55190659.02
cu1007,55190,60160,51460,58170,2650,28012,20666,58250,80998,2278013.01
cu1008,55000,60150,51500,58220,2580,6676,2730,58360,14560,405533.60
cu1009,55200,59540,51650,58290,2690,2632,512,58340,7850,219000.72
cu1010,55220,59620,51500,58260,2850,2532,14,58320,5522,152581.60
cu1011,55020,59500,51590,58230,2840,1260,-56,58450,2050,56674.12
cu1012,54990,60080,51480,58130,2930,5396,-34,58310,12230,336051.20
cu1101,54980,59280,51490,58080,2930,1376,778,58320,2746,76669.70
cu1102,58800,59260,58000,58180, ,192,192,58240,352,10288.51
cu小计, ,60160,51360, , ,402460,16190, ,6777402,187439177.20
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1002,15995,16255,15675,16020,160,16660,-5150,15905,17730,141378.43
al1003,16100,16970,15790,16400,450,28390,-7078,16400,48376,394493.98
al1004,16085,17265,15855,16560,520,58882,-24352,16595,129180,1057104.09
al1005,16210,17485,15935,16730,590,96512,-11834,16765,1940628,15980477.06
al1006,16235,17600,16040,16895,645,83214,34180,16910,485580,4070811.74
al1007,16240,17600,16090,16990,750,37408,4240,17015,63014,527251.00
al1008,16320,17400,16135,17100,780,9690,544,17105,6686,56409.72
al1009,16235,17660,16210,17195,960,5152,112,17200,4562,38354.78
al1010,16480,17625,16250,17300,925,2864,282,17280,2410,20537.88
al1011,16960,17700,16320,17400,1070,1394,-34,17390,1312,11130.70
al1012,16675,17670,16350,17475,920,1058,-20,17390,722,6174.93
al1101,16505,17880,16400,17540,855,102,52,17475,426,3664.00
al1102,17450,18950,17400,17750, ,24,24,17750,110,974.27
al小计, ,18950,15675, , ,341350,-9034, ,2700736,22308762.53
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1002,17210,17580,16515,16905,-195,4880,-1578,16840,6188,52547.51
zn1003,17015,19090,16625,17945,745,8940,-3426,17950,16258,141996.01
zn1004,17415,19290,16775,18135,740,17758,-19944,18140,124442,1085569.91
zn1005,17570,19480,16910,18290,700,89516,-99110,18300,9224606,81548354.02
zn1006,17850,19550,17030,18430,555,162710,118038,18455,2832012,25843154.37
zn1007,17900,19800,17185,18590,700,10080,5520,18615,40492,369632.66
zn1008,18150,19530,17295,18700,640,2320,352,18750,5322,48901.10
zn1009,17685,20000,17450,18840,670,1228,226,18815,5846,53381.84
zn1010,18200,19895,17600,18940,730,2046,150,18955,3166,29273.33
zn1011,18155,19690,17550,19085,765,620,142,19100,1416,13123.58
zn1012,18180,19800,17790,19030,665,1366,336,19055,2106,19617.86
zn1101,18660,20220,17715,19280,755,1316,1204,19220,2484,23318.03
zn1102,19230,19370,19175,19175, ,14,14,19315,18,173.67
zn小计, ,20220,16515, , ,302794,1924, ,12264356,109229043.87
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1002, , , ,240.00,0.00,12,0,240.00,0,0.00
