交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1407,50750,52700,50050,51200,470,13700,-53496,50920,160426,4138485.35
cu1408,50100,51990,49580,50810,760,48370,-117742,50670,975314,24799078.82
cu1409,49660,51580,49190,50640,1060,178704,-68228,50580,8185212,206776663
cu1410,49400,51300,49020,50510,1150,225112,137944,50450,2367556,59505110.57
cu1411,49300,51130,48930,50400,1150,73362,40850,50380,428176,10733135.27
cu1412,49220,51010,48910,50390,1210,31658,12628,50330,131876,3301648.7
cu1501,49110,50990,48910,50370,1330,7474,1552,50340,22342,559578.85
cu1502,49100,51130,48950,50370,1280,3564,500,50320,5056,126533.71
cu1503,49270,50850,48930,50390,1400,1698,378,50320,4088,102488.05
cu1504,49100,50790,48980,50260,1250,2318,298,50350,1236,30908.49
cu1505,49060,50810,48850,50400,1450,2764,440,50360,1994,49853.41
cu1506,49600,51400,48940,50380,1480,1612,1072,50300,2364,59091.38
cu1507,49780,50790,48110,50540,50540,122,122,50380,352,8762.98
cu小计, ,52700,48110, , ,590458,-43682, ,12285992,310191338.6
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1407,13400,13590,13385,13540,180,28140,-14070,13515,45390,306014.1
al1408,13425,14300,13410,14040,615,34430,-53246,14030,189670,1302517.57
al1409,13490,14260,13460,14095,620,76758,-71736,14065,2144832,14882534.57
al1410,13505,14265,13505,14145,645,160540,100170,14105,1235366,8658270.43
al1411,13580,14265,13550,14150,610,89096,80286,14115,269706,1889264.58
al1412,13605,14260,13605,14145,555,46054,42058,14115,104626,731504.56
al1501,13665,14245,13625,14150,520,18544,17254,14105,41004,286919.24
al1502,13660,14215,13660,14105,435,5368,5168,14105,10574,73993.17
al1503,13730,14325,13730,14110,390,2652,2332,14105,5036,35184.38
al1504,13750,14220,13750,14130,390,476,450,14125,1108,7739.5
al1505,13815,14415,13810,14180,410,292,178,14180,732,5127.71
al1506,14000,14215,13925,14160,135,110,102,14160,136,957.69
al1507,14130,14260,13965,14260,14260,42,42,14260,94,663.12
al小计, ,14415,13385, , ,462502,108988, ,4048274,28180690.59
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1407,15870,16480,15465,16475,665,6510,-3580,16330,29990,240335.15
zn1408,15895,17330,15410,16765,905,11282,-48534,16820,210544,1712109.58
zn1409,15975,17410,15460,16825,880,89058,-85878,16860,9443862,78393397.08
zn1410,16015,17480,15510,16860,860,277680,225146,16900,5325552,45049307.47
zn1411,16055,17535,15525,16895,880,95334,84590,16945,690106,5862583.68
zn1412,16080,17580,15610,16920,895,20400,16200,16970,73842,624846.14
zn1501,16150,17605,15800,16945,905,3052,2812,17010,22016,188071.7
zn1502,16040,17580,15710,16910,1005,232,174,17050,876,7403.58
zn1503,16205,17675,15770,17020,915,180,90,17075,554,4672.97
zn1504,16270,17620,15820,17175,1115,72,14,17120,368,3122.79
zn1505,16270,17740,15900,17100,905,214,98,17145,1008,8590.85
zn1506,16110,17890,16055,17125,930,74,56,17105,230,1956.19
zn1507,16740,17700,16740,17110,17110,34,34,17155,182,1559.22
zn小计, ,17890,15410, , ,504122,191222, ,15799130,132097956.4
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1407,268.35,268.35,255.05,260.05,-4.95,24,-6,260.05,18,469.98
au1408,262.9,268,257,257.5,-5.45,168,-52,257.45,616,16148.3
au1409,264,269.6,257.6,257.4,-6.4,12,-6,257.4,394,10397.47
au1410,264.5,269.95,257.95,259.1,-5.4,62,14,259.1,656,17290.67
au1412,263.8,269.35,257.75,259,-4.9,197968,-1358,258.85,3177516,83572551.07
au1502,267.8,269.4,259.1,259.6,-4.8,80,30,259.6,378,9900.28
au1504,267.8,268.8,259.3,260.45,-4.15,110,14,260.2,202,5335.2
au1506,263,265.05,257.95,260.05,260.05,1048,1048,260.3,1458,38170.01
au小计, ,269.95,255.05, , ,199472,-316, ,3181238,83670262.98
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1407,2750,2970,2750,2970,0,960,180,2920,780,2250.6
rb1408,3008,3367,3003,3049,34,60,-166,3053,868,2748.69
rb1409,3075,3149,3049,3129,57,1718,-750,3130,21218,65744.52
rb1410,3082,3131,3049,3097,21,521936,-1036720,3095,10354400,31945560.92
rb1411,3034,3113,3020,3070,26,522,-192,3069,1284,3924.09
rb1412,3051,3119,2960,3047,-7,3152,-196,3054,5472,16834.61
rb1501,3080,3155,3028,3069,-4,1764542,915430,3073,45407990,140395754.7
rb1502,3058,3195,3014,3043,-4,2526,168,3048,4918,15089.71
rb1503,3034,3126,3021,3055,-2,1598,60,3060,712,2185.52
rb1504,3076,3150,3052,3081,-4,830,-436,3078,1172,3651.32
rb1505,3109,3175,3043,3093,-12,271248,243202,3096,570468,1778972.22
