交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1204,59550,59700,56500,56560,-2990,12740,-25250,56610,55390,1620209.6
cu1205,59690,60090,56490,58300,-1510,23030,-44230,58360,202168,5869154.53
cu1206,59600,60320,56520,58500,-1510,62208,-71182,58520,525414,15396475.88
cu1207,59560,60460,56490,58480,-1620,164796,20934,58490,5861750,170516117.8
cu1208,59810,60530,56470,58460,-1740,185442,168744,58470,2332526,67472661.19
cu1209,59890,60590,56520,58470,-1820,36960,30564,58490,171030,4948181.76
cu1210,60170,60730,55200,58460,-1840,7992,5780,58500,22126,642161.34
cu1211,59610,60790,56650,58500,-1840,3166,1242,58560,4830,140343.87
cu1212,59900,60800,56750,58530,-1850,2466,606,58590,4048,117670.67
cu1301,60000,60780,56750,58590,-1830,1006,310,58590,1484,43203.82
cu1302,60010,60780,56930,58630,-1890,322,-10,58610,670,19575.74
cu1303,59930,60900,56920,58650,-1910,346,284,58650,1006,29498.98
cu1304,56950,58810,56950,58610,58610,290,290,58580,552,16026.63
cu小计, ,60900,55200, , ,500764,88082, ,9182994,266831281.8
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1204,15905,16795,15650,15910,-50,18950,-10318,15910,22468,179422.02
al1205,15990,16100,15860,16060,-30,22050,-18286,16080,53738,430522.88
al1206,16090,16200,15995,16140,-25,38760,-9282,16140,80936,651056.05
al1207,16165,16280,16030,16175,-90,63994,35256,16170,175076,1411925.16
al1208,16285,16370,16080,16195,-150,61062,45488,16190,93686,757280.14
al1209,16355,16460,16100,16220,-205,21818,20204,16215,35500,287633.38
al1210,16350,16540,16140,16250,-275,3358,1536,16245,3762,30651.77
al1211,16670,16670,16175,16260,-375,648,366,16260,682,5578.58
al1212,16580,16615,16200,16260,-445,224,108,16260,358,2939.77
