交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1009,58960,60460,57620,57700,-600,4410,-9190,59130,25460,756477.60
cu1010,58760,61100,57760,60300,1850,13026,-28402,59920,76936,2296503.45
cu1011,58620,61250,57500,60570,2220,39586,-45982,60070,176286,5266094.38
cu1012,58700,61300,57170,60600,2160,108764,-70834,59700,3986222,118636636.61
cu1101,58670,61280,56640,60590,2130,117988,99820,60050,1080136,32349960.24
cu1102,58600,61200,57430,60590,2290,4734,2762,59970,27532,822676.11
cu1103,58580,61080,56630,60650,2470,2098,254,59930,5858,174784.49
cu1104,58900,61100,57560,60590,2320,1092,208,59970,2440,72833.14
cu1105,58840,61100,57020,60820,2590,1150,116,60100,2538,75874.82
cu1106,58800,60800,57910,60270,1670,692,94,60120,772,23015.58
cu1107,58800,61220,57810,60350,2150,414,50,60170,704,21037.23
cu1108,58650,60860,58130,60850,2480,270,150,60220,710,21074.59
cu1109,59820,60800,59660,60800, ,50,50,60120,110,3310.72
cu小计, ,61300,56630, , ,294274,-50904, ,5385704,160520278.96
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1009,15330,15575,15185,15225,-25,18730,-7930,15220,28760,220731.18
al1010,15295,15720,14780,15590,310,25550,-22910,15590,79308,614984.24
al1011,15405,15860,14895,15730,360,40666,-39328,15720,168178,1313350.72
al1012,15480,16020,15000,15870,410,103232,20062,15840,1243688,9793726.15
al1101,15610,16180,15085,16005,445,73008,58332,15965,447422,3565504.00
al1102,15615,16480,15125,16110,445,8734,6272,16060,27670,221323.42
al1103,15850,16350,15265,16200,450,5880,1828,16165,8886,71268.72
al1104,15865,16430,15705,16315,450,1794,736,16285,2144,17321.16
al1105,15945,16530,15400,16380,500,6980,178,16350,3608,29297.88
al1106,16155,16645,16100,16570,550,336,120,16615,396,3217.34
al1107,16200,16720,16155,16720,545,298,10,16680,140,1141.57
al1108,16300,16725,16205,16700,540,44,24,16700,184,1506.02
al1109,16600,17275,16305,17275, ,56,56,17275,114,953.59
al小计, ,17275,14780, , ,285308,17450, ,2010498,15854325.96
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1009,16950,17870,16950,17170,515,7800,-1346,17205,9996,87578.23
zn1010,17045,18105,16360,17520,600,8740,-11356,17310,42294,370781.09
zn1011,17175,18215,16820,17790,730,16850,-40554,17420,246630,2179809.47
zn1012,17300,18360,16950,17875,680,52004,-316586,17605,11836204,105527348.34
zn1101,17400,18525,17030,18045,760,220130,170260,17785,16393524,147105832.17
zn1102,17495,18630,17245,18170,780,13322,9636,17875,126180,1139646.01
zn1103,17600,18685,17370,18280,790,4114,644,17935,18650,169398.95
zn1104,17920,18700,17650,18355,695,1262,168,18130,4340,39576.23
zn1105,17705,18795,17555,18480,810,2538,126,18135,8568,78422.29
zn1106,17950,18840,17700,18455,835,2448,26,18230,2434,22305.36
zn1107,18170,18840,18010,18500,665,512,-98,18315,1218,11224.86
zn1108,18240,19290,17395,18750,965,216,138,18425,738,6832.53
zn1109,18345,18995,17720,18565, ,44,44,18370,106,983.99
zn小计, ,19290,16360, , ,329980,-188898, ,28690882,256739739.50
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1009,271.64,273.64,271.64,274.70,7.65,18,0,274.70,12,327.17
au1010,272.96,290.00,271.20,290.00,20.15,24,-126,289.00,254,7053.17
au1011,272.50,280.89,271.06,285.94,16.33,10,-174,285.94,286,7834.74
au1012,272.63,284.59,271.56,284.11,13.83,51560,562,283.18,306556,8468976.12
au1101,272.80,283.25,271.25,283.25,13.64,68,-26,282.62,322,8861.99
au1102,274.10,284.35,272.05,284.35,13.95,124,-6,283.41,320,8863.07
au1103,272.50,283.00,271.60,282.70,13.18,92,-32,282.92,160,4397.54
au1104,273.58,282.30,271.48,281.70,11.84,90,6,281.90,60,1664.87
au1105,275.80,283.61,270.96,279.55,9.16,40,22,281.98,66,1835.30
au1106,273.30,284.49,271.56,284.17,13.69,4518,3796,283.20,12552,348301.08
au1107,273.60,277.80,273.60,281.39,13.48,8,2,281.39,8,221.04
au1108,276.57,276.57,273.20,280.37,11.50,0,-2,280.37,8,219.81
au1109,279.40,279.40,277.10,281.24, ,4,4,281.24,16,445.47
au小计, ,290.00,270.96, , ,56556,4026, ,320620,8859001.38
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1009,4230,4470,4220,4440,247,7020,-600,4413,3420,15087.42
rb1010,4198,4497,4156,4180,-7,9274,-77580,4168,186008,810507.24
rb1011,4202,4491,4159,4210,13,10660,-10374,4171,53696,233598.27
rb1012,4231,4644,4167,4221,-9,25632,-9664,4184,49506,216256.59
rb1101,4328,4592,4196,4263,-49,751058,-362802,4229,38042008,168093338.93
rb1102,4334,4592,4207,4261,-65,18166,-2490,4241,30730,135832.28
rb1103,4355,4618,4231,4284,-68,11250,-472,4266,19344,85771.67
rb1104,4400,4635,4246,4315,-78,11750,6,4280,12758,56792.52
rb1105,4481,4735,4315,4373,-103,298638,226846,4339,2332650,10420542.07
rb1106,4411,4749,4331,4371,-105,902,312,4374,1542,6975.49
rb1107,4519,4688,4325,4390,-119,6404,366,4362,12282,55678.09
rb1108,4551,4737,4318,4434,-104,368,-130,4396,1506,6862.63
rb1109,4580,4580,4370,4469, ,36,36,4427,160,714.44
rb小计, ,4749,4156, , ,1151158,-236546, ,40745610,180137957.63
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
