交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1109,68360,68640,65180,65210,-3180,5050,-13860,65420,33500,1126725.7
cu1110,68630,68690,52040,55000,-13380,18368,-39750,53480,195462,6148100.51
cu1111,68510,68690,51870,54800,-13560,43852,-107878,53720,2861600,93434592.69
cu1112,68500,68700,51580,54790,-13600,179698,131050,53500,7309994,212987159.6
cu1201,68410,68680,51520,54800,-13540,70640,61322,53450,770564,21859139.2
cu1202,68350,68690,51580,54900,-13430,19080,13860,53340,89710,2608819.26
cu1203,68400,68690,51770,55000,-13380,8336,5838,53820,20846,615148.48
cu1204,68540,68660,51940,55110,-13210,5568,4222,53640,10558,310139.31
cu1205,68390,68680,51800,55360,-12960,2828,1610,53730,8886,261009.33
cu1206,68470,68720,52310,55350,-13020,2542,1100,54250,4700,138704.82
cu1207,68370,68410,52300,54920,-13350,1174,454,53910,1774,51171.59
cu1208,68660,68660,52710,55890,-12420,712,434,54390,1618,47847.35
cu1209,64230,64230,52900,56200,56200,494,494,54600,1196,33764.41
cu小计, ,68720,51520, , ,358342,58896, ,11310408,339622322.2
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1109,17780,17875,17535,17750,25,14750,-24588,17690,31968,283630.47
al1110,17605,17660,16460,16935,-635,33590,-53152,16855,157590,1355450.76
al1111,17510,17555,16080,16745,-725,67804,-50002,16670,584584,5003176.37
al1112,17465,17485,15850,16640,-775,100720,25068,16560,1036458,8579347.29
al1201,17425,17470,15725,16595,-800,45486,22278,16520,227340,1880306.24
al1202,17360,17430,15645,16525,-840,23346,8990,16500,63406,521792.17
al1203,17410,17420,15635,16610,-765,7514,3608,16510,26030,215039.36
al1204,17395,17400,15705,16580,-780,2146,1130,16500,3530,28796.18
al1205,17385,17410,15750,16500,-860,2608,558,16500,4262,35417.8
al1206,17385,17410,15805,16500,-865,1246,544,16530,1790,14874
al1207,17385,17400,15855,16625,-750,1130,430,16580,3246,26912.76
al1208,17360,17360,15705,16570,-785,408,392,16575,1092,9048.1
al1209,17190,17190,16300,16700,16700,196,196,16665,294,2456.1
al小计, ,17875,15635, , ,300944,-64548, ,2141590,17956247.56
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1109,17080,17100,16550,16610,-510,10140,-4000,16610,16250,136511
zn1110,17280,17280,14100,15300,-1965,14920,-43510,14920,132490,1078096.08
zn1111,17355,17375,14095,15335,-2025,59396,-202270,15010,4345752,36280735.34
zn1112,17460,17460,14130,15400,-2065,194430,139098,15070,5326856,41479245.68
zn1201,17550,17550,14130,15450,-2100,80986,66604,15140,519318,4003935.57
zn1202,17630,18090,14130,15600,-2000,11334,9618,15220,40600,312933.64
zn1203,17760,17760,14305,15735,-1970,4952,4518,15370,11896,91691.74
zn1204,17700,17700,14540,15630,-2150,790,424,15465,1716,13629.89
zn1205,17845,17940,14530,15745,-2095,468,322,15540,2034,16405.24
zn1206,17865,17870,14660,15800,-2100,192,114,15585,732,5942.21
zn1207,17975,17995,14915,15895,-2065,348,316,15770,952,7737.49
zn1208,18040,18050,14950,15900,-2180,162,126,15730,630,5129.58
zn1209,16725,16725,14920,16155,16155,68,68,15855,264,2076.85
zn小计, ,18090,14095, , ,378186,-28572, ,10399490,83434070.28
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1109,378,378,378,378,-1.5,0,-6,378,6,226.8
au1110,375.51,389,310.22,335,-42.8,0,-30,336.69,162,5975.31
au1111,376.95,396.36,330.49,338.16,-40.79,62,-70,338.68,1400,52335.68
au1112,378.89,398.08,327.02,338.39,-41.8,51834,-48368,337.69,4163100,154462824.6
au1201,379,397.7,327.87,339.15,-41.15,542,-26,338.6,36018,1334803.32
au1202,377.77,397.6,326.44,339.4,-40.56,106,-40,339.33,784,28896.78
au1203,388.54,397.6,331.1,338.78,-41.22,66,-20,338.61,218,7930.5
au1204,389.3,396.6,329.6,339.79,-41.2,16,-2,339.14,364,13438.3
au1205,378,397.31,332.38,340.2,-39.5,22,0,339.89,582,21884.18
au1206,379.31,398,326.51,339.91,-40.78,7720,4708,339.33,127722,4698368.6
au1207,392.5,396.9,331.24,340.3,-42.54,14,10,340.3,44,1613.74
au1208,375.78,378,335.14,341.33,-36.3,6,6,341.33,26,944.26
au1209,332.01,344.33,322.44,339,339,20,20,339.8,244,8141.31
au小计, ,398.08,310.22, , ,60408,-43818, ,4330670,160637383.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1109,4780,4780,4780,4780,-20,120,0,4780,180,860.4
rb1110,4935,4940,4350,4350,-583,2584,-56086,4589,84694,410984.07
rb1111,4912,5021,4486,4528,-381,130,-244,4499,1064,5003.51
rb1112,4892,4903,4324,4364,-513,358,172,4357,2304,10695.96
rb1201,4834,4842,4282,4339,-492,490908,138524,4316,8979774,41184273.77
rb1202,4830,4830,4257,4314,-502,200,-64,4305,1548,7057.35
rb1203,4825,4825,4276,4300,-518,98,64,4330,212,957.94
rb1204,4835,4835,4315,4335,-453,240,40,4335,262,1184.03
rb1205,4853,4862,4281,4342,-515,108958,101368,4310,277644,1240977.89
rb1206,4857,4857,4339,4356,-475,96,-4,4352,102,468.55
rb1207,4840,4840,4326,4333,-525,40,-4,4333,122,553.05
rb1208,4856,4863,4380,4359,-472,8,6,4359,82,379.55
rb1209,4640,4685,4480,4423,4423,2,2,4423,14,64.47
