交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1201,56460,57380,55050,57380,2580,7570,-12288,57080,38558,1081490.1
cu1202,56650,61080,54980,60000,4350,35140,-34886,59750,233396,6706396.96
cu1203,56450,61360,54800,60330,4970,86880,-136746,60210,4076306,115392236.9
cu1204,56250,61530,54800,60620,5370,204694,127168,60480,4395664,129515900.4
cu1205,56250,61520,54840,60780,5510,79378,59220,60580,527966,15663676.27
cu1206,56300,61510,54860,60820,5570,18960,7862,60610,63110,1871169.71
cu1207,56210,61500,54980,60860,5450,3490,896,60670,10556,314320.48
cu1208,56490,61520,54890,60930,5480,1920,116,60690,3794,111843.2
cu1209,56460,61540,54860,60890,5620,3582,2102,60750,8332,239711.8
cu1210,56340,61650,55170,61000,5600,838,-70,60870,1822,54069.53
cu1211,56500,61670,54950,60760,5360,328,-28,60860,630,18475.67
cu1212,56400,61860,54870,60720,5470,212,64,60790,564,16474.6
cu1301,59880,61640,59880,60920,60920,106,106,60880,134,4076.67
cu小计, ,61860,54800, , ,443098,13516, ,9360832,270989842.3
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1201,16180,16190,15175,16035,-45,5060,-17340,15990,27270,218345.43
al1202,16095,16290,15900,16120,240,27690,-19330,16100,75648,608642.9
al1203,15990,16365,15860,16215,370,34374,-29392,16215,133766,1078252.78
al1204,15955,16460,15850,16305,495,59280,2246,16310,175046,1416636.75
al1205,15945,16525,15840,16390,550,39160,4722,16390,78614,639426.65
al1206,15910,16580,15830,16440,585,19058,3642,16435,21812,177557.73
al1207,15955,16600,15865,16485,625,4942,522,16485,5288,42919.62
al1208,16095,16655,15910,16545,675,2602,418,16545,1684,13778.67
al1209,16145,16705,15925,16600,705,1454,232,16600,1050,8574.01
al1210,16050,16825,15955,16755,795,1808,-82,16755,388,3179.57
al1211,16060,17030,16025,16685,705,200,96,16630,342,2843.68
al1212,16455,16835,16410,16785,805,58,58,16785,212,1761.11
al1301,16540,16845,16540,16820,16820,4,4,16830,10,83.81
al小计, ,17030,15175, , ,195690,-54204, ,521130,4212002.66
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1201,14880,15060,14470,15050,300,6770,-3510,14995,13950,103129.65
zn1202,14950,16070,14525,15630,865,8990,-46734,15780,116800,879887.16
zn1203,14945,16210,14575,15945,1150,53500,-156560,15910,1813668,13602106.99
zn1204,14980,16360,14610,16065,1245,157006,87192,16010,1993616,15447516.04
zn1205,14995,16420,14650,16140,1305,50580,28800,16080,255606,1998542.41
zn1206,14880,16505,14680,16180,1335,15920,11404,16125,31528,249152.56
zn1207,15000,16535,14735,16210,1310,1232,748,16170,3006,23613.15
zn1208,15055,16560,14870,16310,1280,1106,650,16250,2088,16561.92
zn1209,15200,16795,14800,16360,1315,522,240,16320,1154,9068.21
zn1210,15245,16660,15025,16330,1215,210,72,16390,440,3495.19
zn1211,15410,16755,15125,16500,1320,90,-12,16455,208,1644.68
zn1212,15360,16715,15155,16415,1195,70,38,16415,216,1731.42
zn1301,16430,16745,16430,16580,16580,8,8,16530,14,115.62
zn小计, ,16795,14470, , ,296004,-77664, ,4232294,32336564.95
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1201,334,346,334,345.37,26.37,186,0,345.37,72,2463.36
au1202,328.32,355.92,327.01,351.52,30.44,78,-176,352.9,450,15415.45
au1203,328.65,357,328.26,356.99,35.3,176,-32,356.48,332,11331.51
au1204,329.66,358.06,328.48,357,35.3,152,6,357.45,204,6942.31
au1205,320.52,357.15,320.52,357.15,38.02,202,0,356.68,1360,45960.26
au1206,328.98,355.7,325.67,355.02,35.57,74434,-23538,355.07,1041708,35038965.26
au1207,328.5,341.13,328.5,355.98,36.6,34,-6,355.98,120,4016.38
au1208,332.46,336.97,331.13,357.91,37.88,22,-6,357.91,22,735.92
au1209,327.12,355.49,327.12,354.79,35.18,54,34,355.31,418,14105.52
au1210,329.73,354.5,329.73,354.5,33.53,10,-2,354.5,10,338.36
au1211,329,355.99,329,355.99,36.59,10,-4,355.86,18,613.29
au1212,327.91,357.37,325.94,356.18,36.3,4978,1748,356.66,15476,532516.78
au小计, ,358.06,320.52, , ,80336,-21976, ,1060190,35673404.4
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1201,4331,4450,4156,4404,73,2280,-4982,4404,6122,26411.82
rb1202,4320,4386,4180,4278,-61,240,-318,4225,956,4066.62
rb1203,4327,4327,4229,4262,-18,242,-112,4275,554,2370.12
rb1204,4272,4393,4220,4315,35,326,-206,4322,532,2287.29
rb1205,4235,4347,4145,4297,87,507670,-107808,4291,6697938,28344207.45
rb1206,4300,4357,4178,4300,66,1234,14,4304,1228,5218.87
rb1207,4249,4338,4182,4314,91,94,16,4297,166,707.13
rb1208,4196,4311,4149,4311,115,64,-8,4302,88,373.17
rb1209,4208,4383,4148,4315,131,220,-92,4312,1574,6658.38
rb1210,4208,4440,4132,4318,138,49790,-6036,4308,243552,1033858.71
rb1211,4160,4398,4147,4320,121,6,0,4320,154,658.12
rb1212,4211,4419,4178,4340,118,2,0,4340,38,163.24
rb1301,4311,4450,4224,4337,4337,22,22,4335,78,337.98
rb小计, ,4450,4132, , ,562190,-119510, ,6952980,29427318.9
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1205,4209,4381,4151,4299,104,4,-22,4299,140,595.15
wr1206,4199,4271,4159,4227,61,24,2,4227,28,118.46
wr1209,4308,4362,4250,4327,214,4,4,4327,116,502.01
wr1210,4212,4212,4212,4212,4,2,2,4212,2,8.42
wr1211,4298,4298,4298,4263,23,0,-2,4263,2,8.6
wr1301,4006,4375,4006,4295,4295,2,2,4295,8,33.94
wr小计, ,4381,4006, , ,36,-14, ,296,1266.57
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1202,5200,5210,4892,5080,-219,8,-6,5080,12,306.12
fu1203,5133,5280,5084,5256,202,744,-148,5245,1694,43971.83
fu1204,5503,5503,5503,5543,491,2,0,5543,2,55.03
fu1205,5199,5379,5078,5330,211,794,784,5341,1144,30335.22
fu1207,4751,4751,4751,4751,-319,2,2,4751,2,47.51
fu1208, , , ,5106,-2,2,0,5106,0,0
fu1209,5071,5375,5071,5232,-37,0,0,5232,4,104.46
fu小计, ,5503,4751, , ,1552,632, ,2858,74820.17
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1201,26880,26950,25680,26800,125,3294,-978,26325,2542,33601.27
ru1203,26100,28215,25125,27995,2285,3284,-1352,27745,10644,141955.52
ru1204,25370,28100,24165,27875,2680,982,-524,27785,6312,84990.06
ru1205,24550,27960,23450,27680,3520,265986,-20102,27535,14018152,178621352.6
ru1206,24435,28000,23445,27590,3520,278,-8,27495,2386,30581.35
ru1207,24475,27765,23545,27500,3455,144,20,27145,756,9825.31
ru1208,24240,27480,23400,27155,3305,54,-8,27155,232,5722.86
ru1209,23880,27350,23000,27100,3430,5476,3180,26990,51402,1290809.99
ru1210,23945,27050,23500,27050,3350,26,-8,27050,36,914.63
ru1211,23620,27100,23220,27050,3300,12,-14,27040,174,4322.22
ru1301,26000,27280,25455,27180,27180,8,8,27180,22,586.9
ru小计, ,28215,23000, , ,279544,-19786, ,14092658,180224662.7
总计, , , , , ,1861724,-278296, ,36234556,553380608
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数,,,,,,,,,,
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数,,,,,
