交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cuefp, ,58350,58350,58350, ,0,0, ,400,11670
cu1302,58900,59500,58150,58390,-460,12230,-11940,58480,34710,1023269.55
cu1303,59150,59850,56880,57400,-1830,37490,-24164,57370,230128,6696961.76
cu1304,59230,60000,56960,57550,-1900,73258,-41654,57550,259940,7593976.34
cu1305,59480,60270,57030,57630,-2060,149140,-47848,57640,1662584,48939571.8
cu1306,59590,60400,57040,57680,-2130,204042,170726,57700,1342222,38934411.17
cu1307,59650,60440,57120,57760,-2120,29158,25204,57760,80560,2331982.87
cu1308,59850,60510,57220,57800,-2200,4984,2602,57770,10002,292028.67
cu1309,59910,60620,57000,57890,-2200,2260,1172,57900,5094,149236.23
cu1310,59970,60670,57330,57920,-2280,2176,726,57880,2318,67842.04
cu1311,60010,60750,57400,58000,-2200,782,130,57970,972,28468.78
cu1312,60120,60890,57450,58000,-2300,838,380,58020,1336,39170.13
cu1401,60110,60710,54900,58150,-2200,354,206,58120,570,16871.68
cu1402,59550,59550,57690,58210,58210,240,240,58110,352,10221.03
cu小计, ,60890,54900, , ,516952,75780, ,3630788,106124012.1
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1302,15005,15035,14770,14775,-255,17430,-9200,14815,20010,149233.75
al1303,15100,15145,14575,14620,-535,31030,-19388,14600,72626,540101.9
al1304,15235,15260,14690,14705,-545,43314,-8752,14705,85494,640186.41
al1305,15345,15375,14760,14795,-570,89858,47138,14815,225640,1701708.68
al1306,15415,15455,14870,14900,-550,69196,58054,14900,143644,1082420.48
al1307,15500,15545,14955,14990,-540,13842,12196,14975,24066,181405.9
al1308,15550,15575,15055,15055,-530,836,520,15065,1698,12916.24
al1309,15650,15685,15130,15155,-545,584,326,15165,824,6333.72
