交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu0908,46920,50990,45940,47800,2280,5170,-11134,47800,31704,766415.00
cu0909,46980,51490,46400,49450,4080,11022,-15112,49860,80530,1957157.28
cu0910,46730,51280,46300,49460,4200,30434,-44216,49830,189506,4566837.24
cu0911,46670,51480,46000,49360,4190,69136,-205000,49750,10247828,246241581.21
cu0912,46900,51330,45980,49310,4110,222956,186430,49700,7615342,185038976.95
cu1001,46290,51350,46020,49350,4180,17744,12272,49730,108956,2652349.74
cu1002,46000,51260,46000,49330,4070,6718,3560,49500,21208,511967.06
cu1003,46500,51270,46170,49410,4110,4920,882,49730,11338,274682.85
cu1004,47200,51290,46130,49480,4230,2870,288,49820,6170,148664.62
cu1005,46360,51830,46250,49370,4030,3560,670,49840,10686,259832.52
cu1006,47870,51490,46310,49400,4100,2276,682,49920,5124,124636.88
cu1007,47110,51200,46160,49290,3890,1900,684,49530,5362,130095.32
cu1008,48280,51550,46110,49580, ,784,784,49940,1602,38910.27
cu小计, ,51830,45940, , ,379490,-69210, ,18335356,442712106.94
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al0908,15100,15390,14520,14520,-660,17040,-6232,14725,21082,159256.11
al0909,15150,15435,14250,14905,-135,22194,-15130,14980,52136,391268.35
al0910,15100,15460,14595,14900,-180,35908,-11558,14910,93428,703433.74
al0911,15200,15470,14540,14895,-260,69246,-70930,14900,3769026,28427912.73
al0912,15400,15460,14290,14905,-235,91742,43342,14900,1537010,11551558.74
al1001,15250,15460,14535,14880,-220,23796,8824,14885,107984,812234.01
al1002,15055,15400,14590,14835,-220,15812,4860,14850,33152,249759.64
al1003,15260,15410,14600,14850,-210,7884,2196,14865,15848,119516.71
al1004,15110,15475,14630,14850,-150,4114,2530,14850,10128,76561.43
al1005,15180,15890,14725,14880,-270,3280,1896,14910,8782,66324.61
al1006,15305,15575,14510,14860,-315,2912,1306,14875,5196,39340.35
al1007,15160,15645,14800,14865,-305,1840,1686,14950,5498,41650.13
al1008,15150,15590,14855,14950, ,434,434,14950,674,5076.16
al小计, ,15890,14250, , ,296202,-36776, ,5659944,42643892.68
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn0908,14500,15600,13700,14200,-100,6640,-170,14225,6280,46293.35
zn0909,14500,15450,14150,14600,190,7330,-7270,14740,22738,168724.59
zn0910,14650,15595,14005,14785,275,10526,-19640,14840,98568,738387.08
zn0911,14800,15650,14260,14885,275,29710,-83958,14925,3567726,26878365.09
zn0912,14900,15830,14370,14975,255,108516,81138,15030,1908182,14496273.25
zn1001,14995,15830,14480,15060,290,10506,7040,15115,48276,367024.19
zn1002,15245,16265,14600,15150,280,2376,1166,15230,7396,56368.93
zn1003,15470,16165,14720,15280,265,1154,374,15355,2872,22059.86
zn1004,14805,16080,14805,15370,205,928,-40,15420,2182,16982.17
zn1005,15915,16340,14905,15500,200,1420,426,15520,3844,30258.08
zn1006,16080,16550,15000,15605,220,1084,632,15715,4244,33595.68
zn1007,15600,16405,15130,15775,320,382,278,15745,1448,11432.53
zn1008,15500,16440,14780,15830, ,176,176,15915,680,5350.82
zn小计, ,16550,13700, , ,180748,-19848, ,5674436,42871115.60
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au0908, , , ,204.50,0.00,60,0,204.50,0,0.00
au0909,210.50,219.00,206.30,211.00,4.79,60,-134,213.50,214,4495.13
au0910,211.30,213.51,206.10,209.83,4.37,10,0,207.96,90,1902.56
au0911,210.93,219.08,206.10,209.49,2.70,122,-4,209.57,410,8584.06
au0912,209.71,212.20,205.21,209.29,3.36,36610,-4428,209.95,278136,5806005.30
au1001,210.30,212.15,205.41,209.30,2.10,100,36,209.95,452,9449.57
au1002,210.02,213.50,205.91,208.60,2.60,22,-8,209.14,100,2107.43
au1003,210.50,216.50,208.10,210.60,3.94,10,-10,210.60,28,590.28
au1004,201.50,216.02,201.50,211.57,5.19,4,0,211.57,10,208.84
au1005,208.90,210.00,199.10,209.00,2.16,8,0,209.00,16,331.72
au1006,210.99,213.77,205.72,209.40,1.87,642,388,210.03,2140,44866.89
au1007,211.05,212.97,207.35,209.23,0.73,60,40,209.23,172,3623.29
au1008,205.00,216.00,205.00,211.90, ,4,4,211.95,28,585.20
au小计, ,219.08,199.10, , ,37712,-4116, ,281796,5882750.27
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb0909,4804,4996,4107,4107,-472,12540,-16666,4154,141170,669103.11
rb0910,4777,4982,4100,4120,-507,43060,-279264,4170,2889950,13810999.18
rb0911,4720,4968,4115,4133,-492,457776,246736,4183,43697450,194893657.26
rb0912,4874,4998,4103,4120,-494,478138,448702,4173,5728732,24584548.78
rb1001,4800,4997,4127,4141,-460,13910,11208,4194,109852,482011.56
rb1002,4789,5090,4129,4166,-452,2984,2156,4201,9904,43973.25
rb1003,4720,5000,4171,4195,-401,4132,152,4241,11218,51327.49
rb1004,4720,5104,4186,4268,-353,1590,44,4282,2492,11346.63
rb1005,4763,5088,4201,4270,-336,1256,588,4308,7022,31517.93
rb1006,4784,4999,4220,4336,-277,682,114,4312,1774,8046.77
rb1007,4777,4988,4221,4340,-303,758,350,4347,3070,13953.35
rb1008,4219,4558,4219,4374, ,204,204,4346,474,2054.05
rb小计, ,5104,4100, , ,1017030,414324, ,52603108,234602539.37
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr0909,4596,4999,3730,3801,-660,540,-4638,3861,12794,58105.60
wr0910,4647,4858,3913,3913,-590,2602,-6054,3946,78400,356690.34
wr0911,4640,5000,3950,4014,-473,13854,10836,4050,245096,1029108.54
wr0912,4596,4800,3970,4001,-474,3660,1474,4060,11182,47544.84
wr1001,4640,4780,3960,4022,-461,884,338,4084,3118,13522.06
wr1002,4674,4750,3981,4149,-349,392,110,4149,1288,5723.97
