交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu0912,54350,55710,53330,54790,690,9200,-7412,54960,26112,712911.45
cu1001,54820,60380,53520,59560,5240,13130,-23398,59440,79156,2211595.08
cu1002,54900,59900,53020,59900,5480,24416,-56614,59570,196958,5466082.36
cu1003,55350,59900,53480,59900,5070,62556,-115564,59520,4651492,129021901.47
cu1004,55480,60020,53520,60020,5020,144812,127572,59690,1876536,54032014.94
cu1005,55790,60120,53600,60080,5020,37330,22498,59790,163340,4679460.88
cu1006,55560,60250,53710,60160,4770,8592,3450,59890,20394,580100.02
cu1007,55760,60300,53810,60300,4750,4302,760,59980,7134,202099.56
cu1008,55690,60300,53900,60300,4680,3002,1156,60000,5290,150649.66
cu1009,56100,60350,54070,60350,4590,1644,714,60060,3978,112086.22
cu1010,56010,60300,53500,60300,4500,1884,908,60010,4610,131279.22
cu1011,56700,60300,54130,60300,4430,714,278,59930,2234,63172.48
cu1012,55710,60390,55640,60390, ,368,368,60060,1062,30695.43
cu小计, ,60390,53020, , ,311950,-45284, ,7038296,197394048.77
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al0912,15400,16350,15300,16145,865,17010,-10560,16175,25370,199388.65
al1001,15560,16850,15410,16800,1380,23500,-22416,16700,63038,505574.78
al1002,15670,17000,15550,17000,1430,37418,-51122,16910,217358,1743009.48
al1003,15850,17180,15725,17160,1430,74948,33290,17075,2209364,18032099.69
al1004,15915,17405,15810,17390,1575,126712,109048,17310,802746,6788798.57
al1005,16090,17500,15905,17490,1570,36156,25132,17435,135414,1131476.83
al1006,16150,17485,16020,17475,1460,29350,23264,17415,66976,563548.37
al1007,16200,17550,16125,17470,1370,18470,14120,17410,33300,282678.59
al1008,16265,17575,16265,17550,1305,3076,1182,17520,5950,50645.39
al1009,16445,17700,16360,17640,1420,1886,206,17615,3090,26243.13
al1010,16430,17760,16430,17700,1270,1140,176,17700,1164,9872.07
al1011,16705,17880,16460,17880,1395,560,314,17795,1530,12962.38
al1012,17495,18295,17365,17900, ,40,40,17905,128,1132.37
al小计, ,18295,15300, , ,370266,122674, ,3565428,29347430.29
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn0912,18100,18360,17360,18180,380,11030,-1714,18215,11424,103080.14
zn1001,18025,20930,17675,20805,2950,7840,-11714,20805,40612,378844.16
zn1002,18280,21520,17765,21345,3295,14192,-49662,20865,242208,2242461.54
zn1003,18495,21225,17910,21195,2960,45368,-80888,21005,5481086,51803105.84
zn1004,18660,21425,18100,21375,2975,150556,140626,21220,2154602,22016458.09
zn1005,18825,21595,18300,21540,2920,30586,25668,21440,149756,1511828.36
zn1006,18830,22300,18500,21750,2950,2936,634,21620,9360,93847.42
zn1007,19200,21990,18750,21990,3090,1382,112,21670,3084,31175.11
zn1008,19295,22270,18800,22100,3030,1194,658,21890,2732,27288.67
zn1009,19490,22200,19000,22200,2870,1042,488,22110,2654,26966.83
zn1010,19300,22360,19155,22360,3010,1808,190,22230,2360,24324.14
zn1011,19900,22545,19415,22300,2925,338,286,22300,990,10271.18
zn1012,20300,22660,20210,22510, ,344,344,22490,760,8169.09
zn小计, ,22660,17360, , ,268616,25028, ,8101628,78277820.53
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au0912,260.30,265.00,252.00,252.00,-11.00,456,-6,252.00,24,622.77
au1001,258.09,269.38,233.00,241.00,-17.38,12,-176,241.36,794,20032.01
au1002,258.16,269.66,240.29,243.80,-13.69,80,-42,243.80,1120,28383.70
au1003,259.32,277.58,240.61,249.00,-9.95,94,34,246.06,2738,69058.61
au1004,260.56,269.59,242.65,246.00,-13.33,54,-10,246.00,390,9905.29
au1005,259.79,270.35,240.30,247.25,-11.03,136,38,246.05,1742,44137.98
au1006,259.87,270.49,240.52,247.51,-10.72,100364,17262,245.60,1528436,38492776.89
au1007,258.94,271.61,240.40,248.80,-10.59,94,34,246.54,754,18773.21
au1008,259.56,270.67,240.56,246.15,-13.42,72,36,246.51,256,6401.36
au1009,258.71,279.00,240.51,248.99,-9.99,78,44,246.91,798,20253.60
au1010,260.22,270.50,241.38,248.19,-10.32,198,110,246.73,492,12274.47
au1011,260.70,271.12,242.20,248.20,-10.79,60,40,247.60,196,5027.36
au1012,226.00,252.87,226.00,247.50, ,86,86,246.49,250,6127.64
au小计, ,279.00,226.00, , ,101784,17450, ,1537990,38733774.89
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb0912,3630,3740,3622,3703,65,11340,-10380,3702,20580,75588.96
rb1001,3812,3940,3706,3901,101,22262,-70090,3896,151740,573210.72
rb1002,3977,4050,3809,4014,56,98180,-287998,4001,1841846,7213807.95
rb1003,4110,4180,3960,4150,47,136726,-45376,4142,1331434,5413290.70
rb1004,4235,4350,4095,4317,100,52264,22646,4307,116672,493779.41
rb1005,4390,4547,4246,4511,136,911846,396862,4502,44932428,197106861.48
rb1006,4480,4596,4344,4578,113,28690,14424,4573,102112,458959.17
rb1007,4545,4626,4429,4610,67,7070,654,4607,19542,88932.70
rb1008,4611,4650,4475,4636,56,3124,-86,4633,8352,38362.76
rb1009,4637,4718,4449,4665,54,12396,-318,4660,22638,104873.66
rb1010,4643,4819,4600,4702,58,86782,38518,4696,403444,1892001.26
rb1011,4681,4799,4643,4718,46,22216,11644,4709,67136,317607.64
rb1012,4771,4825,4675,4731, ,4498,4498,4725,9244,43781.55
rb小计, ,4825,3622, , ,1397394,74998, ,49027168,213821057.97
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr0912,3620,3649,3550,3630,35,540,-420,3615,840,3037.62
wr1001,3709,3810,3637,3752,81,720,-1672,3766,4374,16238.13
wr1002,3831,3974,3763,3872,32,2540,-3542,3874,21778,83566.22
wr1003,3946,4055,3857,4000,54,2700,688,3994,5198,20604.91
wr1004,4012,4184,3862,4119,52,576,290,4119,864,3540.89
wr1005,4176,4364,4001,4300,130,5930,4040,4296,23272,98282.18
wr1006,4251,4462,4141,4359,114,800,-20,4345,502,2140.31
wr1007,4278,4424,4211,4380,87,934,-8,4362,224,969.32
wr1008,4331,4573,4253,4416,77,988,-4,4407,414,1806.45
wr1009,4357,4470,4250,4437,89,2834,8,4433,1278,5593.88
wr1010,4369,4500,4349,4460,86,3932,402,4450,3374,14961.33
wr1011,4380,4537,4375,4481,76,952,680,4472,1194,5302.42
wr1012,4532,4646,4485,4500, ,10,10,4500,40,181.69
wr小计, ,4646,3550, , ,23456,452, ,63352,256225.34
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1001,4060,4250,4050,4200,110,18460,-4594,4167,14414,59928.48
fu1003,4260,4422,4225,4339,92,40044,-69980,4348,5587812,24136625.18
fu1004,4313,4462,4280,4422,108,3032,1706,4433,28556,124803.36
fu1005,4393,4560,4352,4516,139,111662,103224,4529,942346,4232880.85
fu1006,4457,4600,4411,4557,117,1694,974,4574,9760,44051.03
fu1007,4490,4660,4430,4625,110,196,-22,4633,744,3389.91
fu1008,4582,4759,4510,4675,129,252,72,4673,658,3050.55
fu1009,4618,4777,4566,4730,114,276,94,4743,1102,5146.58
fu1010,4679,4796,4605,4796,126,322,80,4787,452,2128.98
fu1011,4731,4891,4680,4830,109,516,150,4834,1000,4771.54
fu1012,4735,4885,4698,4885, ,106,106,4885,268,1290.15
fu小计, ,4891,4050, , ,176560,31810, ,6587112,28618066.62
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1001,21240,23680,20970,23580,2385,15610,-12028,23540,49982,548595.98
ru1003,21800,23900,21180,23800,2155,68112,-78978,23725,14073882,158277515.05
ru1004,21895,24715,21385,24145,2305,646,552,24100,7020,82311.58
ru1005,22200,24530,21520,24460,2375,128864,95810,24355,3909936,45966841.19
ru1006,22145,24645,21595,24300,2280,318,18,24345,2068,23656.54
ru1007,22300,24630,21580,24550,2370,5048,364,24505,19804,227360.40
ru1008,21900,24795,21570,24680,2645,110,50,24555,234,2711.83
ru1009,22195,24650,21580,24650,2485,10178,4472,24390,31958,371271.86
ru1010,21895,24430,21035,24430,2295,60,-12,24290,224,2556.95
ru1011,21820,24145,21235,24115,2395,2110,1072,23975,3928,44430.51
ru小计, ,24795,20970, , ,231056,11320, ,18099036,205547251.86
总计, , , , , ,2881082,238448, ,94020010,791995676.26
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数
