交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cuefp, ,50780,50300,50780, ,0,0, ,480,12117.6
cu1408,50890,50940,49150,50100,-710,7350,-41020,49320,126400,3178052
cu1409,50710,51350,48940,50110,-530,59964,-118740,50080,940664,23590572.55
cu1410,50580,50960,48620,49780,-730,182504,-42608,49750,6052460,150899493.4
cu1411,50500,50750,48410,49570,-830,192360,118998,49540,1525900,37938254.01
cu1412,50450,50600,48280,49430,-960,101894,70236,49370,415150,10289159.51
cu1501,50440,50480,48240,49310,-1060,22406,14932,49290,71390,1769794.66
cu1502,50380,50590,48190,49240,-1130,7282,3718,49310,11682,287615.61
cu1503,50380,50380,48180,49260,-1130,3372,1674,49230,4802,118539.15
cu1504,50350,50350,48410,49240,-1020,3126,808,49150,2772,68251.83
cu1505,50360,50400,48230,49180,-1220,3172,408,49090,3760,93020.98
cu1506,50410,50410,48300,49180,-1200,2090,478,49150,1768,43529.48
cu1507,50330,50330,48260,49160,-1380,734,612,49110,1748,43115.5
cu1508,48670,50090,47370,49120,49120,216,216,49120,1312,32130.99
cu小计, ,51350,47370, , ,586470,9712, ,9159808,228351529.7
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1408,14060,14105,13890,13995,-45,23020,-11410,13925,47540,332740.65
al1409,14070,14500,13875,14495,400,34640,-42118,14400,192562,1357047.86
al1410,14135,14520,13900,14490,345,105388,-55152,14410,2055280,14567061.07
al1411,14140,14540,13930,14505,355,153066,63970,14445,746730,5323289.13
al1412,14135,14545,13945,14495,350,90384,44330,14465,184186,1313385.46
al1501,14125,14535,13945,14490,340,41224,22680,14465,61580,439897.3
al1502,14135,14530,13955,14495,390,17288,11920,14485,20056,142923.05
al1503,14160,14520,13970,14485,375,7472,4820,14485,8676,61945.33
al1504,14120,14530,14015,14515,385,726,250,14485,1002,7194.09
al1505,14165,14885,14015,14530,350,442,150,14505,530,3805.97
al1506,14220,14540,14060,14540,380,332,222,14535,310,2229.99
al1507,14145,14515,14095,14475,215,70,28,14465,52,372.35
al1508,14500,14500,14500,14500,14500,4,4,14500,4,29
al小计, ,14885,13875, , ,474056,39694, ,3318508,23551921.23
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1408,16795,17045,16310,16495,-270,9380,-1902,16415,31162,260102.06
zn1409,16845,17130,16300,16730,-95,22010,-67048,16630,439114,3678105.07
