交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1006,54560,54790,49300,52000,-3000,5850,-12246,52530,31936,828384.75
cu1007,54700,54860,49070,52420,-2620,18052,-26112,52160,99382,2607143.08
cu1008,54750,54880,48900,52230,-2850,39528,-74142,51980,412898,10872376.27
cu1009,54670,54880,48800,52070,-2980,99034,-67704,51780,9005624,235251470.05
cu1010,54700,54900,48830,51800,-3300,164104,149382,51560,2565132,67493011.93
cu1011,54730,54910,48900,51820,-3300,18746,13814,51520,74818,1962260.63
cu1012,54800,55270,49000,51800,-3300,9246,3266,51520,27930,731861.39
cu1101,55150,55150,49030,51820,-3430,2222,1044,51540,6024,157512.06
cu1102,54700,55010,49020,51810,-3440,906,154,51580,1658,43074.10
cu1103,54960,55260,49300,52050,-3800,1404,316,51680,3382,88645.13
cu1104,55040,55200,49200,51980,-3500,858,-196,51690,2572,67713.87
cu1105,55020,55300,49050,52000,-3600,644,334,51690,2524,66010.96
cu1106,52090,54620,51500,52100, ,298,298,51750,1152,30495.09
cu小计, ,55300,48800, , ,360892,-11792, ,12235032,320199959.31
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1006,14830,14990,13750,14435,-570,24130,-12364,14350,42834,305097.60
al1007,15125,15160,13520,14550,-580,27506,-33704,14490,106500,771511.66
al1008,15280,15310,13800,14600,-690,55880,-33138,14590,288492,2115929.50
al1009,15410,15455,14020,14690,-730,85256,30778,14670,1842518,13586277.48
al1010,15510,15585,14170,14780,-750,49736,33064,14760,286230,2125577.27
al1011,15660,15675,14115,14905,-780,15568,8722,14865,39730,296924.92
al1012,15755,15790,14425,14995,-760,4886,1046,14960,11328,85329.17
al1101,15800,15800,14455,15050,-760,1476,564,15005,4260,31909.26
al1102,15715,15720,14480,15100,-760,1108,186,15055,1438,10793.05
al1103,15910,15910,14470,15160,-750,3596,68,15005,3486,26128.31
al1104,15850,15860,14490,15280,-660,568,54,15185,1710,12731.39
al1105,15835,15990,14590,15180,-720,3682,2158,15140,5344,40932.10
al1106,15435,16450,15080,15200, ,70,70,15125,144,1109.13
al小计, ,16450,13520, , ,273462,-2496, ,2634014,19410250.82
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1006,15570,15620,12655,14060,-1610,8460,-6052,14300,20392,145132.71
zn1007,15625,15820,13000,14450,-1290,15488,-19722,14405,89778,651658.54
zn1008,15820,15980,13200,14505,-1385,31974,-77448,14485,815482,6053924.21
zn1009,15965,16140,13480,14575,-1475,127282,-145962,14535,28410528,209688216.44
zn1010,16080,16280,13605,14610,-1575,268822,255208,14575,9289776,69624032.85
zn1011,16260,16405,13295,14695,-1630,21456,19444,14635,150596,1136085.39
zn1012,16325,16520,13850,14775,-1685,7052,3566,14710,25054,189488.46
zn1101,16450,16620,13965,14895,-1660,3410,1396,14835,17832,135278.91
zn1102,16600,16730,14115,15010,-1675,848,324,14965,2040,15606.93
zn1103,16735,16810,13855,15130,-1615,1734,272,15035,3684,28275.16
zn1104,16820,16820,14440,15160,-1640,442,272,15265,1520,11721.04
zn1105,17045,17045,14240,15280,-1745,430,256,15285,1384,10688.61
zn1106,15630,16180,15165,15400, ,206,206,15310,486,3845.75
zn小计, ,17045,12655, , ,487604,31760, ,38828552,287693954.98
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1006,266.00,270.00,245.53,245.53,-21.47,702,-162,249.76,174,4604.72
au1007,267.09,283.90,263.30,271.50,5.70,6,-42,271.68,190,5137.38
au1008,266.99,277.17,262.53,272.75,6.50,72,8,272.35,258,6959.81
au1009,266.95,276.49,262.41,272.30,6.03,76,-52,271.62,1022,27622.58
au1010,268.60,276.00,263.59,272.08,6.42,86,-70,271.47,630,16932.20
au1011,267.60,276.79,264.02,271.91,5.50,44,0,271.91,592,15926.00
au1012,269.00,277.01,263.64,272.04,5.50,53912,2890,272.09,650766,17628585.79
au1101,268.58,276.34,263.28,272.55,5.55,72,14,272.45,462,12549.15
au1102,268.80,276.08,255.28,272.00,5.35,104,12,271.83,796,21486.90
au1103,268.19,276.10,268.07,272.92,5.92,88,60,272.97,212,5780.62
au1104,269.00,276.12,264.68,271.80,4.80,90,32,271.96,590,15979.35
au1105,269.43,272.88,265.00,272.68,7.08,16,10,272.68,32,866.66
au1106,276.80,277.76,270.20,272.94, ,70,70,272.70,432,11793.98
au小计, ,283.90,245.53, , ,55338,2770, ,656156,17774225.13
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1006,4013,4018,3920,3978,-11,3780,-3660,3996,8160,32276.58
rb1007,4005,4058,3783,3825,-205,4500,-2558,3826,12786,50344.86
rb1008,4040,4068,3859,3902,-169,11070,-5930,3899,18708,74421.48
rb1009,4120,4145,3928,3936,-194,16698,-9530,3933,57238,230467.58
rb1010,4201,4215,3958,3985,-230,841566,-375266,3971,35477712,145587073.90
rb1011,4213,4218,3975,3999,-228,20712,-3416,3986,42426,174314.94
rb1012,4241,4241,3993,4035,-214,20722,190,4010,17922,73793.75
rb1101,4290,4325,4065,4098,-229,171030,113948,4082,1331282,5565402.80
rb1102,4330,4349,4099,4117,-238,8212,-2412,4110,20150,84469.75
rb1103,4372,4401,4132,4155,-271,5262,-1722,4139,13594,57523.48
rb1104,4460,4480,4150,4196,-284,3448,-492,4184,9248,39479.86
rb1105,4515,4530,4123,4285,-249,6988,4154,4269,19920,86749.50
rb1106,4348,4428,4285,4302, ,158,158,4294,562,2448.63
rb小计, ,4530,3783, , ,1114146,-286536, ,37029708,152058767.11
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1006,4080,4200,4045,4095,-5,540,180,4095,720,2948.10
wr1007,4113,4179,3969,3994,-106,0,-348,3989,692,2822.92
wr1008,4116,4224,3936,4040,-86,152,-286,4034,704,2889.53
wr1009,4121,4198,3982,3987,-143,528,-470,3985,1706,6992.71
wr1010,4121,4198,3978,4010,-129,3780,-960,3997,20180,82522.74
wr1011,4140,4220,3988,4023,-141,332,-338,4023,672,2779.66
wr1012,4210,4235,4006,4006,-210,88,4,4006,72,299.20
wr1101,4272,4272,4078,4078,-183,62,6,4078,70,292.19
wr1102,4245,4245,4048,4162,-136,6,0,4162,14,57.85
wr1103,4300,4300,4091,4164,-189,28,-4,4164,104,430.52
wr1104,4170,4232,4170,4212,-145,4,0,4212,4,16.80
wr1105,4303,4400,4161,4161,-229,10,2,4195,60,257.47
wr小计, ,4400,3936, , ,5530,-2214, ,24998,102309.70
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1007,4455,4455,4108,4150,-160,5180,-1854,4193,10594,45573.72
fu1008,4421,4557,4162,4249,-187,400,-352,4239,2624,11363.96
fu1009,4428,4443,4171,4336,-101,56106,-14300,4320,1051194,4561667.82
fu1010,4451,4489,4193,4365,-125,1248,610,4350,14082,61637.88
