交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu0904,34450,45000,34420,43100,8420,2320,-14140,43430,33930,659493.55
cu0905,34250,43000,33720,37690,3690,21948,-29408,37280,170858,3311318.03
cu0906,33650,41600,33190,36900,3380,52600,-91866,36490,892228,16155760.02
cu0907,33080,40980,32900,36490,3190,73888,-108434,36020,9242602,171907023.53
cu0908,33630,40740,32800,36200,3030,187522,165814,35720,8143088,147267282.70
cu0909,33280,40480,32750,36120,3120,35364,30262,35680,311646,5643564.31
cu0910,33200,40290,32680,35970,2950,8666,4638,35560,38690,713090.94
cu0911,32940,40250,32670,35850,2900,4440,1618,35500,18998,345534.61
cu0912,33000,40170,32620,35810,2870,8738,1538,35410,41374,751947.94
cu1001,32810,40020,32550,35750,2800,1964,726,35350,8000,144883.55
cu1002,32890,40000,32600,35770,2810,2172,1580,35400,8432,155576.85
cu1003,32880,40190,32400,35910,3090,3902,2130,35460,16090,292842.88
cu1004,39040,40380,33330,35870, ,1134,1134,35710,2996,53424.42
cu小计, ,45000,32400, , ,404658,-34408, ,18928932,347401743.33
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al0904,13550,14900,13340,13610,60,7530,-11738,13905,31188,221241.52
al0905,13055,14200,12560,12880,-155,18640,-29598,12825,123458,812181.27
al0906,12780,13740,12305,12650,-130,59998,-53494,12655,539534,3474551.59
al0907,12630,13610,12240,12570,-90,91224,5690,12545,3506148,22545586.05
al0908,12600,13510,12240,12570,-20,86942,59312,12540,938008,5947921.01
al0909,12590,13500,12290,12585,-5,32256,21664,12565,186632,1194824.86
al0910,12620,13490,12305,12620,45,12462,8516,12590,33964,217233.65
al0911,12680,13500,12370,12680,120,6678,3606,12640,14876,95343.64
al0912,12500,13500,12410,12740,160,3386,1330,12680,6494,41771.27
al1001,12540,13500,12485,12800,105,566,194,12730,2758,17785.46
al1002,12645,13415,12410,12820,255,444,-148,12810,1374,8886.20
al1003,12700,13550,12440,12900,300,1024,362,12795,2362,15317.75
al1004,12995,13370,12630,12900, ,76,76,12900,148,958.17
al小计, ,14900,12240, , ,321226,5772, ,5386944,34593602.40
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn0904,11800,13285,11740,13000,1320,2490,-3632,13070,8862,55575.68
zn0905,11720,13890,11630,12380,685,3090,-13054,12405,29500,185239.63
zn0906,11675,13800,11585,12395,720,15492,-63662,12395,295750,1824242.98
zn0907,11700,13880,11600,12425,725,50034,-48872,12400,4477192,28360792.80
zn0908,11730,13870,11620,12485,785,122558,101500,12465,1888132,11776834.02
zn0909,11765,13900,11620,12520,805,21256,15132,12490,124072,776655.23
zn0910,11700,14000,11650,12580,840,3280,1278,12525,8952,55971.28
