交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1007,52200,54100,51610,53780,1360,7140,-10912,53620,30182,801610.75
cu1008,51060,56450,51060,56260,4030,17112,-22416,56190,91618,2465590.24
cu1009,51600,56500,51320,56250,4180,37312,-61722,56240,373296,9849803.73
cu1010,51390,56460,51040,56270,4470,112522,-51582,56180,8043298,213122309.62
cu1011,51440,56490,51060,56280,4460,185814,167068,56180,2429986,66977907.05
cu1012,51400,56420,51040,56270,4470,29670,20424,56130,103126,2798420.98
cu1101,51500,56350,51040,56270,4450,4470,2248,56110,20874,565909.85
cu1102,51660,56290,51210,56210,4400,1396,490,56060,2974,80409.89
cu1103,51500,56240,51000,56210,4160,1492,88,56100,5418,144770.91
cu1104,51690,56580,51200,56250,4270,766,-92,56100,1736,46533.25
cu1105,51630,56300,51270,56200,4200,902,258,56090,1950,52103.59
cu1106,51800,56280,51300,56210,4110,402,104,56170,1186,31697.69
cu1107,52870,56280,52300,56220, ,170,170,56110,598,16376.87
cu小计, ,56580,51000, , ,399168,44126, ,11106242,296953444.42
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1007,14500,14795,14435,14705,155,15210,-12296,14625,30636,224158.46
al1008,14570,15320,14100,15065,465,22440,-33440,15165,80660,599929.81
al1009,14615,15410,14580,15240,550,51704,-33552,15255,259680,1931214.88
al1010,14710,15510,14670,15345,565,92092,42356,15370,1004474,7579163.07
al1011,14840,15615,14780,15460,555,58018,42450,15470,238036,1828371.75
al1012,14950,15700,14880,15535,540,14862,9976,15545,28252,217615.23
al1101,15075,16000,14945,15620,570,2818,1342,15620,6936,53505.45
al1102,15055,15800,14935,15700,600,1428,320,15680,1256,9673.92
al1103,15100,15800,15020,15690,530,3804,208,15695,2514,19307.33
al1104,15380,15890,15160,15730,450,736,168,15735,950,7453.24
al1105,15180,15860,15040,15740,560,6530,2848,15730,8340,64624.32
al1106,15265,15880,15005,15750,550,126,56,15745,310,2394.04
al1107,15375,15865,15370,15775, ,46,46,15775,96,756.22
al小计, ,16000,14100, , ,269814,20482, ,1662140,12538167.70
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1007,14570,15290,14350,14980,530,9950,-5538,14940,13968,103835.93
zn1008,14310,16100,14310,15780,1275,8680,-23294,15950,74722,566263.62
zn1009,14450,16200,14400,16065,1490,22396,-104886,16055,1269130,9526921.96
zn1010,14500,16330,14440,16165,1555,88098,-180724,16180,32191048,244881349.71
zn1011,14550,16445,14515,16305,1610,317938,296482,16300,11067582,88379884.46
zn1012,14680,16530,14600,16430,1655,25332,18280,16420,135590,1085078.62
zn1101,14800,16615,14715,16535,1640,8500,5090,16500,70970,566469.29
zn1102,15010,16665,14850,16590,1580,1114,266,16560,3224,25629.37
zn1103,14980,16730,14900,16625,1495,3212,1478,16605,8788,69808.45
zn1104,15195,16810,15000,16680,1520,1176,734,16675,2648,21120.16
zn1105,15100,16800,15100,16730,1450,1192,762,16695,4270,34077.86
zn1106,15380,16850,15240,16850,1450,618,412,16790,2072,16643.02
zn1107,16180,17490,15550,16875, ,314,314,16870,792,6506.24
zn小计, ,17490,14310, , ,488520,9376, ,44844804,345283588.67
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1007, , , ,271.50,0.00,6,0,271.68,0,0.00
au1008,270.15,276.12,246.12,256.00,-16.75,6,-66,260.87,170,4469.52
au1009,271.30,271.30,255.02,257.79,-14.51,76,0,257.57,194,5057.03
au1010,272.08,272.08,255.70,257.95,-14.13,114,28,257.06,782,20476.21
au1011,265.19,265.60,256.11,257.30,-14.61,46,2,256.72,230,6023.85
au1012,271.05,271.60,254.68,255.94,-16.10,55000,1088,255.77,561214,14666602.28
au1101,272.10,272.10,255.67,257.10,-15.45,202,130,257.07,452,11865.54
au1102,270.81,271.00,255.85,256.55,-15.45,112,8,256.74,444,11591.94
au1103,272.57,272.58,256.35,256.55,-16.37,196,108,256.55,430,11301.05
au1104,264.99,265.00,255.95,256.56,-15.24,86,-4,256.56,60,1560.79
au1105,263.90,265.79,256.30,259.00,-13.68,10,-6,259.00,110,2878.14
au1106,271.50,272.55,255.60,257.37,-15.57,270,200,256.93,990,25844.50
au1107,263.96,264.33,257.88,259.35, ,2,2,259.35,16,419.43
au小计, ,276.12,246.12, , ,56126,1490, ,565092,14768090.29
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1007,3805,3844,3710,3787,-38,4260,-240,3748,4860,18384.96
rb1008,3900,3978,3751,3952,50,8160,-2910,3956,20432,79263.97
rb1009,3933,3998,3805,3993,57,13974,-2724,3970,22262,87089.27
rb1010,3975,4071,3886,4068,83,322074,-519492,4046,15703900,62166749.24
rb1011,4004,4101,3918,4095,96,24562,3850,4079,78426,314596.45
rb1012,4030,4167,3923,4167,132,34174,13452,4139,58000,234968.54
rb1101,4091,4287,4042,4285,187,1203746,1032716,4254,31326352,130520605.91
rb1102,4090,4297,4072,4294,177,21410,13198,4266,45268,189709.37
rb1103,4132,4320,4099,4320,165,10264,5002,4290,18376,77272.42
rb1104,4184,4345,4146,4343,147,10402,6954,4314,19326,81993.83
rb1105,4263,4444,4102,4441,156,40598,33610,4407,83334,361590.55
rb1106,4291,4481,4230,4460,158,572,414,4443,1990,8606.59
rb1107,4287,4560,4282,4479, ,394,394,4456,930,4096.89
rb小计, ,4560,3710, , ,1694590,584224, ,47383456,194144928.00
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr1008,4011,4068,3900,4068,28,20,-132,4066,222,889.41
wr1009,4004,4114,3970,4113,126,56,-472,4113,810,3244.03
wr1010,4015,4224,3960,4197,187,2598,-1182,4178,10316,41621.44
wr1011,4020,4210,3990,4210,187,156,-176,4209,362,1488.42
wr1012,4009,4259,3952,4255,249,62,-26,4253,118,485.47
wr1101,4118,4333,4000,4276,198,98,36,4255,1266,5211.71
wr1102,4180,4272,4131,4272,110,12,6,4272,14,58.63
wr1103,4141,4393,4088,4296,132,44,16,4296,92,389.34
wr1104,4264,4290,4214,4338,126,6,2,4338,18,76.43
wr1105,4206,4434,4206,4337,176,10,0,4398,50,218.88
wr1106,4297,4297,4116,4336,83,0,0,4336,44,185.70
wr小计, ,4434,3900, , ,3062,-1928, ,13312,53869.48
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu1008,4230,4315,3990,4243,-6,340,-60,4243,520,2183.48
fu1009,4313,4355,4210,4349,13,35488,-20618,4335,401154,1720288.31
fu1010,4350,4435,4270,4428,63,39090,37842,4417,242540,1060499.27
fu1011,4380,4471,4292,4469,63,2908,1574,4459,6986,30825.00
fu1012,4418,4501,4350,4501,81,240,-108,4486,886,3940.29
fu1101,4448,4572,4365,4544,99,540,140,4538,2980,13218.80
fu1103,4481,4600,4436,4600,82,274,0,4600,610,2748.18
fu1104,4476,4630,4476,4630,86,42,2,4629,58,262.52
fu1105,4576,4650,4490,4650,73,198,-58,4650,310,1414.42
fu1106,4620,4686,4492,4668,60,28,12,4668,178,816.53
fu1107,4270,4698,4270,4694, ,76,76,4694,176,808.55
fu小计, ,4698,3990, , ,79224,18802, ,656398,2837005.34
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru1007,23700,23780,23000,23290,-315,3718,-84,23335,2136,24986.54
ru1008,22860,23970,22515,23900,1080,3572,-1080,23830,12196,140675.10
ru1009,22250,23750,21700,23680,1380,13214,-51314,23685,335050,3739978.26
ru1010,21540,23685,21320,23590,1820,3536,2942,23595,42436,477801.56
ru1011,21500,23480,20920,23465,1880,163210,-56194,23290,30669186,333251152.79
ru1101,21695,23975,21310,23965,2225,222600,186460,23750,9078170,103643901.11
ru1103,22025,24270,21620,24250,2230,6500,2408,24005,68192,778070.19
ru1104,21860,24200,21570,24200,2260,126,72,24070,738,8383.76
ru1105,22010,24305,21750,24300,2290,2294,1628,24135,16958,195349.85
ru1106,21855,24250,21600,24250,2160,96,42,24115,896,10246.06
ru1107,22930,24300,22600,24300, ,540,540,24185,982,11668.22
ru小计, ,24305,20920, , ,419406,85420, ,40226940,442282213.41
总计, , , , , ,3409910,761992, ,146458384,1308861307.30
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数
注： 1、涨跌点数以上月收盘价为基准。 指数免责声明： 1、本文件涉及所有信息，包括但不限于所有的文字、数据、图表、表格、计算方式（以下统称为“信息”）属于上海期货交易所的财产，受中国知识产权法等相关法律保护。这些信息仅供参考之用。 2、本文件涉及任何信息被确认为来源可靠，但只供相关知晓所用，非为特定个人、公司或者其他组织提供。本文任何信息，或者包含上述信息的其他内容均不构成上海期货交易所对任何期货、其他金融产品或投资工具或任何交易策略的依据或建议，而且上海期货交易所及其关联方均未认可、同意或以其他方式表示关于任何期货公司、期货、其他金融产品或投资工具或交易策略的意见。投资者在作出一项投资决定时，应该充分考虑到投资的风险，并且了解投资相关的所有程序及所涉文件，而不是基于本文的陈述。 3、上海期货交易所不保证所有信息的精确性、完整性，并且对所有信息在编制、发布等过程涉及的计算错误、漏发或者发布中断不承担任何责任，不明示或者暗示使用本文中的信息，不保证使用本文信息的适用性。当信息被认为是可适用的，对任何因直接或间接使用本文中任何信息而造成的任何索赔或者损失，包括但不限于因有关内容不准确、不完整等而导致的利息损失、惩罚性或者间接性损失，上海期货交易所无须承担任何法律责任。 上海期货交易所 所有权保留,,,,,
