交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1012,62700,67980,62600,67100,4720,8160,-10080,67210,27140,889673.70
cu1101,62880,71000,62820,70900,8400,14600,-16696,70440,75644,2544711.36
cu1102,62780,71550,62660,71460,8930,28740,-26950,70760,120632,4032878.30
cu1103,62970,71970,62800,71850,9190,128702,-32512,71070,4697820,158703252.44
cu1104,62890,72770,62880,72380,9660,177826,165752,71840,1056670,36932766.56
cu1105,62880,72850,62880,72660,9780,17372,10826,72000,59282,2040060.55
cu1106,63120,72840,63020,72520,9670,2330,876,72050,4906,168398.15
cu1107,63010,72660,63010,72650,9750,1002,140,72280,1466,49671.09
cu1108,63010,72610,63010,72610,10080,1284,162,72250,1140,38829.29
cu1109,63590,72820,63370,72820,9920,576,148,72190,2726,93316.82
cu1110,63310,72560,63310,72560,9660,258,20,72270,504,17135.83
cu1111,62900,72680,62900,72660,9680,248,90,72140,1014,34448.51
cu1112,68550,72660,68260,72640, ,186,186,72350,378,13291.33
cu小计, ,72850,62600, , ,381284,91962, ,6049322,205558433.93
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1012,15860,16125,15840,16085,205,18300,-7830,16035,27620,220860.65
al1101,16040,16500,15995,16440,410,23110,-20136,16430,61184,496768.79
al1102,16190,16670,16150,16650,445,41228,-36380,16620,96158,789766.82
al1103,16360,16850,16315,16840,465,91900,27032,16790,702746,5832320.31
al1104,16555,17035,16480,17010,465,49552,35470,16965,130788,1099965.06
al1105,16730,17130,16625,17130,455,16474,4656,17075,29774,251953.23
al1106,16840,17210,16840,17210,370,8370,5336,17145,13272,113155.70
al1107,17035,17420,17030,17300,270,3654,2536,17225,7064,60844.41
al1108,17200,17490,17150,17435,235,1366,498,17395,1882,16328.31
al1109,17445,17710,17200,17530,150,926,480,17460,1568,13688.78
al1110,17420,17750,17365,17650,310,260,186,17650,426,3738.85
al1111,17410,17740,17410,17610,200,360,234,17610,322,2835.85
al1112,17600,17880,17600,17865, ,90,90,17795,168,1487.18
al小计, ,17880,15840, , ,255590,12172, ,1072972,8903713.91
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1012,17000,18950,16995,17915,1320,12140,-3150,18220,13270,119409.18
zn1101,17155,19240,17090,19105,1955,12800,-5570,19070,41538,381899.58
zn1102,17345,19440,17245,19255,1925,24676,-47752,19260,191708,1756092.98
zn1103,17485,19670,17415,19475,1960,123976,-150702,19475,15184884,141438736.27
zn1104,17605,19865,17570,19695,2015,208326,194462,19685,1917332,18542070.59
zn1105,17830,20010,17770,19810,1980,21076,8694,19855,145482,1395789.72
zn1106,17930,20140,17910,19930,1955,2438,16,19995,8888,85601.95
zn1107,18120,20200,18000,20040,1990,2768,236,20040,3204,30796.40
zn1108,18295,20490,18170,20175,1975,2866,-118,20120,1788,17355.42
zn1109,18250,20430,18225,20195,1885,1750,-88,20210,3432,33370.05
zn1110,18300,20415,18300,20300,2010,1636,140,20305,746,7296.47
zn1111,18550,20785,18465,20115,1545,102,-68,20275,344,3390.58
zn1112,19820,20600,19670,20600, ,8,8,20455,20,201.94
zn小计, ,20785,16995, , ,414562,-3892, ,17512636,163812011.09
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1012,298.80,298.80,294.00,297.50,5.00,276,-84,297.50,132,3920.70
au1101,294.05,306.20,286.67,297.00,6.60,60,-110,297.00,232,6952.04
au1102,295.80,307.79,293.01,306.40,12.90,288,-50,305.45,258,7791.52
au1103,297.20,309.88,289.50,305.55,12.35,148,38,305.55,1566,47207.09
au1104,300.73,307.58,288.50,304.57,10.87,100,20,304.41,166,5010.67
au1105,299.78,309.19,298.05,306.80,12.18,92,-24,307.00,620,18761.35
au1106,300.37,310.70,298.35,309.11,12.80,77990,14170,307.61,494122,14997053.15
au1107,317.92,317.93,300.00,306.96,13.36,56,8,306.96,48,1466.18
au1108,306.99,310.01,301.80,312.47,10.39,4,2,312.47,10,306.16
au1109,304.28,314.99,297.01,307.70,10.59,26,10,307.77,106,3229.87
au1110,303.99,322.45,300.05,309.60,13.36,46,-6,309.60,162,4978.06
au1111,305.00,305.00,305.00,298.16,4.30,8,-2,298.16,2,61.00
au1112,304.58,311.70,302.00,310.29, ,18,18,309.87,46,1418.61
au小计, ,322.45,286.67, , ,79112,13990, ,497470,15098156.41
