交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
rb1006,4280,4309,3901,4037,-299,1038,356,3975,1694,6986.03
rb1007,4320,4348,3923,4020,-320,1078,320,4016,1308,5460.18
rb1008,4270,4377,3960,4057,-317,290,86,4058,1542,6520.53
rb1009,4302,4385,3960,4081, ,1328,1328,4080,2396,9979.47
rb小计, ,4385,3400, , ,801368,-215662, ,57804370,228728611.73
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:线材,,,,,,,,,,
wr0909,3849,3849,3550,3650,-151,600,60,3650,780,2847.66
wr0910,3880,3937,3260,3480,-433,2700,98,3492,11194,41194.76
wr0911,4015,4024,3407,3480,-534,7794,-6060,3479,151238,576174.75
wr0912,3990,4026,3501,3573,-428,7164,3504,3568,84586,321515.82
wr1001,4000,4051,3565,3637,-385,1578,694,3637,11262,42950.55
wr1002,4022,4120,3645,3699,-450,2160,1768,3692,5800,22225.67
wr1003,3936,4072,3682,3730,-353,598,-20,3755,822,3193.76
wr1004,4080,4080,3750,3800,-337,208,-96,3800,408,1598.64
wr1005,4047,4178,3750,3815,-345,320,-124,3832,892,3532.63
wr1006,4124,4198,3806,3806,-361,356,-226,3866,694,2766.59
wr1007,4190,4199,3886,3950,-250,416,-66,3931,278,1126.12
wr1008,4102,4234,3915,3915,-285,56,-42,3915,268,1100.43
wr1009,4111,4192,3933,3991, ,136,136,4002,652,2652.49
wr小计, ,4234,3260, , ,24086,-374, ,268874,1022879.86
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:燃料油,,,,,,,,,,
fu0910,3918,4020,3600,3740,-160,9000,-6774,3716,11354,43226.98
fu0911,3958,4090,3640,3651,-348,19912,-77868,3714,917660,3632637.47
fu0912,4047,4167,3711,3788,-273,70452,34864,3788,4022218,15967625.75
fu1001,4059,4218,3775,3863,-260,15936,13692,3851,173698,689206.77
fu1003,4210,4310,3890,3962,-270,1220,332,3960,2378,9676.85
fu1004,4349,4351,3940,4014,-276,492,10,4020,646,2690.15
fu1005,4261,4482,4003,4070,-277,672,152,4064,2072,8781.07
fu1006,4381,4474,4070,4091,-326,318,48,4116,316,1352.11
fu1007,4431,4567,4091,4196,-235,176,-16,4186,388,1679.59
fu1008,4481,4575,4230,4235,-250,70,-2,4235,256,1139.65
fu1009,4450,4605,4235,4287, ,62,62,4294,430,1907.70
fu小计, ,4605,3600, , ,118310,-35500, ,5131416,20359924.11
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:天然橡胶,,,,,,,,,,
ru0909,16600,17230,15720,16000,-600,2048,-1088,16005,2212,18284.11
ru0910,16790,17405,15000,16580,-140,516,-318,16415,1606,13032.60
ru0911,16870,17605,15400,16830,-25,10006,-7462,16815,69150,571217.51
ru1001,18010,18855,16370,17900,-170,100712,-42682,17650,14015306,123595623.86
ru1003,18460,19250,16775,18340,-125,22270,9034,18065,228902,2055102.47
ru1004,18535,19350,16900,18335,-235,58,-14,18260,248,2241.51
ru1005,18710,19550,17085,18600,-160,3044,-174,18395,24990,228938.15
ru1006,18205,19630,17300,18680,-300,64,-30,18645,278,2563.86
ru1007,19090,19835,17460,18835,-240,330,-34,18690,2402,22127.93
ru1008,19450,20000,17600,19040,-255,32,-48,18900,660,6272.98
ru1009,18850,19210,17800,19200, ,148,148,18910,836,7724.04
ru小计, ,20000,15000, , ,139228,-42668, ,14346590,126523128.99
总计, , , , , ,1817516,-424922, ,97902944,756253288.00
注： 1、报价单位：铜、铝、锌、铅、镍、锡、螺纹钢、线材、热轧卷板、天然橡胶、燃料油、石油沥青、纸浆、不锈钢为元/吨；黄金为元/克；白银为元/千克；原油为元(人民币)/桶（交易报价为不含税价格）；20号胶为元（人民币）/吨（交易报价为不含税价格）。 2、交易单位：铜、铝、锌、铅、不锈钢为5吨/手；镍、锡为1吨/手；螺纹钢、线材、热轧卷板、石油沥青、天然橡胶、20号胶、纸浆为10吨/手；燃料油为10吨/手；黄金为1000克/手；白银为15千克/手；原油为1000桶/手。 3、成交量、持仓量、持仓变化单位为手，双边计算；成交金额单位为万元，双边计算。 4、涨跌=本月收盘价-上月收盘价。 5、小计和总计中不包括efp品种。 ,,,,,,,,,,
上海期货交易所期货价格指数
指数名,月开盘价,月最高价,月最低价,月收盘价,月涨跌点数
注： 1、涨跌点数以上月收盘价为基准。 指数免责声明： 1、本文件涉及所有信息，包括但不限于所有的文字、数据、图表、表格、计算方式（以下统称为“信息”）属于上海期货交易所的财产，受中国知识产权法等相关法律保护。这些信息仅供参考之用。 2、本文件涉及任何信息被确认为来源可靠，但只供相关知晓所用，非为特定个人、公司或者其他组织提供。本文任何信息，或者包含上述信息的其他内容均不构成上海期货交易所对任何期货、其他金融产品或投资工具或任何交易策略的依据或建议，而且上海期货交易所及其关联方均未认可、同意或以其他方式表示关于任何期货公司、期货、其他金融产品或投资工具或交易策略的意见。投资者在作出一项投资决定时，应该充分考虑到投资的风险，并且了解投资相关的所有程序及所涉文件，而不是基于本文的陈述。 3、上海期货交易所不保证所有信息的精确性、完整性，并且对所有信息在编制、发布等过程涉及的计算错误、漏发或者发布中断不承担任何责任，不明示或者暗示使用本文中的信息，不保证使用本文信息的适用性。当信息被认为是可适用的，对任何因直接或间接使用本文中任何信息而造成的任何索赔或者损失，包括但不限于因有关内容不准确、不完整等而导致的利息损失、惩罚性或者间接性损失，上海期货交易所无须承担任何法律责任。 上海期货交易所 所有权保留,,,,,
