交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铜,,,,,,,,,,
cu1206,55230,55740,53430,55720,470,3920,-19310,55440,65120,1776367.05
cu1207,54900,55950,53050,55800,700,30332,-16720,55250,200808,5496943.88
cu1208,54800,55780,52700,55630,780,56010,-39160,55260,291046,7912202.44
cu1209,54400,55570,52330,55430,900,120798,-186152,55100,5813218,156823731
cu1210,54300,55410,52210,55240,790,264342,187720,54790,5261874,142663832.8
cu1211,54270,55250,52180,55100,690,54164,39776,54690,351494,9502802.02
cu1212,54380,55260,52170,55070,710,16066,10116,54710,57736,1557335.37
cu1301,54370,55300,50820,55050,630,6588,3996,54790,24636,667193.42
cu1302,54210,55350,52290,54980,600,4306,3244,54800,9412,254971.48
cu1303,54280,55290,52070,55070,630,2158,1568,54660,4958,133876.8
cu1304,54620,55250,52290,55000,530,1316,770,54460,3132,84394.15
cu1305,54420,55280,52090,55040,660,1014,574,54780,2764,74518.25
cu1306,55000,55250,53110,55120,55120,232,232,54630,682,18363.07
cu小计, ,55950,50820, , ,561246,-13346, ,12086880,326966531.8
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:铝,,,,,,,,,,
al1206,15955,15970,15845,15860,-80,5610,-11820,15890,16890,134331.25
al1207,15945,16010,15180,15520,-450,15370,-23874,15535,60508,473828.23
al1208,15955,15965,15060,15415,-540,41238,-37742,15420,90086,706112.82
al1209,15960,15970,14975,15420,-545,87030,-10240,15375,202266,1583591.36
al1210,15995,15995,14925,15390,-610,119326,84698,15330,597980,4586872.23
al1211,15985,16010,14945,15400,-610,61978,58094,15340,134052,1038269.67
al1212,16000,16030,14970,15400,-615,32290,30884,15345,56910,440208.48
al1301,16000,16170,15000,15405,-640,5298,5034,15355,9596,74885.4
al1302,16020,16150,15025,15415,-645,616,584,15330,1138,8821.49
al1303,15970,16010,15075,15350,-850,178,136,15350,224,1755.44
al1304,16130,16130,15100,15450,-810,66,54,15450,128,997.01
al1305,16030,16150,15115,15400,-770,82,78,15400,186,1467.33
al1306,15945,16030,15150,15400,15400,34,34,15400,84,650.37
al小计, ,16170,14925, , ,369116,95920, ,1170048,9051791.04
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:锌,,,,,,,,,,
zn1206,14700,14880,14450,14780,40,8200,-5542,14765,15292,112262.9
zn1207,14740,15045,14140,14530,-220,11550,-36700,14435,84034,615377.99
zn1208,14800,15090,14150,14580,-195,45624,-69880,14465,213352,1565005.57
zn1209,14790,15130,14140,14555,-240,110998,-60132,14475,1317254,9700681.44
zn1210,14820,15155,14145,14585,-255,191372,160080,14475,1480640,10751970.59
zn1211,14995,15195,14175,14595,-265,51796,47630,14515,121176,879275.26
zn1212,14895,15215,14210,14610,-330,12740,9534,14525,20004,146121.75
zn1301,14925,15255,14250,14630,-320,2728,2324,14565,5742,41724.57
zn1302,15050,15220,14275,14695,-295,446,220,14640,736,5462.17
zn1303,15000,15450,14350,14725,-285,1060,776,14725,1518,11291.79
zn1304,15050,15680,14400,14770,-280,718,606,14650,890,6565.41
zn1305,15100,15420,14410,14805,-280,158,128,14805,338,2526.4
zn1306,14770,14860,14600,14860,14860,8,8,14805,14,103.31
zn小计, ,15680,14140, , ,437398,49052, ,3260990,23838369.12
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:黄金,,,,,,,,,,
au1206,316.71,333.44,316.71,328.7,17.7,306,-342,328.67,474,15470.05
au1207,321.12,334.85,320.1,328,3.65,24,-18,328,428,14025.42
au1208,321.37,335.55,320.41,323,-0.97,88,52,322.46,538,17510.44
au1209,321.7,336.53,320.09,323.45,-0.6,278,150,322.94,2898,95508.63
au1210,321.07,336.11,321.07,324.27,0.1,60,-14,322.45,568,18748.57
au1211,321.81,336.01,321.8,324.1,0.79,50,16,322.95,124,4088.32
au1212,321.39,337.3,320.7,324.51,1.51,112046,-19828,323.37,1076944,35617765.05
au1301,321.21,337.7,321.21,325,1,46,-8,323.62,458,15187.93
au1302,334,336.79,324.1,325,1.58,28,-6,324.85,58,1919.63
au1303,335.37,336,322.52,324.46,1.42,8,-10,323.49,42,1386.98
au1304,334.68,339.9,325.49,325.58,2.88,18,8,326.65,58,1930.51
au1305,323.09,337.08,323.09,324.49,1.4,56,36,324.23,118,3908.08
au1306,336.37,336.7,322,325.4,325.4,80,80,323.97,228,7517.63
au小计, ,339.9,316.71, , ,113088,-19884, ,1082936,35814967.24
交割月份,月开盘价,最高价,最低价,月收盘价,涨跌,持仓量,持仓变化,月末结算价,成交量,成交金额
商品名称:螺纹钢,,,,,,,,,,
rb1206,4050,4050,4050,4050,-48,180,0,4050,60,243
rb1207,4114,4390,4114,4310,160,180,-104,4358,266,1122.93
rb1208,4174,4210,4102,4160,-12,420,-62,4160,278,1152.71
rb1209,4125,4186,4075,4134,2,1382,-506,4116,3266,13476.27
rb1210,4100,4151,4020,4068,-35,676846,-131050,4065,13154820,53878823.52
rb1211,4127,4170,4040,4096,-33,782,-32,4104,1032,4249.31
rb1212,4100,4147,4021,4071,-31,256,44,4063,1130,4620.07
rb1301,4083,4129,4004,4035,-54,224842,125054,4041,858774,3496908.97
rb1302,4097,4120,4031,4056,-44,54,0,4062,86,350.82
rb1303,4105,4128,4047,4065,-45,28,-6,4065,16,65.55
